asn,ripe_name,ripe_description
AS4615,DIGICOM-PK,Digicom Pakistan Private Limited
AS4661,PTCLBB-PK,PTCL MMBB DATA CENTRE
AS7590,COMSATS,Commission on Science and Technology for
AS7605,FASTTRACK-AS-AP,FastTrack
AS9260,MULTINET-AS-AP,Multinet Pakistan Pvt. Ltd.
AS9387,SHARPTEL-AS-AP,SHARP TELECOM (PRIVATE) LIMITED
AS9541,CYBERNET-AP,Cyber Internet Services (Pvt) Ltd.
AS9557,PKTELECOM-AS-PK,Paknet Limited Merged into PTCL
AS9937,DELTANET-AS-AP,Delta Networks
AS9940,LDN-AS-AP,LINKdotNET Telecom Limited
AS10112,VALUEHOSTED-AS,THE VALUE HOSTED (PVT.) LIMITED
AS17539,ASN-NCKHI-AP,NetSol Connect
AS17557,PKTELECOM-AS-PK,Pakistan Telecommunication Company Limited
AS17563,NEXLINX-AS-AP,Autonomous System Number for Nexlinx
AS17787,PSEB-AS-PK,Pakistan Software Export Board
AS18053,SNET-AS-AP,Special Communication Organization
AS18173,AKU-AS-PK,Aga Khan University
AS18212,NIFT-AS-PK,National Institutional Facilitation Technologies
AS18359,PGTL-AS-AP,Pak-Qatar General Takaful Limited
AS23607,LEONET-AS-AP,LeoNet Pvt. Ltd.
AS23674,NAYATEL-PK,Nayatel (Pvt) Ltd
AS23750,GERRYS-AS-AP,GERRYS INFORMATION TECHNOLOGY PVT LTD.
AS23888,NTC-AS-AP,"National Telecommunication Corporation HQ,"
AS23966,LDN-AS-PK,LINKdotNET Telecom Limited
AS24051,ISC-KHI1,"Internet Systems Consortium, Inc."
AS24105,GB-AS-AP,Green Broadband
AS24435,SUPERNET-PAKISTAN-AS-AP,Supernet Limited Transit Autonomous System Number
AS24440,CYBERNET-APII,Cyber Internet Services Pakistan
AS24499,TPP-AS-PK,Telenor Pakistan
AS37973,GEO-IMC-PK-AS,"IMC, Karachi"
AS38193,TWA-AS-AP,Transworld Associates (Pvt.) Ltd.
AS38196,Mobilink-Peering-AS-PK,IX Peering for Mobilink and Link Direct International.
AS38264,WATEEN-IMS-PK-AS-AP,National WiMAX/IMS environment
AS38488,Telecard-Pakistan-AS-AP,Telecard Limited
AS38547,WITRIBE-AS-AP,WITRIBE PAKISTAN LIMITED
AS38616,WORLDCALL-AS-KHI,Worldcall Telecom Limited
AS38710,WORLDCALL-AS-LHR,Worldcall Broadband Limited
AS38713,CONNECT2B-AS-PK,"Broadband ISP, FTTH and Cable Service Provider"
AS38808,IMZAK-TRANSIT-AS-AP,NIGSUN LIMITED - IP SERVICES
AS45127,Mobilink-Peering-AS-PK,IX Peering for Mobilink and Link Direct International.
AS45195,CDCPAK-PK,"CDC House, 99-B, Block B"
AS45246,ITS-AS-AP,"ITS , Application Service Provider,"
AS45252,DPPLLDI-AS-PK,Dancom Pakistan - LDI
AS45446,MYSOL-PK,My Solutions Corporation Ltd.
AS45595,PKTELECOM-AS-PK,Pakistan Telecom Company Limited
AS45605,NACSPL-AS-AP,Net Access Communication Systems (Private) Limited
AS45669,Mobilink-AS-PK,PMCL /LDI IP TRANSIT
AS45748,PIA-ASN,PIA
AS45773,HECPERN-AS-PK,"PERN AS Content Servie Provider, Islamabad, Pakistan"
AS45779,LDN-AS-PK,IGI Financial Services
AS45814,FARIYA-PK,Fariya Networks Pvt. Ltd.
AS45843,TW1-AS-AP,Transworld Associates (Pvt.) Ltd.
AS45939,FSL-AS-AP,Foundation Securities (Private) Limited
AS55340,TELECARD-AS-AP,Telecard Limited
AS55356,WATEENTEL-AS-AP,Wateen Telecom (Pvt.) Ltd.
AS55399,GERRYS-AS-AP,Gerrys Information Technology (PVT) Ltd
AS55453,SKYTELECOM-AS-PK,House
AS55483,MULTINET-AS-AP,Multinet Pakistan ASN
AS55501,CONNECTEL-PK,141-143 Maulana Shaukat Ali Road
AS55534,PPL-PK,"4th Floor, PIDC House"
AS55541,MCB15MAIN-AS-AP,MCB Bank Ltd
AS55816,BANKALFALAH-AS-AP,Bank Alfalah Limited
AS56052,ZPIX-PK,Zero Point Internet eXchange
AS56126,UBL-PK,13 Floor UBL Building
AS56167,PTML-PK,Plot No 181-186 Street
AS56192,KICTL-PK,"KICT Customer Services Building,"
AS58468,MAGSNET-PK,MAGSNET LIMITED
AS58470,Mobilink-Peering-AS-PK,IX Peering for Mobilink and Link Direct International.
AS58506,NBP-PK,"Head Office, NBP Building, I.I Chundrigar Road"
AS58512,PUBLICINTERNETSWITCH,"29C Level II, 24th Street Phase V, DHA"
AS58515,ALLIEDNET-PK,Allied Bank Limited
AS58602,I2CINC-AP,i2c inc.
AS58609,ENGRO-CORP-PK,Engro Corporation Limited
AS58614,RAPIDCOMPUTE-PK,RapidCompute
AS58617,TPLTRAKKER-PK,TPL Trakker Ltd
AS58626,MAGSNETINC-AS-AP,MAGSNET INC.
AS58876,UEPL-NET-PK,United Energy Pakistan Limited
AS58895,EBONE1-PK,Ebone Network (PVT.) Limited
AS58974,KSKEL-PK,"IT. Division, Admin Block"
AS58987,HG1-AS-AP,HG TELECOMMUNICATION PRIVATE LIMITED
AS59254,BrainNet-AS,Brain Net
AS59257,CMPAKLIMITED-AS-AP,CMPak Limited
AS63954,GETZPHARMA-PK,Getz Pharma (Private) Limited
AS131220,FMBL-AS-AP,FINCA Microfinance Bank Limited
AS131471,LOGINMEPVTLTD-AS-AP,Login.Me (Pvt) Ltd
AS132103,BYTENESTS-AS-AP,Bytenests Pvt Ltd
AS132142,TIMENET-AS-AP,TIME NET (PRIVATE) LIMITED
AS132285,KG-AS-AP,Kurta Gali (Private) Limited
AS132386,USMANISP-AS-AP,Usman Internet Service Provider Private Limited
AS132480,NETZE-AS-AP,Netze Telecom (Private) Limited
AS132683,STYLEOFGLOBAL-AS-AP,"Style Of Global, IT Support and Services Company"
AS132741,NCSL-AS-AP,National Communications Services (SMC-Private) Limited
AS132788,MOBIT-AS-AP,MOBILINK IT AS
AS132872,DATACHECK-AS-AP,Data Check Limited
AS132891,STM-AS-AP,SARFRAZ TEXTILE MILLS (PRIVATE) LIMITED
