# Pakistani Websites — Extended Measurement Target List
# Total: 1877 domains
# Compiled June 2026 for RIPE Atlas routing study
# Sources: manual curation + CitizenLab PK test list
# Format: hostname,label,category
# ---------------------------------------------------

# ── GOVERNMENT (285 sites)
abbottabad.gov.pk,Abbottabad,government
accountability.gov.pk,Accountability,government
aedb.org,Aedb,government
agp.gov.pk,Agp,government
agpr.gov.pk,Agpr,government
agri.punjab.gov.pk,Agri,government
ajk.gov.pk,Ajk,government
apbf.com.pk,Apbf,government
apcl.com.pk,Apcl,government
attock.gov.pk,Attock,government
audit.gov.pk,Audit,government
aviation.gov.pk,Aviation,government
bahawalpur.gov.pk,Bahawalpur,government
balochistan.gov.pk,Balochistan,government
bhakkar.gov.pk,Bhakkar,government
bharat-rakshak.com,Bharat Rakshak,government
bhc.gov.pk,Bhc,government
bisp.gov.pk,Bisp,government
bjp.org,Bjp,government
bro.gov.pk,Bro,government
caa.gov.pk,Caa,government
cab.gov.pk,Cab,government
canadainternational.gc.ca,Canadainternational,government
cao.gov.pk,Cao,government
ccp.gov.pk,Ccp,government
cdp.gov.pk,Cdp,government
cga.gov.pk,Cga,government
chakwal.gov.pk,Chakwal,government
charsadda.gov.pk,Charsadda,government
chasnupp.com.pk,Chasnupp,government
chiniot.gov.pk,Chiniot,government
cii.gov.pk,Cii,government
climate.gov.pk,Climate,government
coastguards.gov.pk,Coastguards,government
coioed.pk,Coioed,government
commerce.gov.pk,Commerce,government
comstech.org,Comstech,government
cso.gov.pk,Cso,government
cwsa.gov.pk,Cwsa,government
defence.gov.pk,Defence,government
defence.pk,Defence,government
dera-ghazi-khan.gov.pk,Dera Ghazi Khan,government
dgmap.gov.pk,Dgmap,government
dgpr.gov.pk,Dgpr,government
discos.com.pk,Discos,government
doordarshan.gov.in,Doordarshan,government
ead.gov.pk,Ead,government
ecp.gov.pk,Ecp,government
education.gov.pk,Education,government
eftc.gov.pk,Eftc,government
embassies.mofa.gov.sa,Embassies,government
energy.gov.pk,Energy,government
eobi.gov.pk,Eobi,government
epb.gov.pk,Epb,government
ero.com.pk,Ero,government
erra.gov.pk,Erra,government
esp.gov.pk,Esp,government
etpb.gov.pk,Etpb,government
faisalabad.gov.pk,Faisalabad,government
fas.org,Fas,government
fata.gov.pk,Fata,government
fbr.gov.pk,Fbr,government
fc.gov.pk,Fc,government
fesco.com.pk,Fesco,government
fia.gov.pk,Fia,government
finance.gov.pk,Finance,government
fpc.gov.pk,Fpc,government
fpcci.com.pk,Fpcci,government
fpsc.gov.pk,Fpsc,government
frontier-corps.gov.pk,Frontier Corps,government
fwbl.com.pk,Fwbl,government
gbchiefcourt.gov.pk,Gbchiefcourt,government
gepco.com.pk,Gepco,government
gilgit-baltistan.gov.pk,Gilgit Baltistan,government
gilgitbaltistan.gov.pk,Gilgitbaltistan,government
gov.uk,Gov,government
greaterkashmir.com,Greaterkashmir,government
gujranwala.gov.pk,Gujranwala,government
gujrat.gov.pk,Gujrat,government
hafizabad.gov.pk,Hafizabad,government
health.gov.pk,Health,government
hec.gov.pk,Hec,government
hesco.com.pk,Hesco,government
housing.gov.pk,Housing,government
human-rights.gov.pk,Human Rights,government
hyderabad.gov.pk,Hyderabad,government
iba-nceac.com,Iba Nceac,government
icci.com.pk,Icci,government
idbp.com.pk,Idbp,government
iesco.com.pk,Iesco,government
ignite.org.pk,Ignite,government
indianembassy.org,Indianembassy,government
industries.gov.pk,Industries,government
interior.gov.pk,Interior,government
ips.gov.pk,Ips,government
irrigation.punjab.gov.pk,Irrigation,government
irrigation.sindh.gov.pk,Irrigation,government
isb.gov.pk,Isb,government
islamabad.gov.pk,Islamabad,government
islamabad.mfa.ir,Islamabad,government
jhang.gov.pk,Jhang,government
jhelum.gov.pk,Jhelum,government
kanupp.org.pk,Kanupp,government
karachi.gov.pk,Karachi,government
kasur.gov.pk,Kasur,government
kcci.com.pk,Kcci,government
khanewal.gov.pk,Khanewal,government
khda.gov.pk,Khda,government
khushab.gov.pk,Khushab,government
kln.gov.my,Kln,government
koausa.org,Koausa,government
kohat.gov.pk,Kohat,government
kotri.gov.pk,Kotri,government
kp.gov.pk,Kp,government
kwsb.com.pk,Kwsb,government
lahore.gov.pk,Lahore,government
larkana.gov.pk,Larkana,government
law.gov.pk,Law,government
lcci.com.pk,Lcci,government
lesco.com.pk,Lesco,government
lesco.gov.pk,Lesco,government
lgkp.gov.pk,Lgkp,government
lgsindh.gos.pk,Lgsindh,government
lhc.gov.pk,Lhc,government
livestock.punjab.gov.pk,Livestock,government
lwmc.com.pk,Lwmc,government
mansehra.gov.pk,Mansehra,government
mardan.gov.pk,Mardan,government
mcci.com.pk,Mcci,government
mepco.com.pk,Mepco,government
mianwali.gov.pk,Mianwali,government
mingora.gov.pk,Mingora,government
mirpurkhas.gov.pk,Mirpurkhas,government
mnfs.gov.pk,Mnfs,government
