hostname,label,category,probe_id,probe_asn,resolved_ips,first_ip_asn,first_ip_asn_name,timestamp
ubldigital.com,UBL Digital,banking,60223,23674,103.8.14.50,56126,"UBL-PK - 13 Floor UBL Building, PK",2026-06-06T17:32:25.605973+00:00
ubldigital.com,UBL Digital,banking,62224,38193,103.8.14.50,56126,"UBL-PK - 13 Floor UBL Building, PK",2026-06-06T17:32:25.606237+00:00
ubldigital.com,UBL Digital,banking,7613,152605,103.8.14.50,56126,"UBL-PK - 13 Floor UBL Building, PK",2026-06-06T17:32:25.606407+00:00
bankalfalah.com,Bank Alfalah,banking,60223,23674,40.120.122.192,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",2026-06-06T17:32:31.173410+00:00
bankalfalah.com,Bank Alfalah,banking,62224,38193,40.120.122.192,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",2026-06-06T17:32:31.175017+00:00
bankalfalah.com,Bank Alfalah,banking,7613,152605,40.120.122.192,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",2026-06-06T17:32:31.175331+00:00
bankislami.com.pk,Bank Islami,banking,60223,23674,104.18.28.162;104.18.29.162,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:34.418009+00:00
bankislami.com.pk,Bank Islami,banking,62224,38193,104.18.28.162;104.18.29.162,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:34.418638+00:00
bankislami.com.pk,Bank Islami,banking,7613,152605,104.18.28.162;104.18.29.162,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:34.419107+00:00
meezanbank.com,Meezan Bank,banking,60223,23674,104.18.0.183;104.18.1.183,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:37.836720+00:00
meezanbank.com,Meezan Bank,banking,62224,38193,104.18.0.183;104.18.1.183,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:37.837090+00:00
meezanbank.com,Meezan Bank,banking,7613,152605,104.18.0.183;104.18.1.183,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:37.837373+00:00
askaribank.com.pk,Askari Bank,banking,60223,23674,104.18.2.57;104.18.3.57,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:41.212520+00:00
askaribank.com.pk,Askari Bank,banking,62224,38193,104.18.2.57;104.18.3.57,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:41.213043+00:00
askaribank.com.pk,Askari Bank,banking,7613,152605,104.18.2.57;104.18.3.57,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:41.213327+00:00
jazzcash.com.pk,JazzCash,banking,60223,23674,104.26.0.79;104.26.1.79;172.67.70.2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:44.505681+00:00
jazzcash.com.pk,JazzCash,banking,62224,38193,104.26.0.79;104.26.1.79;172.67.70.2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:44.506835+00:00
jazzcash.com.pk,JazzCash,banking,7613,152605,104.26.0.79;104.26.1.79;172.67.70.2,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:44.507617+00:00
easypaisa.com.pk,EasyPaisa,banking,60223,23674,18.142.75.3,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:32:47.961654+00:00
easypaisa.com.pk,EasyPaisa,banking,62224,38193,18.142.75.3,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:32:47.961896+00:00
easypaisa.com.pk,EasyPaisa,banking,7613,152605,18.142.75.3,16509,"AMAZON-02 - Amazon.com, Inc., US",2026-06-06T17:32:47.962101+00:00
nayapay.com,NayaPay,banking,60223,23674,104.20.21.218;172.66.158.161,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:51.291378+00:00
nayapay.com,NayaPay,banking,62224,38193,104.20.21.218;172.66.158.161,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:51.291717+00:00
nayapay.com,NayaPay,banking,7613,152605,104.20.21.218;172.66.158.161,13335,"CLOUDFLARENET - Cloudflare, Inc., US",2026-06-06T17:32:51.292207+00:00
sadapay.com,SadaPay,banking,60223,23674,198.202.211.1,209242,"CLOUDFLARESPECTRUM - Cloudflare London, LLC, US",2026-06-06T17:32:56.984653+00:00
sadapay.com,SadaPay,banking,62224,38193,198.202.211.1,209242,"CLOUDFLARESPECTRUM - Cloudflare London, LLC, US",2026-06-06T17:32:56.985077+00:00
sadapay.com,SadaPay,banking,7613,152605,198.202.211.1,209242,"CLOUDFLARESPECTRUM - Cloudflare London, LLC, US",2026-06-06T17:32:56.985378+00:00
1bill.com.pk,1Bill,banking,60223,23674,,,,2026-06-06T17:32:58.196067+00:00
1bill.com.pk,1Bill,banking,62224,38193,,,,2026-06-06T17:32:58.196574+00:00
1bill.com.pk,1Bill,banking,7613,152605,,,,2026-06-06T17:32:58.196997+00:00
