hostname,exp,exp_category,category,host,where,asn
24newshd.tv,01,news,Abroad,HETZNER-AS,"Helsinki, Uusimaa, FI",AS24940
alfatah.com.pk,01,ecommerce,Abroad,AS-HOSTINGER,"Jakarta, Jakarta, ID",AS47583
balochistan.gov.pk,01,government,Abroad,ORACLE-BMC-31898,"Ashburn, Virginia, US",AS31898
brain.net.pk,01,telecom,Abroad,HETZNER-CLOUD2-AS,"Ashburn, Virginia, US",AS213230
dailypakistan.com.pk,01,news,Abroad,HETZNER-AS,"Helsinki, Uusimaa, FI",AS24940
daraz.pk,01,ecommerce,Abroad,ALIBABA-CN-NET,"Singapore, North West, SG",AS45102
faysal.com,01,banking,Abroad,NETWORK-SOLUTIONS-HOSTING,"Jacksonville, Florida, US",AS19871
habibmetro.com,01,banking,Abroad,DOSARREST,"New York, New York, US",AS19324
ilmkidunya.com,01,education,Abroad,OVH,"Beauharnois, Quebec, CA",AS16276
nawaiwaqt.com.pk,01,news,Abroad,HETZNER-AS,"Helsinki, Uusimaa, FI",AS24940
sapphireonline.pk,01,ecommerce,Abroad,EDNS,"Toronto, Ontario, CA",AS16686
symbios.pk,01,ecommerce,Abroad,LIQUIDWEB,"Lansing, Michigan, US",AS32244
wateen.com,01,telecom,Abroad,AS-HOSTINGER,"Jakarta, Jakarta, ID",AS47583
aku.edu,01,education,CDN,Microsoft/Azure,"Dublin, Leinster, IE",AS8075
arynews.tv,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
askaribank.com.pk,01,banking,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
bankalfalah.com,01,banking,CDN,Microsoft/Azure,"Dubai, Dubai, AE",AS8075
bankislami.com.pk,01,banking,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
bisp.gov.pk,01,government,CDN,Cloudflare,"Singapore, Central Singapore, SG",AS13335
bolnews.com,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
bykea.com,01,food,CDN,Cloudflare,"Kwai Chung, Kwai Tsing District, HK",AS13335
comsats.edu.pk,01,education,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
dawn.com,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
easypaisa.com.pk,01,banking,CDN,AWS,"Singapore, Central Singapore, SG",AS16509
express.com.pk,01,news,CDN,Cloudflare,"Singapore, Central Singapore, SG",AS13335
foodpanda.pk,01,food,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
geo.tv,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
gharbaar.com,01,real_estate,CDN,AWS,"Mumbai, Maharashtra, IN",AS16509
gulahmedshop.com,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
hamariweb.com,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
hbl.com,01,banking,CDN,Imperva/Incapsula,"Secaucus, New Jersey, US",AS19551
hum.tv,01,entertainment,CDN,Microsoft/Azure,"Dubai, Dubai, AE",AS8075
iba.edu.pk,01,education,CDN,Sucuri,"Frankfurt am Main, Hesse, DE",AS30148
ishopping.pk,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
jang.com.pk,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
jazz.com.pk,01,telecom,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
jazzcash.com.pk,01,banking,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
khaadi.com,01,ecommerce,CDN,AWS,"Muscat, Muscat, OM",AS16509
mcb.com.pk,01,banking,CDN,Sucuri,"Frankfurt am Main, Hesse, DE",AS30148
meezanbank.com,01,banking,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
nadra.gov.pk,01,government,CDN,Akamai,"Gebze, Kocaeli, TR",AS20940
nayapay.com,01,banking,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
nlc.com.pk,01,government,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
nust.edu.pk,01,education,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
oladoc.com,01,health,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
olx.com.pk,01,ecommerce,CDN,AWS,"‘Awālī, Southern Governorate, BH",AS16509
outfitters.com.pk,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
pakwheels.com,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
priceoye.pk,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
propakistani.pk,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
rozee.pk,01,education,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
sadapay.com,01,banking,CDN,Cloudflare,"San Francisco, California, US",AS209242
sargodha.com,01,ecommerce,CDN,AWS,"Seattle, Washington, US",AS16509
sehat.com.pk,01,health,CDN,Cloudflare,"Kwai Chung, Kwai Tsing District, HK",AS13335
shifa.com.pk,01,health,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
shophive.com,01,ecommerce,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
such.tv,01,news,CDN,AWS,"Montreal, Quebec, CA",AS16509
taleem360.com,01,education,CDN,Cloudflare,"Kwai Chung, Kwai Tsing District, HK",AS13335
