domain,ip,category,host,asn,asn_name,geo_country,geo_city
agp.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
agpr.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
aviation.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
cga.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
cii.gov.pk,203.101.184.81,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
ead.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
ecp.gov.pk,59.103.225.220,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",AS17557,PKTELECOM-AS-PK - Pakistan Telecom,PK,Islamabad
eobi.gov.pk,210.56.16.59,Pakistan,"COMSATS - Commission on Science and Technology for, PK",AS7590,COMSATS - Commission on Science an,PK,Islamabad
fbr.gov.pk,103.125.60.60,Pakistan,"FBR-AS-AP - Federal Board of Revenue, PK",AS138424,FBR-AS-AP - Federal Board of Reven,PK,Islamabad
fc.gov.pk,203.124.44.147,Pakistan,"COMSATS - Commission on Science and Technology for, PK",AS7590,COMSATS - Commission on Science an,PK,Islamabad
irrigation.punjab.gov.pk,103.111.160.21,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
irrigation.sindh.gov.pk,103.120.116.7,Pakistan,"BBI-AS-AP - Broadband Business Ideas (PVT.) Limited, PK",AS138039,BBI-AS-AP - Broadband Business Ide,PK,Tando Adam
lhc.gov.pk,103.226.216.153,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
livestock.punjab.gov.pk,103.226.217.56,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
mocc.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
mofept.gov.pk,203.101.184.89,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
moitt.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
nab.gov.pk,203.101.184.107,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
ncsw.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
ndma.gov.pk,182.188.28.161,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",AS17557,PKTELECOM-AS-PK - Pakistan Telecom,PK,Taunsa
nhmp.gov.pk,203.101.184.77,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
nitb.gov.pk,203.101.184.87,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
pakistan.gov.pk,203.101.184.84,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
pap.gov.pk,103.226.217.162,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
pbs.gov.pk,113.197.54.86,Pakistan,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",AS23888,NTC-AS-AP - National Telecommunica,PK,Islamabad
pcsir.gov.pk,203.101.184.77,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
pcsw.punjab.gov.pk,103.226.216.120,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
pdma.gop.pk,103.226.216.186,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
pemra.gov.pk,203.101.184.81,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
pid.gov.pk,203.124.45.87,Pakistan,"COMSATS - Commission on Science and Technology for, PK",AS7590,COMSATS - Commission on Science an,PK,Islamabad
pitb.gov.pk,103.226.216.151,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
pmo.gov.pk,203.101.184.118,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Lahore
ppra.gov.pk,59.103.225.210,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",AS17557,PKTELECOM-AS-PK - Pakistan Telecom,PK,Islamabad
pra.gop.pk,58.65.170.119,Pakistan,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",AS23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,Islamabad
pral.com.pk,103.125.60.72,Pakistan,"FBR-AS-AP - Federal Board of Revenue, PK",AS138424,FBR-AS-AP - Federal Board of Reven,PK,Islamabad
pseb.org.pk,125.209.103.90,Pakistan,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",AS9260,MULTINET-AS-AP - Multinet Pakistan,PK,Karachi
pts.org.pk,175.107.240.161,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",AS9541,CYBERNET-AP - Cyber Internet Servi,PK,Karachi
punjab.gov.pk,103.226.216.120,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",AS59323,PITB-PUNJAB-PK - Punjab Informatio,PK,Lahore
sacgb.gov.pk,210.56.27.2,Pakistan,"COMSATS - Commission on Science and Technology for, PK",AS7590,COMSATS - Commission on Science an,PK,Rawalpindi
secp.gov.pk,104.20.33.223,CDN,Cloudflare,AS13335,"CLOUDFLARENET - Cloudflare, Inc., ",CA,Toronto
aust.edu.pk,210.2.169.216,Pakistan,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",AS23966,LDN-AS-PK - LINKdotNET Telecom Lim,PK,Islamabad
