domain,ip,category,host,dest_rtt,bucket,reached,last_hop,last_asn
agp.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",205.0,far (>150ms),False,72.52.25.142,AS32787
agpr.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",205.0,far (>150ms),False,72.52.25.142,AS32787
aviation.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",204.7,far (>150ms),False,72.52.25.142,AS32787
cga.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",205.3,far (>150ms),False,72.52.25.142,AS32787
cii.gov.pk,203.101.184.81,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",199.5,far (>150ms),False,72.52.21.194,AS32787
ead.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",206.4,far (>150ms),False,72.52.25.142,AS32787
ecp.gov.pk,59.103.225.220,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",24.4,in-PK (<50ms),True,59.103.225.220,AS17557
eobi.gov.pk,210.56.16.59,Pakistan,"COMSATS - Commission on Science and Technology for, PK",40.1,in-PK (<50ms),True,210.56.16.59,AS7590
fbr.gov.pk,103.125.60.60,Pakistan,"FBR-AS-AP - Federal Board of Revenue, PK",3.6,same-city (<10ms),False,119.63.137.130,
fc.gov.pk,203.124.44.147,Pakistan,"COMSATS - Commission on Science and Technology for, PK",4.4,same-city (<10ms),False,119.63.134.94,AS38193
irrigation.punjab.gov.pk,103.111.160.21,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",40.7,in-PK (<50ms),False,116.58.85.10,AS17563
irrigation.sindh.gov.pk,103.120.116.7,Pakistan,"BBI-AS-AP - Broadband Business Ideas (PVT.) Limited, PK",28.3,in-PK (<50ms),False,202.70.157.195,AS9557
lhc.gov.pk,103.226.216.153,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.7,in-PK (<50ms),False,110.93.202.170,
livestock.punjab.gov.pk,103.226.217.56,Pakistan,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",39.8,in-PK (<50ms),False,110.93.202.170,
mocc.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",4.1,same-city (<10ms),False,45.249.11.241,AS135407
mofept.gov.pk,203.101.184.89,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",197.2,far (>150ms),False,72.52.25.142,AS32787
moitt.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",205.7,far (>150ms),False,72.52.25.142,AS32787
nab.gov.pk,203.101.184.107,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",209.8,far (>150ms),False,72.52.25.142,AS32787
ncsw.gov.pk,203.101.184.86,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",205.1,far (>150ms),False,72.52.25.142,AS32787
ndma.gov.pk,182.188.28.161,Pakistan,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",44.0,in-PK (<50ms),True,182.188.28.161,AS17557
nhmp.gov.pk,203.101.184.77,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",206.9,far (>150ms),False,72.52.21.194,AS32787
nitb.gov.pk,203.101.184.87,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",196.0,far (>150ms),False,72.52.21.194,AS32787
pakistan.gov.pk,203.101.184.84,Pakistan,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",215.8,far (>150ms),False,72.52.21.194,AS32787
