measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
177516469,62224,38193,Pakistan,UET Lahore,education,uet.edu.pk,104.21.79.62,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,103.387,13335,US,2026-06-05T18:01:51.462297
177516477,62224,38193,Pakistan,Aga Khan University,education,aku.edu,52.156.198.57,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,"Dublin, Leinster, IE",server IP,True,3,5,213.91,8075,US,2026-06-05T18:01:52.448790
177516481,62224,38193,Pakistan,COMSATS,education,comsats.edu.pk,172.66.158.132,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,25.58,13335,US,2026-06-05T18:01:55.536069
177516488,62224,38193,Pakistan,IBA Karachi,education,iba.edu.pk,192.124.249.134,30148,"SUCURI-SEC - Sucuri, US",US,,,True,3,5,143.262,30148,US,2026-06-05T18:01:56.584466
177516492,62224,38193,Pakistan,PUCIT,education,pucit.edu.pk,202.147.169.205,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,25.769,23966,PK,2026-06-05T18:01:57.585416
177516501,62224,38193,Pakistan,IlmKiDunya,education,ilmkidunya.com,54.39.132.143,16276,"OVH - OVH SAS, FR",CA,"Beauharnois, Quebec, CA",server IP,True,3,5,221.49,16276,CA,2026-06-05T18:02:01.121681
177516507,62224,38193,Pakistan,Rozee.pk Jobs,education,rozee.pk,104.26.14.193,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,26.895,13335,US,2026-06-05T18:02:04.176020
177516512,62224,38193,Pakistan,Taleem 360,education,taleem360.com,104.21.94.27,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,107.512,13335,US,2026-06-05T18:02:05.405331
177516519,62224,38193,Pakistan,Taleemabad,education,taleemabad.com,47.129.37.78,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Singapore, Central Singapore, SG",server IP,False,2,6,1.618,,,2026-06-05T18:02:06.471706
177516525,62224,38193,Pakistan,Zameen,real_estate,zameen.com,108.131.240.252,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Dublin, Leinster, IE",server IP,False,2,6,1.367,,,2026-06-05T18:02:09.500833
177516645,60223,23674,Pakistan,UET Lahore,education,uet.edu.pk,104.21.79.62,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,4.704,23674 > 13335,PK > US,2026-06-05T18:02:12.442568
177516646,60223,23674,Pakistan,Aga Khan University,education,aku.edu,52.156.198.57,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,"Dublin, Leinster, IE",server IP,True,19,6,153.614,8075,US > GB,2026-06-05T18:02:28.253381
177516656,60223,23674,Pakistan,COMSATS,education,comsats.edu.pk,172.66.158.132,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,32.44,23674 > 13335,PK > US,2026-06-05T18:03:24.485165
177516665,60223,23674,Pakistan,IBA Karachi,education,iba.edu.pk,192.124.249.134,30148,"SUCURI-SEC - Sucuri, US",US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,10,2,204.51,2914 > 30148,SG > US,2026-06-05T18:03:25.522557
177516669,60223,23674,Pakistan,PUCIT,education,pucit.edu.pk,202.147.169.205,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,11,3,41.749,23966,PK,2026-06-05T18:03:48.059249
177516678,60223,23674,Pakistan,IlmKiDunya,education,ilmkidunya.com,54.39.132.143,16276,"OVH - OVH SAS, FR",CA,"Beauharnois, Quebec, CA",server IP,True,6,5,246.586,16276,CA,2026-06-05T18:04:18.074344
177516680,60223,23674,Pakistan,Rozee.pk Jobs,education,rozee.pk,104.26.14.193,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,4.397,23674 > 13335,PK > US,2026-06-05T18:04:19.148802
177516681,60223,23674,Pakistan,Taleem 360,education,taleem360.com,104.21.94.27,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,4.852,23674 > 13335,PK > US,2026-06-05T18:04:20.247069
177516682,60223,23674,Pakistan,Taleemabad,education,taleemabad.com,47.129.37.78,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Singapore, Central Singapore, SG",server IP,False,8,6,57.94,,PK,2026-06-05T18:04:21.329995
177516692,60223,23674,Pakistan,Zameen,real_estate,zameen.com,108.131.240.252,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Dublin, Leinster, IE",server IP,False,5,6,3.292,,,2026-06-05T18:04:34.100604
177516817,7613,152605,Pakistan,UET Lahore,education,uet.edu.pk,104.21.79.62,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,10,0,195.962,152605 > 38193 > 58453 > 13335,PK > HK > US,2026-06-05T18:04:35.319375
177516824,7613,152605,Pakistan,Aga Khan University,education,aku.edu,52.156.198.57,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,"Dublin, Leinster, IE",server IP,True,15,4,168.813,152605 > 38193 > 5384 > 8966 > 8075,PK > AE > GB > US,2026-06-05T18:05:30.902966
177516832,7613,152605,Pakistan,COMSATS,education,comsats.edu.pk,172.66.158.132,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Karachi, Sindh, PK",handoff 110.93.192.198,True,6,0,17.905,152605 > 38193 > 13335,PK > US,2026-06-05T18:06:33.853605
177516837,7613,152605,Pakistan,IBA Karachi,education,iba.edu.pk,192.124.249.134,30148,"SUCURI-SEC - Sucuri, US",US,"Frankfurt am Main, Hesse, DE",handoff 46.33.85.114,True,11,0,210.223,152605 > 38193 > 6762 > 3257 > 30148,PK > IT > US,2026-06-05T18:06:45.983991
177516847,7613,152605,Pakistan,PUCIT,education,pucit.edu.pk,202.147.169.205,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,10,0,37.188,152605 > 38193 > 23966,PK,2026-06-05T18:07:22.437415
177516853,7613,152605,Pakistan,IlmKiDunya,education,ilmkidunya.com,54.39.132.143,16276,"OVH - OVH SAS, FR",CA,"Beauharnois, Quebec, CA",server IP,True,11,7,225.409,152605 > 38193 > 16276,PK > FR > CA,2026-06-05T18:07:29.808940
177516864,7613,152605,Pakistan,Rozee.pk Jobs,education,rozee.pk,104.26.14.193,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Karachi, Sindh, PK",handoff 110.93.192.198,True,6,0,19.412,152605 > 38193 > 13335,PK > US,2026-06-05T18:08:00.119575
177516878,7613,152605,Pakistan,Taleem 360,education,taleem360.com,104.21.94.27,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,10,0,195.336,152605 > 38193 > 58453 > 13335,PK > HK > US,2026-06-05T18:08:07.921744
177516888,7613,152605,Pakistan,Taleemabad,education,taleemabad.com,47.129.37.78,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Singapore, Central Singapore, SG",server IP,False,4,6,19.313,152605 > 38193,PK,2026-06-05T18:08:23.876813
177516895,7613,152605,Pakistan,Zameen,real_estate,zameen.com,108.131.240.252,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Dublin, Leinster, IE",server IP,False,5,6,36.292,152605 > 38193,PK,2026-06-05T18:08:25.105818
