measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
176969304,1015679,136174,Pakistan,Pakistan Govt Portal,government,pakistan.gov.pk,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,11,6,128.664,6327 > 38193 > 32787,CA > PK > US,2026-06-04T11:24:58.532321
176969311,1015679,136174,Pakistan,Punjab Govt,government,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,False,5,6,11.255,6327 > 38193,CA > PK,2026-06-04T11:25:50.291405
176969313,1015679,136174,Pakistan,Sindh Govt,government,sindh.gov.pk,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,8,6,43.368,6327 > 38193 > 23888,CA > PK,2026-06-04T11:26:09.405366
176969316,1015679,136174,Pakistan,KPK Govt,government,kp.gov.pk,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,6,6,44.455,6327 > 38193,CA > PK,2026-06-04T11:26:40.169448
176969324,1015679,136174,Pakistan,Balochistan Govt,government,balochistan.gov.pk,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",US,True,12,2,211.47,6327 > 38193 > 174 > 31898,CA > PK > US,2026-06-04T11:26:54.063039
176969326,1015679,136174,Pakistan,PTA,government,pta.gov.pk,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,8,6,41.853,6327 > 38193 > 23888,CA > PK,2026-06-04T11:27:36.555451
176969328,1015679,136174,Pakistan,FBR,government,fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,False,6,6,40.226,6327 > 38193,CA > PK,2026-06-04T11:27:51.049747
176969331,1015679,136174,Pakistan,NADRA,government,nadra.gov.pk,2.19.193.169,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,True,14,0,2657.894,6327 > 38193 > 174 > 6453 > 20940,CA > PK > US > NL,2026-06-04T11:28:05.135488
176969333,1015679,136174,Pakistan,HEC,government,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,7,6,38.443,6327 > 38193,CA > PK,2026-06-04T11:28:55.569066
176969335,1015679,136174,Pakistan,SECP,government,secp.gov.pk,172.66.157.118,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,7,0,20.328,6327 > 38193 > 13335,CA > PK > US,2026-06-04T11:29:18.234859
176969375,1015210,17557,Pakistan,Pakistan Govt Portal,government,pakistan.gov.pk,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,1,6,0.388,,,2026-06-04T11:29:40.397535
176969377,1015210,17557,Pakistan,Punjab Govt,government,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,False,1,6,0.14,,,2026-06-04T11:29:41.438726
176969379,1015210,17557,Pakistan,Sindh Govt,government,sindh.gov.pk,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,1,6,0.195,,,2026-06-04T11:29:42.689236
176969384,1015210,17557,Pakistan,KPK Govt,government,kp.gov.pk,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,1,6,0.184,,,2026-06-04T11:29:43.897921
176969387,1015210,17557,Pakistan,Balochistan Govt,government,balochistan.gov.pk,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",US,True,2,0,206.75,31898,US,2026-06-04T11:29:45.141732
176969389,1015210,17557,Pakistan,PTA,government,pta.gov.pk,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,1,6,0.15,,,2026-06-04T11:29:46.344871
176969393,1015210,17557,Pakistan,FBR,government,fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,False,1,6,0.23,,,2026-06-04T11:29:47.869951
176969397,1015210,17557,Pakistan,NADRA,government,nadra.gov.pk,2.19.193.169,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",NL,True,2,0,468.615,20940,NL,2026-06-04T11:29:48.880636
176969399,1015210,17557,Pakistan,HEC,government,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,1,6,0.126,,,2026-06-04T11:29:49.936036
176969400,1015210,17557,Pakistan,SECP,government,secp.gov.pk,172.66.157.118,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,2,0,23.795,13335,US,2026-06-04T11:29:51.062236
176969425,62224,38193,Pakistan,Pakistan Govt Portal,government,pakistan.gov.pk,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,2,6,1.857,,,2026-06-04T11:29:52.293268
176969427,62224,38193,Pakistan,Punjab Govt,government,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,False,2,6,3.294,,,2026-06-04T11:29:53.521993
176969431,62224,38193,Pakistan,Sindh Govt,government,sindh.gov.pk,175.107.33.163,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,2,6,3.862,,,2026-06-04T11:29:54.712290
176969432,62224,38193,Pakistan,KPK Govt,government,kp.gov.pk,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,2,6,2.602,,,2026-06-04T11:29:55.981541
176969434,62224,38193,Pakistan,Balochistan Govt,government,balochistan.gov.pk,129.121.85.241,31898,"ORACLE-BMC-31898 - Oracle Corporation, US",US,True,3,5,207.509,31898,US,2026-06-04T11:29:57.181178
176969435,62224,38193,Pakistan,PTA,government,pta.gov.pk,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,False,2,6,33.062,,,2026-06-04T11:29:58.248648
176969438,62224,38193,Pakistan,FBR,government,fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,False,2,6,0.999,,,2026-06-04T11:29:59.343517
