target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,1,157.20.147.17,0.473,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,2,110.93.205.184,2.018,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,3,110.93.252.200,17.264,,110.93.192.0/18,PK,TWA,False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,4,110.93.252.246,16.888,,110.93.192.0/18,PK,TWA,False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,5,*,,,,,,False,True,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,6,36.37.76.96,188.552,4800,36.37.76.0/24,ID,"LINTASARTA-AS-AP - PT Aplikanusa Lintasarta, ID",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,7,36.37.76.81,199.517,4800,36.37.76.0/24,ID,"LINTASARTA-AS-AP - PT Aplikanusa Lintasarta, ID",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,8,182.23.9.142,197.792,4800,182.23.9.0/24,ID,"LINTASARTA-AS-AP - PT Aplikanusa Lintasarta, ID",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,9,2.25.25.12,191.739,47583,2.25.25.0/24,LT,"AS-HOSTINGER - Hostinger International Limited, CY",False,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
alfatah.com.pk,Al-Fatah,ecommerce,7613,152605,Pakistan,10,172.17.2.6,110.65,,,,RFC1918,True,False,46.202.136.217,47583,"AS-HOSTINGER - Hostinger International Limited, CY",UA,True,177493998,2026-06-05T16:57:56.797362
