target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
au.edu.pk,Au,education,7613,152605,Pakistan,1,157.20.147.17,0.63,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,2,110.93.205.184,0.674,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,3,110.93.252.102,17.716,,110.93.192.0/18,PK,TWA,False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,4,110.93.252.246,16.137,,110.93.192.0/18,PK,TWA,False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,5,223.121.3.97,91.09,58453,223.121.0.0/17,HK,"CMI-INT-HK - China Mobile International Limited, HK",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,6,223.120.23.5,91.991,58453,223.120.0.0/17,HK,"CMI-INT-HK - China Mobile International Limited, HK",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,7,162.158.160.111,97.32,13335,162.158.160.0/24,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,8,172.69.117.60,91.499,13335,172.69.117.0/24,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,9,172.69.117.59,95.942,13335,172.69.117.0/24,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,7613,152605,Pakistan,10,172.67.147.213,91.734,13335,172.67.144.0/20,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672117,2026-06-18T07:49:52.697971
au.edu.pk,Au,education,60223,23674,Pakistan,1,192.168.18.1,0.855,,,,RFC1918,True,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672026,2026-06-18T07:49:33.002186
au.edu.pk,Au,education,60223,23674,Pakistan,2,100.89.0.1,3.49,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672026,2026-06-18T07:49:33.002186
au.edu.pk,Au,education,60223,23674,Pakistan,3,172.27.0.29,3.079,,,,RFC1918,True,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672026,2026-06-18T07:49:33.002186
au.edu.pk,Au,education,60223,23674,Pakistan,4,172.27.0.22,2.939,,,,RFC1918,True,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672026,2026-06-18T07:49:33.002186
au.edu.pk,Au,education,60223,23674,Pakistan,5,172.31.5.253,3.684,,,,RFC1918,True,False,172.67.147.213,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,181672026,2026-06-18T07:49:33.002186
