measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
181444068,1015679,136174,Pakistan,Pharma,health,pharma.pk,104.21.87.159,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,112.885,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-17T19:40:56.162038
181444072,1015679,136174,Pakistan,Pharmacy,health,pharmacy.com.pk,49.13.80.3,24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,"Falkenstein, Saxony, DE",server IP,True,11,3,147.888,6327 > 38193 > 3356 > 24940,CA > PK > GB > DE,2026-06-17T19:41:02.509627
181444073,1015679,136174,Pakistan,Phc,health,phc.org.pk,116.58.11.236,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,13.698,6327 > 38193,CA > PK,2026-06-17T19:41:12.033463
181444074,1015679,136174,Pakistan,Physiotherapy,health,physiotherapy.pk,104.21.34.140,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,2837.565,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-17T19:41:19.035557
181444075,1015679,136174,Pakistan,Pims,health,pims.edu.pk,176.9.35.88,24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,"Falkenstein, Saxony, DE",server IP,True,10,0,986.684,6327 > 38193 > 24940,CA > PK > NL > DE,2026-06-17T19:41:21.877133
181444084,1015679,136174,Pakistan,Pims,health,pims.gov.pk,203.101.184.84,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,11,6,210.271,6327 > 38193 > 32787,CA > PK > SG > NL > US,2026-06-17T19:41:29.199742
181444087,1015679,136174,Pakistan,Pip,health,pip.org.pk,77.42.49.209,24940,"HETZNER-AS - Hetzner Online GmbH, DE",DE,"Helsinki, Uusimaa, FI",server IP,True,11,0,156.013,6327 > 38193 > 24940,CA > PK > DE,2026-06-17T19:41:35.866149
181444088,1015679,136174,Pakistan,Pmanet,health,pmanet.org,54.241.73.131,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"San Jose, California, US",server IP,False,14,6,366.603,6327 > 38193 > 174,CA > PK > US,2026-06-17T19:41:46.140953
181444099,1015679,136174,Pakistan,Pmc,health,pmc.edu.pk,203.124.44.75,7590,"COMSATS - Commission on Science and Technology for, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,44.401,6327 > 38193,CA > PK,2026-06-17T19:41:50.345237
181444110,1015679,136174,Pakistan,Pmc,health,pmc.gov.pk,43.250.84.119,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,7,6,48.672,6327 > 38193 > 23888,CA > PK,2026-06-17T19:41:56.882949
