target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,1,192.168.18.1,1.143,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,2,100.89.0.1,3.029,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,3,172.27.0.29,3.479,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,4,172.27.0.22,2.654,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,5,172.31.5.253,3.416,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,6,172.31.5.106,36.833,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,7,203.175.65.67,3.955,23674,203.175.65.0/24,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",False,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,8,104.21.60.195,2.891,13335,104.21.32.0/19,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,184448965,2026-06-27T05:46:53.687376
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,1,192.168.18.1,0.986,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,2,100.89.0.1,2.945,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,3,172.27.0.29,2.751,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,4,172.27.0.22,2.18,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,5,172.31.5.205,2.83,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,6,172.31.5.30,2.995,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,7,*,,,,,,False,True,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,8,*,,,,,,False,True,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
aiou.edu.pk,aiou,unknown,60223,23674,Pakistan,9,*,,,,,,False,True,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184448889,2026-06-27T05:45:44.212406
