measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
184410113,60223,23674,Pakistan,vu,unknown,vu.edu.pk,111.68.103.36,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Lahore, Punjab, PK",server IP,True,7,5,10.24,45773,PK,2026-06-26T19:56:30.483932
184410115,60223,23674,Pakistan,pitc,unknown,pitc.com.pk,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,41.22,174,PK > US,2026-06-26T19:56:37.857736
184410117,60223,23674,Pakistan,google,unknown,google.com.pk,142.250.186.227,15169,"GOOGLE - Google LLC, US",US,"Karachi, Sindh, PK",handoff 110.93.252.246,True,12,0,36.695,15169,PK > US,2026-06-26T19:56:46.467807
184410118,60223,23674,Pakistan,daraz,unknown,daraz.pk,47.246.174.148,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,"Singapore, North West, SG",server IP,True,9,5,99.916,45102,PK > US,2026-06-26T19:56:52.103629
184410119,60223,23674,Pakistan,jang,unknown,jang.com.pk,104.17.16.38,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,322.643,23674 > 13335,PK > US,2026-06-26T19:57:04.916166
184410120,60223,23674,Pakistan,saya,unknown,saya.pk,23.227.38.65,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,106.385,23674 > 13335,PK > CA,2026-06-26T19:57:07.263213
184410121,60223,23674,Pakistan,priceoye,unknown,priceoye.pk,172.66.148.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,11.054,23674 > 13335,PK > US,2026-06-26T19:57:08.798395
184410123,60223,23674,Pakistan,punjabpolice,unknown,punjabpolice.gov.pk,103.226.216.152,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,18.288,,,2026-06-26T19:57:10.148376
184410124,60223,23674,Pakistan,sapphireonline,unknown,sapphireonline.pk,64.68.202.16,16686,"EDNS - easyDNS Technologies, Inc., CA",CA,"Toronto, Ontario, CA",server IP,True,22,3,576.507,174 > 21949 > 16686,PK > US > CA,2026-06-26T19:57:16.582466
184410125,60223,23674,Pakistan,ogomovies1,unknown,ogomovies1.com.pk,104.21.15.242,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,21.483,23674 > 13335,PK > US,2026-06-26T19:57:28.492833
184410126,60223,23674,Pakistan,bisp,unknown,bisp.gov.pk,104.21.43.243,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,101.496,23674 > 13335,PK > US,2026-06-26T19:57:29.854557
184410128,60223,23674,Pakistan,olx,unknown,olx.com.pk,18.64.141.53,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Muscat, Muscat, OM",server IP,True,11,2,40.313,16509,PK > US,2026-06-26T19:57:31.184800
184410131,60223,23674,Pakistan,tribune,unknown,tribune.com.pk,104.18.193.13,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,122.747,23674 > 13335,PK > US,2026-06-26T19:57:38.944204
184410133,60223,23674,Pakistan,limelight,unknown,limelight.pk,23.227.38.32,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,98.479,23674 > 13335,PK > CA,2026-06-26T19:57:40.470743
184410134,60223,23674,Pakistan,punjab,unknown,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,15.069,,,2026-06-26T19:57:42.114773
184410137,60223,23674,Pakistan,fbise,unknown,fbise.edu.pk,104.26.14.233,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,357.302,23674 > 13335,PK > US,2026-06-26T19:57:43.651194
184410138,60223,23674,Pakistan,thenews,unknown,thenews.com.pk,104.17.71.37,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,36.0,23674 > 13335,PK > US,2026-06-26T19:57:45.001792
184410143,60223,23674,Pakistan,nadra,unknown,nadra.gov.pk,23.44.5.82,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",US,"Karachi, Sindh, PK",handoff 110.93.192.129,True,17,0,313.745,38193 > 20940,PK > US,2026-06-26T19:57:46.384591
184410144,60223,23674,Pakistan,aiou,unknown,aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,6.377,,,2026-06-26T19:57:51.932521
