target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,1,203.135.63.1,1.19,17557,203.135.63.0/24,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,2,172.25.3.14,0.603,,,,RFC1918,True,False,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,3,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,4,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,5,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,6,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,7,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
8thclassresults2026.pk,8thclassresults2026,unknown,7764,17557,Pakistan,255,*,,,,,,False,True,104.21.60.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,False,184623135,2026-06-28T22:16:49.743721
aiou.edu.pk,aiou,unknown,7764,17557,Pakistan,1,203.135.63.1,1.145,17557,203.135.63.0/24,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184623041,2026-06-28T22:16:15.950214
aiou.edu.pk,aiou,unknown,7764,17557,Pakistan,2,172.25.3.14,0.427,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,184623041,2026-06-28T22:16:15.950214
