measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
184622986,7764,17557,Pakistan,vu,unknown,vu.edu.pk,111.68.103.36,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,0.988,17557,PK,2026-06-28T22:15:40.218491
184622987,7764,17557,Pakistan,pitc,unknown,pitc.com.pk,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,1.102,17557,PK,2026-06-28T22:15:43.220715
184622992,7764,17557,Pakistan,google,unknown,google.com.pk,142.250.186.227,15169,"GOOGLE - Google LLC, US",US,"Lahore, Punjab, PK",handoff 203.135.63.1,False,2,6,0.888,17557,PK,2026-06-28T22:15:45.040479
184622997,7764,17557,Pakistan,daraz,unknown,daraz.pk,47.246.174.23,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,"Singapore, North West, SG",server IP,False,2,6,2.179,17557,PK,2026-06-28T22:15:48.631059
184623000,7764,17557,Pakistan,jang,unknown,jang.com.pk,104.17.16.38,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Lahore, Punjab, PK",handoff 203.135.63.1,False,2,6,1.546,17557,PK,2026-06-28T22:15:52.707312
184623003,7764,17557,Pakistan,saya,unknown,saya.pk,23.227.38.65,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,"Lahore, Punjab, PK",handoff 203.135.63.1,False,2,6,1.177,17557,PK,2026-06-28T22:15:54.445233
184623005,7764,17557,Pakistan,priceoye,unknown,priceoye.pk,172.66.148.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Lahore, Punjab, PK",handoff 203.135.63.1,False,2,6,1.089,17557,PK,2026-06-28T22:15:55.875780
184623007,7764,17557,Pakistan,punjabpolice,unknown,punjabpolice.gov.pk,103.226.216.152,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,1.487,17557,PK,2026-06-28T22:15:57.238145
184623011,7764,17557,Pakistan,sapphireonline,unknown,sapphireonline.pk,64.68.202.16,16686,"EDNS - easyDNS Technologies, Inc., CA",CA,"Toronto, Ontario, CA",server IP,False,2,6,1.333,17557,PK,2026-06-28T22:15:59.154035
184623016,7764,17557,Pakistan,ogomovies1,unknown,ogomovies1.com.pk,172.67.208.212,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Lahore, Punjab, PK",handoff 203.135.63.1,False,2,6,1.16,17557,PK,2026-06-28T22:16:01.137901
