target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,1,192.168.18.1,1.088,,,,RFC1918,True,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,2,100.89.0.1,3.026,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,3,172.27.0.29,3.556,,,,RFC1918,True,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,4,172.27.0.22,2.549,,,,RFC1918,True,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,5,172.31.5.253,3.709,,,,RFC1918,True,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,6,172.31.5.106,5.438,,,,RFC1918,True,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,7,203.175.65.67,3.652,23674,203.175.65.0/24,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",False,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
8thclassresults2026.pk,8thclassresults2026,unknown,60223,23674,Pakistan,8,172.67.200.125,3.347,13335,172.67.192.0/20,US,"CLOUDFLARENET - Cloudflare, Inc., US",False,False,172.67.200.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185371793,2026-06-30T08:06:23.583371
abasynisb.edu.pk,abasynisb,unknown,60223,23674,Pakistan,1,192.168.18.1,1.702,,,,RFC1918,True,False,172.67.128.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185372831,2026-06-30T08:10:43.485352
abasynisb.edu.pk,abasynisb,unknown,60223,23674,Pakistan,2,100.89.0.1,5.221,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,172.67.128.195,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,True,185372831,2026-06-30T08:10:43.485352
