measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
185371495,60223,23674,Pakistan,vu,unknown,vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,True,9,0,9.153,38264,PK,2026-06-30T08:04:29.584224
185371503,60223,23674,Pakistan,pitc,unknown,pitc.com.pk,163.61.25.12,153561,"PITC1-AS-AP - PITC, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,45.485,174,PK > US,2026-06-30T08:04:43.103832
185371511,60223,23674,Pakistan,google,unknown,google.com.pk,142.250.67.3,15169,"GOOGLE - Google LLC, US",US,"Karachi, Sindh, PK",handoff 110.93.252.246,True,17,0,162.514,15169,PK > US,2026-06-30T08:04:49.487759
185371518,60223,23674,Pakistan,daraz,unknown,daraz.pk,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,"Singapore, North West, SG",server IP,True,9,7,101.334,7473 > 4845 > 45102,SG > US,2026-06-30T08:04:56.262003
185371524,60223,23674,Pakistan,jang,unknown,jang.com.pk,104.17.16.38,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,156.979,23674 > 13335,PK > US,2026-06-30T08:04:59.567390
185371532,60223,23674,Pakistan,saya,unknown,saya.pk,23.227.38.65,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,16.201,23674 > 13335,PK > CA,2026-06-30T08:05:02.536079
185371539,60223,23674,Pakistan,priceoye,unknown,priceoye.pk,104.20.35.152,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,8.9,23674 > 13335,PK > US,2026-06-30T08:05:03.623502
185371544,60223,23674,Pakistan,punjabpolice,unknown,punjabpolice.gov.pk,103.226.216.152,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,37.63,,,2026-06-30T08:05:07.182922
185371552,60223,23674,Pakistan,sapphireonline,unknown,sapphireonline.pk,64.68.202.16,16686,"EDNS - easyDNS Technologies, Inc., CA",CA,"Toronto, Ontario, CA",server IP,True,22,3,284.462,174 > 21949 > 16686,PK > US > CA,2026-06-30T08:05:10.705692
185371560,60223,23674,Pakistan,ogomovies1,unknown,ogomovies1.com.pk,188.114.97.6,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,7,1,3.912,23674 > 13335,PK > US,2026-06-30T08:05:17.611520
185371566,60223,23674,Pakistan,bisp,unknown,bisp.gov.pk,188.114.96.6,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Islamabad, Islamabad, PK",handoff 203.175.65.67,True,8,0,26.931,23674 > 13335,PK > US,2026-06-30T08:05:20.680903
185371572,60223,23674,Pakistan,olx,unknown,olx.com.pk,13.35.202.103,16509,"AMAZON-02 - Amazon.com, Inc., US",US,"Singapore, North West, SG",server IP,True,9,4,114.23,16509,PK > US,2026-06-30T08:05:21.758588
