trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-10T10:30:38+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.676,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T10:45:44+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.4,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T11:00:34+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.493,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T11:15:45+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.464,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T11:30:33+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.437,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T11:45:36+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.417,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T12:00:43+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.38,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T12:15:35+00:00,dunyanews.tv,Dunya News,news,60223,23674,Islamabad,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.32,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,178952544
2026-06-10T10:25:57+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.595,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T10:40:52+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.856,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T10:55:58+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.791,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T11:10:52+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.766,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T11:25:49+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.841,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T11:40:52+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.949,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T11:56:01+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,200.07,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T12:10:57+00:00,hbl.com,HBL Bank,banking,60223,23674,Islamabad,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.89,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,178952553
2026-06-10T10:29:04+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.852,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T10:43:56+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.156,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T10:59:01+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.984,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T11:14:02+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.78,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T11:28:53+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.779,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T11:43:50+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.883,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T11:59:01+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.44,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
2026-06-10T12:14:00+00:00,mcb.com.pk,MCB Bank,banking,60223,23674,Islamabad,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.828,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,178952586
