ping_id,ping_time,probe_id,site_id,probe_asn_measured,sent,rcvd,loss_pct,rtt_min,rtt_avg,rtt_max,measurement_id
1,2026-06-11T09:14:13+00:00,60223,2,23674,3,3,0.0,212.530973,212.575484,212.622102,179311292
2,2026-06-11T09:14:13+00:00,62224,2,38193,3,3,0.0,202.254895,203.77261733333333,206.045187,179311292
3,2026-06-11T09:14:20+00:00,7613,1,152605,3,3,0.0,1.648037,1.667274,1.694596,179311285
4,2026-06-11T09:14:25+00:00,60223,5,23674,3,0,100.0,,,,179311307
5,2026-06-11T09:14:26+00:00,62224,3,38193,3,3,0.0,132.451082,132.91147433333333,133.513747,179311301
6,2026-06-11T09:14:28+00:00,7613,2,152605,3,3,0.0,201.932672,201.99287166666667,202.064928,179311292
7,2026-06-11T09:14:28+00:00,7613,3,152605,3,3,0.0,130.331812,130.39066533333337,130.442563,179311301
8,2026-06-11T09:14:28+00:00,1015679,3,136174,3,3,0.0,132.265732,134.40916266666667,135.537664,179311301
9,2026-06-11T09:14:29+00:00,1015679,1,136174,3,3,0.0,3.330544,3.4007156666666667,3.516615,179311285
10,2026-06-11T09:14:29+00:00,1016036,5,9541,3,0,100.0,,,,179311307
11,2026-06-11T09:14:30+00:00,1015679,5,136174,3,0,100.0,,,,179311307
12,2026-06-11T09:14:31+00:00,62224,1,38193,3,3,0.0,7.877814,14.031057333333337,26.328184,179311285
13,2026-06-11T09:14:32+00:00,1016036,1,9541,3,3,0.0,41.904151,42.700571333333336,43.389718,179311285
14,2026-06-11T09:14:32+00:00,1016036,3,9541,3,3,0.0,138.903284,139.0759396666667,139.374845,179311301
15,2026-06-11T09:14:34+00:00,62224,5,38193,3,0,100.0,,,,179311307
16,2026-06-11T09:14:35+00:00,60223,3,23674,3,3,0.0,197.954903,198.327284,198.657928,179311301
17,2026-06-11T09:14:36+00:00,1016036,4,9541,3,3,0.0,24.787399,25.910640666666666,27.46671,179311311
18,2026-06-11T09:14:37+00:00,7613,5,152605,3,0,100.0,,,,179311307
19,2026-06-11T09:14:37+00:00,1015679,2,136174,3,3,0.0,209.092655,210.57133066666665,213.33837,179311292
20,2026-06-11T09:14:38+00:00,60223,1,23674,3,3,0.0,39.38949,39.504514,39.647194,179311285
21,2026-06-11T09:14:38+00:00,60223,4,23674,3,3,0.0,3.172054,7.176905333333333,14.944905,179311311
22,2026-06-11T09:14:40+00:00,62224,4,38193,3,3,0.0,41.637208,43.159277,45.963712,179311311
23,2026-06-11T09:14:41+00:00,1016036,2,9541,3,3,0.0,211.369706,212.449111,214.407766,179311292
24,2026-06-11T09:14:52+00:00,1015679,4,136174,3,3,0.0,37.49928,37.71808566666667,38.022143,179311311
25,2026-06-11T09:14:53+00:00,7613,4,152605,3,3,0.0,36.36548,36.863345333333335,37.763513,179311311
26,2026-06-11T09:15:11+00:00,7613,1,152605,3,3,0.0,1.582545,1.659191,1.719003,179311285
27,2026-06-11T09:15:11+00:00,60223,2,23674,3,3,0.0,212.382682,212.45410166666667,212.58174,179311292
28,2026-06-11T09:15:19+00:00,62224,2,38193,3,3,0.0,202.670935,203.094577,203.501017,179311292
29,2026-06-11T09:15:21+00:00,7613,2,152605,3,3,0.0,201.957769,202.37270066666667,202.637207,179311292
30,2026-06-11T09:15:23+00:00,60223,3,23674,3,3,0.0,197.680677,198.196858,198.717093,179311301
31,2026-06-11T09:15:23+00:00,1016036,5,9541,3,0,100.0,,,,179311307
32,2026-06-11T09:15:25+00:00,1015679,3,136174,3,3,0.0,132.04719,133.01739733333332,134.69015,179311301
33,2026-06-11T09:15:26+00:00,62224,3,38193,3,3,0.0,132.901527,133.72118033333334,134.245898,179311301
34,2026-06-11T09:15:27+00:00,1015679,1,136174,3,3,0.0,3.220916,3.287933333333333,3.378691,179311285
35,2026-06-11T09:15:30+00:00,7613,3,152605,3,3,0.0,130.172967,130.259558,130.397144,179311301
36,2026-06-11T09:15:30+00:00,62224,5,38193,3,0,100.0,,,,179311307
37,2026-06-11T09:15:31+00:00,7613,5,152605,3,0,100.0,,,,179311307
38,2026-06-11T09:15:31+00:00,1016036,2,9541,3,3,0.0,211.694126,212.06146766666663,212.388966,179311292
39,2026-06-11T09:15:33+00:00,1016036,1,9541,3,3,0.0,41.573266,42.126249666666666,42.794719,179311285
40,2026-06-11T09:15:34+00:00,62224,1,38193,3,3,0.0,6.880115,7.344241,8.014867,179311285
41,2026-06-11T09:15:35+00:00,60223,1,23674,3,3,0.0,39.084349,39.349200333333336,39.534471,179311285
42,2026-06-11T09:15:36+00:00,1015679,5,136174,3,0,100.0,,,,179311307
43,2026-06-11T09:15:38+00:00,60223,5,23674,3,0,100.0,,,,179311307
44,2026-06-11T09:15:38+00:00,1016036,4,9541,3,3,0.0,25.113855,25.891542333333334,27.064523,179311311
45,2026-06-11T09:15:42+00:00,1016036,3,9541,3,3,0.0,139.185049,139.920654,141.148323,179311301
46,2026-06-11T09:15:43+00:00,62224,4,38193,3,3,0.0,41.198924,41.59563,41.877231,179311311
47,2026-06-11T09:15:43+00:00,1015679,2,136174,3,3,0.0,208.666957,208.81471966666663,208.932805,179311292
48,2026-06-11T09:15:49+00:00,60223,4,23674,3,3,0.0,3.428718,3.5222199999999995,3.66938,179311311
49,2026-06-11T09:15:53+00:00,1015679,4,136174,3,3,0.0,37.760409,38.812134666666665,40.56872,179311311
