target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,trace_time,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,1,192.168.100.1,0.294,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,2,70.70.140.114,1.668,6327,70.70.140.0/22,CA,"SHAW - Shaw Communications, CA",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,3,110.93.212.161,2.126,38193,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,4,110.93.197.229,2.644,38193,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,5,202.142.160.201,2.558,9260,202.142.160.0/19,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,6,125.209.73.226,2.758,9260,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:16:26+00:00,7,202.142.167.148,2.828,9260,202.142.160.0/19,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:31:31+00:00,1,192.168.100.1,0.307,,,,RFC1918,True,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:31:31+00:00,2,70.70.140.114,1.46,6327,70.70.140.0/22,CA,"SHAW - Shaw Communications, CA",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,2026-06-11T09:31:31+00:00,3,110.93.212.161,2.096,38193,110.93.212.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,179311279
