asn,company,prefix,prefix_len,num_addresses
17911,Brain Telecommunication Ltd.,203.128.7.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.94.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.8.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.22.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.85.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.6.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.31.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.23.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.26.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.17.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.27.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.78.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.75.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.90.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.13.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.76.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.12.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.79.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.82.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.25.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.72.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.16.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.21.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.11.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.91.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.5.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.9.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.66.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.15.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.0.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.81.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.64.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.69.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.92.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.84.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.80.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.89.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.1.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.3.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.18.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.93.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.4.0/24,24,256
17911,Brain Telecommunication Ltd.,103.100.188.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.77.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.19.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.14.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.73.0/24,24,256
17911,Brain Telecommunication Ltd.,122.129.74.0/24,24,256
17911,Brain Telecommunication Ltd.,203.128.28.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.195.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.199.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.203.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.212.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.218.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.219.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.208.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.196.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.221.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.220.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.217.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.197.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.194.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.206.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.193.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.223.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.204.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.201.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.216.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.215.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.222.0/24,24,256
38584,Cube XS Weatherly (Pvt.) Ltd.,202.63.198.0/24,24,256
55414,Worldcall Telecom Ltd.,115.186.21.0/24,24,256
55414,Worldcall Telecom Ltd.,115.186.20.0/23,23,512
55414,Worldcall Telecom Ltd.,115.186.20.0/24,24,256
55414,Worldcall Telecom Ltd.,115.186.14.0/23,23,512
55414,Worldcall Telecom Ltd.,115.186.15.0/24,24,256
55414,Worldcall Telecom Ltd.,115.186.103.0/24,24,256
55714,Fiberlink (Pvt.) Ltd.,110.34.34.0/24,24,256
55714,Fiberlink (Pvt.) Ltd.,110.34.33.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.97.168.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.12.58.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,43.242.178.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,43.242.176.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,116.206.64.0/22,22,1024
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.97.154.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,203.80.130.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.97.169.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,43.242.179.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.93.95.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,43.242.177.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.18.243.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.29.163.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.75.244.0/22,22,1024
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,103.11.220.0/24,24,256
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,203.80.128.0/24,24,256
59323,Gerry's Information Technology (Pvt.) Ltd.,103.226.217.0/24,24,256
59323,Gerry's Information Technology (Pvt.) Ltd.,103.111.161.0/24,24,256
