asn,company,prefixes,addresses,eq_24
132165,Connect Communications (Pvt.) Ltd.,132,42496,166
138423,CMPak LDI Ltd.,85,25088,98
136384,Optix Pakistan (Pvt.) Ltd.,88,22528,88
150382,Broadband Vision (Pvt.) Ltd.,78,19968,78
17911,Brain Telecommunication Ltd.,49,12544,49
138655,Trans World Enterprise Services (Pvt.) Ltd.,29,7424,29
135523,Multinet Pakistan (Pvt.) Ltd.,23,6656,26
38584,Cube XS Weatherly (Pvt.) Ltd.,22,5632,22
58893,Gemnet Enterprise Solutions (Pvt.) Ltd.,16,5632,22
141711,Fiber Beam (Pvt.) Ltd.,20,5120,20
133495,Vision Telecom (Pvt.) Ltd.,18,4608,18
150371,Pace Telecom and Broadcasting (Pvt.) Ltd.,18,4608,18
131275,Logon Broadband (Pvt.) Ltd.,16,4096,16
140607,Sign In (Pvt.) Ltd.,16,4096,16
142647,Nasstec Airnet Networks (Pvt.) Ltd.,16,4096,16
133502,LINKdotNET Telecom Ltd.,10,2560,10
137561,Waylink (Pvt.) Ltd.,10,2560,10
141778,Dream Internet Services (Pvt.) Ltd.,10,2560,10
55414,Worldcall Telecom Ltd.,6,2048,8
135003,Multan Cable & Internet Services (Pvt.) Ltd.,8,2048,8
136174,The Professional Communications (Pvt.) Ltd.,8,2048,8
133551,Origin Net (Pvt.) Ltd.,7,1792,7
141361,Bliss Communication Network (Pvt.) Ltd.,6,1536,6
59323,Gerry's Information Technology (Pvt.) Ltd.,4,1024,4
64093,Wise Communication Systems (Pvt.) Ltd.,3,1024,4
135567,Air Max (Pvt.) Ltd.,4,1024,4
136610,Wide Band Communications (Pvt.) Ltd.,4,1024,4
140039,Master Communication (Pvt.) Ltd.,4,1024,4
151648,Alpines Internet (Pvt.) Ltd.,4,1024,4
135661,Superior Connections (Pvt.) Ltd.,3,768,3
136225,Smart Telecom (Pvt.) Ltd.,3,768,3
141380,New Millennium Network (Pvt.) Ltd.,2,768,3
55714,Fiberlink (Pvt.) Ltd.,2,512,2
139087,Fast Web & Wireless Communications (Pvt.) Ltd.,2,512,2
140608,TES Media (Pvt.) Ltd.,2,512,2
141377,Faisal Cable Networks (Pvt.) Ltd.,2,512,2
141431,Call 2 Phone (Pvt.) Ltd.,2,512,2
142120,McSol (Pvt.) Ltd.,2,512,2
150387,Badar Enterprises Cable Network (Pvt.) Ltd.,2,512,2
152684,The Wah Telecom (Pvt.) Ltd.,2,512,2
153321,Smart Net (Pvt.) Ltd.,2,512,2
139302,Ashiq Cable Network (Pvt.) Ltd.,1,256,1
141234,Big Data Technologies (Pvt.) Ltd.,1,256,1
141347,7 Star Telecom (Pvt.) Ltd.,1,256,1
149283,Xtream Fiber (Pvt.) Ltd.,1,256,1
149788,Upnet (Pvt.) Ltd.,1,256,1
151848,Logi-Tech Cable (Pvt.) Ltd.,1,256,1
154086,Tufa Telecommunication (Pvt.) Limited,1,256,1
58746,Cyber Internet Services (Pvt.) Ltd.,0,0,0
134782,REDtone Digital Services (Pvt.) Ltd.,0,0,0
135576,Hazara Communication Cable Net (Pvt.) Ltd.,0,0,0
136818,Naya Tel (Pvt.) Ltd.,0,0,0
139219,Helium Communication (Pvt.) Ltd.,0,0,0
140721,Fiber Connect (Pvt.) Ltd.,0,0,0
149495,Fariya Networks (Pvt.) Ltd.,0,0,0
150147,Future Telecom (Pvt.) Ltd.,0,0,0
150377,Multi City Broadband (Pvt.) Ltd.,0,0,0
152444,Web Concepts (Pvt.) Ltd.,0,0,0
152608,Celmore Technologies (Pvt.) Ltd.,0,0,0
153194,Lahore Express (Pvt.) Ltd.,0,0,0
153465,Y Linx (Pvt.) Ltd.,0,0,0
154437,Link2 Net Solutions (Pvt.) Ltd.,0,0,0
154446,Lahore Internet Solutions (Pvt.) Ltd.,0,0,0
154549,Khan Telecommunications (Pvt.) Ltd.,0,0,0
154566,KK Networks (Pvt.) Ltd.,0,0,0
154638,Fiber 2 Home (Pvt.) Ltd.,0,0,0
