source,source_id,asn,company,prefix,target_ip,status,evidence,exit_cc,exit_name,transit,max_rtt,reached_isp
nova.lhe,1015679,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,Transworld,5.6,False
cybernet.hrp,1016036,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,9541,42.4,False
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,trombone,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,42.3,False
cybernet.khi,1016154,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,?,3.3,False
nayatel.isb,60223,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,?,2.8,False
orbit.fsd,64535,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,174,43.5,False
zcom.lhe,7613,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.28,local,,,,Transworld,1.8,False
nova.lhe,1015679,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,?,3.3,False
cybernet.hrp,1016036,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,9541,42.2,False
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,trombone,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,42.1,False
cybernet.khi,1016154,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,?,3.7,False
nayatel.isb,60223,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,?,3.3,False
orbit.fsd,64535,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,174,42.1,False
zcom.lhe,7613,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.56,local,,,,Transworld,3.7,False
nova.lhe,1015679,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.85,local,,,,?,3.6,False
cybernet.hrp,1016036,17911,Brain Telecommunication Ltd.,203.128.7.0/24,203.128.7.85,local,,,,9541,43.9,False
