source,source_id,asn,company,prefix,target_ip,status,evidence,exit_cc,exit_name,transit,max_rtt,reached_isp
nova.lhe,1015679,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.28,trombone_rtt,"rtt(jump=136,max=139)",?,,17911,139.3,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.28,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,44.0,True
orbit.fsd,64535,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.28,trombone_rtt,"rtt(jump=404,max=443)",?,,17911,443.3,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.56,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,44.3,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.85,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.9,True
cybernet.khi,1016154,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.85,trombone_rtt,"rtt(jump=79,max=83)",?,,?,82.6,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.8.0/24,203.128.8.113,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.5,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.85.0/24,122.129.85.28,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,45.6,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.85.0/24,122.129.85.113,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,42.9,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.85.0/24,122.129.85.142,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.6,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.85.0/24,122.129.85.170,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.8,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.6.0/24,203.128.6.170,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.9,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.75.0/24,122.129.75.28,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.5,True
cybernet.khi,1016154,17911,Brain Telecommunication Ltd.,122.129.75.0/24,122.129.75.28,trombone_rtt,"rtt(jump=71,max=74)",?,,?,74.3,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.75.0/24,122.129.75.56,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,42.9,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.75.0/24,122.129.75.113,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,42.6,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.90.0/24,122.129.90.28,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,44.0,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.90.0/24,122.129.90.56,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.9,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.90.0/24,122.129.90.85,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.6,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,122.129.90.0/24,122.129.90.113,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.8,True
ptcl.khi,1016126,17911,Brain Telecommunication Ltd.,203.128.11.0/24,203.128.11.199,trombone_hop,foreign_hop,CN,CHINANET-BACKBONE - No.3,PTCL,43.6,True
