asn,isp,block,target_ip,source,reached,tromboned,status,exit,transit,max_rtt
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.28,nova.lhe,False,False,local,,,34.5
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.28,orbit.fsd,False,False,inconclusive,,,49.6
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.28,zcom.lhe,False,False,local,,,28.8
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.56,nova.lhe,False,False,local,,,30.5
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.56,orbit.fsd,False,False,inconclusive,,,49.7
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.56,zcom.lhe,False,False,local,,,29.0
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.85,nova.lhe,False,False,local,,,32.0
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.85,orbit.fsd,False,False,inconclusive,,,48.8
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.85,zcom.lhe,False,False,local,,,28.3
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.113,nova.lhe,False,False,local,,,30.5
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.113,orbit.fsd,False,False,inconclusive,,,48.1
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.113,zcom.lhe,False,False,local,,,28.7
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.142,nova.lhe,False,False,local,,,31.4
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.142,orbit.fsd,False,False,inconclusive,,,49.1
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.142,zcom.lhe,False,False,local,,,28.3
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.170,nova.lhe,False,False,local,,,30.3
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.170,orbit.fsd,False,False,inconclusive,,,49.7
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.170,zcom.lhe,False,False,local,,,29.3
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.199,nova.lhe,False,False,inconclusive,,,49.1
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.199,orbit.fsd,False,False,inconclusive,,,49.2
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.199,zcom.lhe,False,False,local,,,29.0
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.227,nova.lhe,False,False,inconclusive,,,46.7
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.227,orbit.fsd,False,False,inconclusive,,,50.2
AS135567,Air Max (Pvt.) Ltd.,103.123.112.0/24,103.123.112.227,zcom.lhe,False,False,local,,,29.3
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.28,cybernet.khi,False,True,trombone,"IMRS - ICANN, US",?,90.2
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.28,nova.lhe,False,False,local,,,39.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.28,orbit.fsd,False,False,inconclusive,,,50.9
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.28,zcom.lhe,False,False,local,,,28.8
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.56,cybernet.khi,False,False,local,,,3.3
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.56,nova.lhe,False,False,local,,,30.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.56,orbit.fsd,False,False,inconclusive,,,48.9
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.56,zcom.lhe,False,False,local,,,29.0
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.85,nova.lhe,False,False,local,,,30.4
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.85,orbit.fsd,False,False,inconclusive,,,48.7
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.85,zcom.lhe,False,False,local,,,28.9
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.113,nova.lhe,False,False,local,,,30.8
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.113,orbit.fsd,False,False,inconclusive,,,50.3
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.113,zcom.lhe,False,False,local,,,28.9
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.142,nova.lhe,False,False,local,,,30.9
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.142,orbit.fsd,False,False,inconclusive,,,48.4
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.142,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.170,nova.lhe,False,False,local,,,30.6
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.170,orbit.fsd,False,False,inconclusive,,,49.7
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.170,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.199,nova.lhe,False,False,local,,,31.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.199,orbit.fsd,False,False,inconclusive,,,48.2
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.199,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.227,nova.lhe,False,False,local,,,31.8
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.227,orbit.fsd,False,False,inconclusive,,,50.2
AS135567,Air Max (Pvt.) Ltd.,103.123.113.0/24,103.123.113.227,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.28,nova.lhe,False,False,local,,,33.6
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.28,orbit.fsd,False,False,inconclusive,,,49.7
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.28,zcom.lhe,False,False,local,,,29.2
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.56,nova.lhe,False,False,inconclusive,,,51.7
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.56,orbit.fsd,False,False,inconclusive,,,49.4
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.56,zcom.lhe,False,False,local,,,29.5
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.85,nova.lhe,False,False,local,,,33.8
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.85,orbit.fsd,False,False,inconclusive,,,49.9
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.85,zcom.lhe,False,False,local,,,29.5
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.113,nova.lhe,False,False,local,,,30.7
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.113,orbit.fsd,False,False,inconclusive,,,50.4
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.113,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.142,nova.lhe,False,False,local,,,30.2
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.142,orbit.fsd,False,False,inconclusive,,,50.4
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.142,zcom.lhe,False,False,local,,,29.2
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.170,nova.lhe,False,False,local,,,36.8
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.170,orbit.fsd,False,False,inconclusive,,,51.7
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.170,zcom.lhe,False,False,local,,,29.2
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.199,nova.lhe,False,False,local,,,39.1
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.199,orbit.fsd,False,False,inconclusive,,,51.2
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.199,zcom.lhe,False,False,local,,,29.3
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.227,nova.lhe,False,False,local,,,31.7
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.227,orbit.fsd,False,False,inconclusive,,,48.8
AS135567,Air Max (Pvt.) Ltd.,103.123.114.0/24,103.123.114.227,zcom.lhe,False,False,local,,,29.1
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.28,cybernet.khi,True,False,local,,,26.1
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.28,nova.lhe,True,False,local,,,32.6
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.28,orbit.fsd,True,False,inconclusive,,,47.6
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.28,zcom.lhe,True,False,local,,,28.0
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.56,cybernet.khi,False,False,local,,,3.3
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.56,nova.lhe,False,False,local,,,30.8
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.56,orbit.fsd,False,False,inconclusive,,,47.5
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.56,zcom.lhe,False,False,local,,,27.9
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.85,cybernet.khi,False,False,local,,,25.8
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.85,nova.lhe,False,False,local,,,30.6
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.85,orbit.fsd,False,False,inconclusive,,,48.3
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.85,zcom.lhe,False,False,local,,,28.2
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.113,cybernet.khi,False,False,local,,,26.2
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.113,nova.lhe,False,False,local,,,30.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.113,orbit.fsd,False,True,trombone,?,174,260.3
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.113,zcom.lhe,False,False,local,,,27.8
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.142,cybernet.khi,False,False,local,,,3.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.142,nova.lhe,False,False,local,,,30.0
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.142,orbit.fsd,False,False,inconclusive,,,49.6
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.142,zcom.lhe,False,False,local,,,28.3
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.170,cybernet.khi,False,True,trombone,EQUINIX-AP,?,90.5
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.170,nova.lhe,False,False,local,,,30.5
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.170,orbit.fsd,False,False,inconclusive,,,52.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.170,zcom.lhe,False,False,local,,,28.3
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.199,cybernet.khi,False,False,local,,,26.1
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.199,nova.lhe,False,False,inconclusive,,,53.8
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.199,orbit.fsd,False,False,inconclusive,,,49.7
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.199,zcom.lhe,False,False,local,,,28.6
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.227,cybernet.khi,False,False,local,,,26.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.227,nova.lhe,False,False,local,,,31.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.227,orbit.fsd,False,False,inconclusive,,,49.4
AS135567,Air Max (Pvt.) Ltd.,103.123.115.0/24,103.123.115.227,zcom.lhe,False,False,local,,,28.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,cybernet.hrp,True,False,local,,,42.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,cybernet.khi,True,False,local,,,23.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,nayatel.isb,True,False,local,,,41.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,nova.lhe,True,False,local,,,24.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,orbit.fsd,True,False,local,,,40.5
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,ptcl.khi,True,False,local,,,43.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.28,zcom.lhe,True,False,local,,,1.9
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,cybernet.hrp,False,False,local,,,43.9
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,cybernet.khi,False,False,local,,,3.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,nayatel.isb,False,False,local,,,3.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,nova.lhe,False,False,local,,,20.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,orbit.fsd,False,False,local,,,40.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,ptcl.khi,False,False,local,,,43.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.56,zcom.lhe,False,False,local,,,1.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,cybernet.hrp,True,False,local,,,43.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,cybernet.khi,True,False,local,,,20.6
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,nayatel.isb,True,False,local,,,39.0
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,nova.lhe,True,False,local,,,20.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,orbit.fsd,True,False,local,,,40.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,ptcl.khi,True,False,local,,,45.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.85,zcom.lhe,True,False,local,,,1.6
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,cybernet.hrp,True,True,trombone,HURRICANE - Hurricane El,9541,42.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,cybernet.khi,True,False,local,,,21.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,nayatel.isb,True,False,local,,,42.0
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,nova.lhe,True,False,local,,,9.6
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,orbit.fsd,True,False,local,,,39.5
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,ptcl.khi,True,False,local,,,43.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.113,zcom.lhe,True,False,local,,,1.5
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,cybernet.hrp,True,False,local,,,44.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,cybernet.khi,True,False,local,,,22.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,nayatel.isb,True,False,local,,,42.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,nova.lhe,True,False,local,,,31.9
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,orbit.fsd,True,False,local,,,41.0
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,ptcl.khi,True,False,local,,,44.0
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.142,zcom.lhe,True,False,local,,,1.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,cybernet.hrp,False,False,local,,,44.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,cybernet.khi,False,False,local,,,3.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,nayatel.isb,False,False,local,,,3.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,nova.lhe,False,False,local,,,24.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,orbit.fsd,False,False,local,,,40.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,ptcl.khi,False,False,local,,,44.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.170,zcom.lhe,False,False,local,,,1.9
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,cybernet.hrp,False,True,trombone,NL-AMSIX-PEERINGLAN1,9541,140.8
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,cybernet.khi,False,False,local,,,3.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,nayatel.isb,False,False,local,,,3.0
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,nova.lhe,False,False,local,,,20.5
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,orbit.fsd,False,False,local,,,40.1
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,ptcl.khi,False,False,local,,,44.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.199,zcom.lhe,False,False,local,,,1.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,cybernet.hrp,False,False,local,,,43.4
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,cybernet.khi,False,False,local,,,3.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,nayatel.isb,False,False,local,,,3.7
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,nova.lhe,False,False,local,,,25.3
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,orbit.fsd,False,False,local,,,40.5
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,ptcl.khi,False,True,trombone,?,PTCL,93.2
AS139302,Ashiq Cable Network (Pvt.) Ltd.,103.141.5.0/24,103.141.5.227,zcom.lhe,False,False,local,,,1.6
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,cybernet.khi,False,False,local,,,18.9
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,nayatel.isb,False,False,local,,,3.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,nova.lhe,False,False,local,,,3.5
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,orbit.fsd,False,False,local,,,41.1
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,ptcl.khi,False,False,local,,,44.6
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.28,zcom.lhe,False,False,local,,,2.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,cybernet.khi,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,nayatel.isb,False,False,local,,,2.8
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,nova.lhe,False,False,local,,,4.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,orbit.fsd,False,False,local,,,39.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,ptcl.khi,False,False,local,,,44.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.56,zcom.lhe,False,False,local,,,2.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,cybernet.khi,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,nayatel.isb,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,nova.lhe,False,False,local,,,3.9
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,orbit.fsd,False,False,local,,,38.9
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,ptcl.khi,False,False,local,,,44.1
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.85,zcom.lhe,False,False,local,,,2.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,cybernet.khi,True,False,local,,,23.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,nayatel.isb,True,False,local,,,41.6
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,nova.lhe,True,False,local,,,3.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,orbit.fsd,True,False,local,,,40.9
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,ptcl.khi,True,False,local,,,44.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.113,zcom.lhe,True,False,local,,,2.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,cybernet.khi,True,False,local,,,25.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,nayatel.isb,True,False,local,,,43.4
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,nova.lhe,True,False,local,,,4.0
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,orbit.fsd,True,False,local,,,39.8
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,ptcl.khi,True,False,local,,,45.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.142,zcom.lhe,True,False,local,,,2.9
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,cybernet.khi,False,False,local,,,3.1
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,nayatel.isb,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,nova.lhe,False,False,local,,,3.4
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,orbit.fsd,False,False,local,,,40.6
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,ptcl.khi,False,False,local,,,43.8
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.170,zcom.lhe,False,False,local,,,2.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,cybernet.khi,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,nayatel.isb,False,False,local,,,3.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,nova.lhe,False,False,local,,,4.1
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,orbit.fsd,False,False,local,,,41.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,ptcl.khi,False,False,local,,,44.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.199,zcom.lhe,False,False,local,,,2.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,cybernet.khi,False,False,local,,,3.1
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,nayatel.isb,False,False,local,,,2.4
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,nova.lhe,False,False,local,,,3.8
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,orbit.fsd,False,False,local,,,42.2
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,ptcl.khi,False,False,local,,,44.3
AS17911,Brain Telecommunication Ltd.,103.100.188.0/24,103.100.188.227,zcom.lhe,False,False,local,,,2.3
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.28,nova.lhe,False,False,local,,,3.3
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.28,zcom.lhe,False,False,local,,,2.2
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.56,nova.lhe,False,False,local,,,6.0
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.56,zcom.lhe,False,False,local,,,2.1
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.85,cybernet.khi,False,False,local,,,3.4
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.85,nayatel.isb,False,False,local,,,2.7
AS17911,Brain Telecommunication Ltd.,122.129.64.0/24,122.129.64.85,nova.lhe,False,False,local,,,3.2
