prefix,live_ip,rcvd,sent,min_rtt,note
111.88.233.0/24,,0,12,,no ICMP responder
115.186.17.0/24,115.186.17.1,3,3,2.841794,
115.186.23.0/24,,0,12,,no ICMP responder
115.186.25.0/24,115.186.25.1,3,3,128.63294,
115.186.30.0/24,,0,12,,no ICMP responder
115.186.31.0/24,115.186.31.1,3,3,248.508091,
115.186.32.0/24,,0,12,,no ICMP responder
115.186.33.0/24,,0,12,,no ICMP responder
115.186.34.0/24,,0,12,,no ICMP responder
115.186.35.0/24,,0,12,,no ICMP responder
115.186.38.0/24,,0,12,,no ICMP responder
115.186.39.0/24,,0,12,,no ICMP responder
115.186.56.0/24,115.186.56.1,3,3,36.522419,
115.186.57.0/24,115.186.57.1,3,3,37.073059,
115.186.58.0/24,115.186.58.1,3,3,37.383684,
115.186.59.0/24,,0,12,,no ICMP responder
115.186.60.0/24,115.186.60.1,3,3,133.690476,
115.186.61.0/24,115.186.61.254,3,3,128.482937,
115.186.90.0/24,,0,12,,no ICMP responder
115.186.96.0/24,,0,12,,no ICMP responder
115.186.98.0/24,,0,12,,no ICMP responder
115.186.101.0/24,,0,12,,no ICMP responder
115.186.106.0/24,,0,12,,no ICMP responder
115.186.107.0/24,,0,12,,no ICMP responder
115.186.108.0/24,,0,12,,no ICMP responder
115.186.109.0/24,,0,12,,no ICMP responder
115.186.110.0/24,,0,12,,no ICMP responder
115.186.111.0/24,,0,12,,no ICMP responder
115.186.112.0/24,,0,12,,no ICMP responder
115.186.113.0/24,115.186.113.1,3,3,120.582615,
115.186.115.0/24,,0,12,,no ICMP responder
115.186.121.0/24,,0,12,,no ICMP responder
115.186.126.0/24,,0,12,,no ICMP responder
117.102.7.0/24,,0,12,,no ICMP responder
117.102.8.0/24,,0,12,,no ICMP responder
117.102.9.0/24,,0,12,,no ICMP responder
117.102.16.0/24,,0,12,,no ICMP responder
117.102.17.0/24,,0,12,,no ICMP responder
117.102.18.0/24,117.102.18.1,3,3,279.009734,
117.102.19.0/24,117.102.19.1,3,3,3.270695,
117.102.26.0/24,,0,12,,no ICMP responder
117.102.32.0/24,,0,12,,no ICMP responder
117.102.40.0/24,,0,12,,no ICMP responder
117.102.41.0/24,,0,12,,no ICMP responder
117.102.42.0/24,,0,12,,no ICMP responder
117.102.43.0/24,,0,12,,no ICMP responder
117.102.44.0/24,,0,12,,no ICMP responder
117.102.45.0/24,,0,12,,no ICMP responder
117.102.46.0/24,,0,12,,no ICMP responder
117.102.47.0/24,,0,12,,no ICMP responder
203.81.230.0/24,,0,12,,no ICMP responder
203.81.239.0/24,203.81.239.1,3,3,38.164651,
