prefix,target_ip,reached,trombones,status,evidence,exit_hop,exit_ip,exit_name,exit_country,transit_asn,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,note,measurement_id
111.88.233.0/24,111.88.233.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,193.8,129.3,18,,182490637
115.186.17.0/24,115.186.17.128,False,False,local,,,,,,,,3.0,3.2,13,,182490687
115.186.23.0/24,115.186.23.128,False,False,local,,,,,,,,37.4,37.8,12,,182490732
115.186.25.0/24,115.186.25.128,False,True,trombone,rtt_jump=92 max_rtt=117,,,(foreign hop not visible — RTT evidence),?,38193,Transworld,117.2,117.4,15,,182490773
115.186.30.0/24,115.186.30.128,False,False,local,,,,,,,,2.8,3.0,12,,182490821
115.186.31.0/24,115.186.31.128,False,False,local,,,,,,,,2.6,2.7,11,,182490869
115.186.32.0/24,115.186.32.128,False,False,local,,,,,,,,3.5,3.9,15,,182490908
115.186.33.0/24,115.186.33.128,False,False,local,,,,,,,,3.5,3.7,16,,182490958
115.186.34.0/24,115.186.34.128,False,False,local,,,,,,,,2.5,3.6,12,,182491005
115.186.35.0/24,115.186.35.128,False,False,local,,,,,,,,3.4,3.7,16,,182491050
115.186.38.0/24,115.186.38.128,False,False,local,,,,,,,,3.7,3.8,16,,182491100
115.186.39.0/24,115.186.39.128,False,False,local,,,,,,,,3.6,3.8,15,,182491146
115.186.56.0/24,115.186.56.128,False,False,local,,,,,,,,37.1,39.8,13,,182491190
115.186.57.0/24,115.186.57.128,False,False,local,,,,,,,,37.4,37.5,12,,182491237
115.186.58.0/24,115.186.58.128,False,False,local,,,,,,,,37.5,37.5,13,,182491282
115.186.59.0/24,115.186.59.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,193.8,116.9,15,,182491328
115.186.60.0/24,115.186.60.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,193.7,117.2,15,,182491372
115.186.61.0/24,115.186.61.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,198.4,132.4,19,,182491407
115.186.90.0/24,115.186.90.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,177.4,111.9,18,,182491458
115.186.96.0/24,115.186.96.128,False,False,local,,,,,,,,26.2,26.2,13,,182491511
115.186.98.0/24,115.186.98.128,False,True,trombone,rtt_jump=1120 max_rtt=1137,,,(foreign hop not visible — RTT evidence),?,38193,Transworld,1137.4,117.8,15,,182491559
115.186.101.0/24,115.186.101.128,False,False,local,,,,,,,,39.5,39.6,12,,182491599
115.186.106.0/24,115.186.106.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,186.0,119.8,16,,182491643
115.186.107.0/24,115.186.107.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,194.3,128.1,16,,182491694
115.186.108.0/24,115.186.108.128,False,True,trombone,rtt_jump=91 max_rtt=129,,,(foreign hop not visible — RTT evidence),?,38193,Transworld,129.3,128.5,19,,182491738
115.186.109.0/24,115.186.109.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,195.1,127.9,19,,182491778
115.186.110.0/24,115.186.110.128,False,True,trombone,rtt_jump=82 max_rtt=120,,,(foreign hop not visible — RTT evidence),?,38193,Transworld,119.6,119.1,19,,182491813
115.186.111.0/24,115.186.111.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,198.2,132.0,16,,182491859
115.186.112.0/24,115.186.112.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,194.3,117.6,15,,182491903
115.186.113.0/24,115.186.113.128,False,True,trombone,foreign_hop,6,27.111.228.83,EQUINIX-AP,SG,38193,Transworld,182.0,107.0,15,,182491953
