trace_id,trace_time,isp,target_hostname,target_ip,observed_path,bgp_paths_found,validation,partial_type
2,2026-06-14T14:25:34+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,371,partial,interesting
4,2026-06-14T14:25:40+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,333,partial,interesting
17,2026-06-14T14:26:13+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,372,partial,interesting
21,2026-06-14T14:26:44+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,336,partial,interesting
22,2026-06-14T14:26:54+00:00,cybernet,nadra.gov.pk,2.19.193.138,8529 > 6939 > 20940,336,partial,interesting
27,2026-06-14T14:27:16+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,370,partial,interesting
39,2026-06-14T14:28:35+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,340,partial,interesting
53,2026-06-14T14:29:53+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,334,partial,interesting
63,2026-06-14T14:30:11+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,340,partial,interesting
64,2026-06-14T14:30:11+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,371,partial,interesting
65,2026-06-14T14:30:15+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,371,partial,interesting
71,2026-06-14T14:30:39+00:00,cybernet,mcb.com.pk,192.124.249.159,1299 > 20773 > 30148,333,partial,interesting
74,2026-06-14T14:31:20+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,370,partial,interesting
77,2026-06-14T14:31:28+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,370,partial,interesting
81,2026-06-14T14:40:27+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,371,partial,interesting
86,2026-06-14T14:40:45+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,333,partial,interesting
97,2026-06-14T14:41:16+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,372,partial,interesting
101,2026-06-14T14:41:46+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,336,partial,interesting
103,2026-06-14T14:41:50+00:00,cybernet,nadra.gov.pk,2.19.193.138,8529 > 6939 > 20940,336,partial,interesting
106,2026-06-14T14:42:09+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,370,partial,interesting
120,2026-06-14T14:43:38+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,340,partial,interesting
