date,origin,churn
2026-05-16,38193,0.0368
2026-05-17,38193,0.0994
2026-05-18,38193,0.1111
2026-05-19,38193,0.0514
2026-05-20,38193,0.1304
2026-05-21,38193,0.09
2026-05-22,38193,0.135
2026-05-23,38193,0.0574
2026-05-24,38193,0.1179
2026-05-25,38193,0.0624
2026-05-26,38193,0.0713
2026-05-27,38193,0.1082
2026-05-28,38193,0.0541
2026-05-29,38193,0.1093
2026-05-30,38193,0.3435
2026-05-31,38193,0.3435
2026-06-01,38193,0.1362
2026-06-02,38193,0.0706
2026-06-03,38193,0.1075
2026-06-04,38193,0.096
2026-06-05,38193,0.0959
2026-06-06,38193,0.1021
2026-06-07,38193,0.0775
2026-06-08,38193,0.0867
2026-06-09,38193,0.0647
2026-06-10,38193,0.0635
2026-06-11,38193,0.0162
2026-06-12,38193,0.0667
2026-06-13,38193,0.1026
2026-06-14,38193,0.0495
2026-06-15,38193,0.072
2026-06-16,38193,0.045
2026-06-17,38193,0.0509
2026-06-18,38193,0.1331
2026-06-19,38193,0.0984
2026-06-20,38193,0.0012
2026-06-21,38193,0.184
2026-06-22,38193,0.0448
2026-06-23,38193,0.0488
2026-06-24,38193,0.0869
2026-06-25,38193,0.0474
2026-06-26,38193,0.0777
2026-06-27,38193,0.0208
2026-06-28,38193,0.0581
2026-06-29,38193,0.0112
2026-06-30,38193,0.0529
2026-07-01,38193,0.0432
2026-07-02,38193,0.201
2026-07-03,38193,0.1834
2026-07-04,38193,0.052
2026-07-05,38193,0.0452
2026-07-06,38193,0.0015
2026-07-07,38193,0.0455
2026-07-08,38193,0.0549
2026-07-09,38193,0.0483
2026-07-10,38193,0.0614
2026-05-16,17557,0.056
2026-05-17,17557,0.103
2026-05-18,17557,0.1049
2026-05-19,17557,0.0122
2026-05-20,17557,0.043
2026-05-21,17557,0.0977
2026-05-22,17557,0.1307
2026-05-23,17557,0.05
2026-05-24,17557,0.0903
2026-05-25,17557,0.0362
2026-05-26,17557,0.0174
2026-05-27,17557,0.1207
2026-05-28,17557,0.1025
2026-05-29,17557,0.1627
2026-05-30,17557,0.1875
2026-05-31,17557,0.1883
2026-06-01,17557,0.1834
2026-06-02,17557,0.0717
2026-06-03,17557,0.166
2026-06-04,17557,0.0952
2026-06-05,17557,0.0933
2026-06-06,17557,0.1015
2026-06-07,17557,0.18
2026-06-08,17557,0.0781
2026-06-09,17557,0.0212
2026-06-10,17557,0.0244
2026-06-11,17557,0.005
2026-06-12,17557,0.0077
2026-06-13,17557,0.021
2026-06-14,17557,0.0334
2026-06-15,17557,0.0165
2026-06-16,17557,0.0152
2026-06-17,17557,0.0533
2026-06-18,17557,0.1383
2026-06-19,17557,0.0362
2026-06-20,17557,0.0
2026-06-21,17557,0.1416
2026-06-22,17557,0.052
2026-06-23,17557,0.0701
2026-06-24,17557,0.0106
2026-06-25,17557,0.0239
2026-06-26,17557,0.0724
2026-06-27,17557,0.0056
2026-06-28,17557,0.0785
2026-06-29,17557,0.01
2026-06-30,17557,0.0615
2026-07-01,17557,0.0954
2026-07-02,17557,0.055
2026-07-03,17557,0.141
2026-07-04,17557,0.0292
2026-07-05,17557,0.0441
2026-07-06,17557,0.0001
2026-07-07,17557,0.0394
2026-07-08,17557,0.0628
2026-07-09,17557,0.0672
2026-07-10,17557,0.0496
