date,asn,name,role,churn
2026-06-16,8529,Omantel,smw5-other-branch,0.0388
2026-06-17,8529,Omantel,smw5-other-branch,0.0481
2026-06-18,8529,Omantel,smw5-other-branch,0.0464
2026-06-19,8529,Omantel,smw5-other-branch,0.0497
2026-06-20,8529,Omantel,smw5-other-branch,0.0011
2026-06-21,8529,Omantel,smw5-other-branch,0.0874
2026-06-22,8529,Omantel,smw5-other-branch,0.0366
2026-06-23,8529,Omantel,smw5-other-branch,0.0348
2026-06-24,8529,Omantel,smw5-other-branch,0.0618
2026-06-25,8529,Omantel,smw5-other-branch,0.0226
2026-06-26,8529,Omantel,smw5-other-branch,0.0859
2026-06-27,8529,Omantel,smw5-other-branch,0.0078
2026-06-28,8529,Omantel,smw5-other-branch,0.0615
2026-06-29,8529,Omantel,smw5-other-branch,0.0083
2026-06-30,8529,Omantel,smw5-other-branch,0.0653
2026-07-01,8529,Omantel,smw5-other-branch,0.0404
2026-07-02,8529,Omantel,smw5-other-branch,0.0618
2026-07-03,8529,Omantel,smw5-other-branch,0.0893
2026-07-04,8529,Omantel,smw5-other-branch,0.0437
2026-07-05,8529,Omantel,smw5-other-branch,0.0606
2026-07-06,8529,Omantel,smw5-other-branch,0.0005
2026-07-07,8529,Omantel,smw5-other-branch,0.0456
2026-07-08,8529,Omantel,smw5-other-branch,0.0429
2026-07-09,8529,Omantel,smw5-other-branch,0.0474
2026-07-10,8529,Omantel,smw5-other-branch,0.0548
2026-06-16,9329,SLT,smw5-other-branch,0.0234
2026-06-17,9329,SLT,smw5-other-branch,0.0571
2026-06-18,9329,SLT,smw5-other-branch,0.1401
2026-06-19,9329,SLT,smw5-other-branch,0.023
2026-06-20,9329,SLT,smw5-other-branch,0.0005
2026-06-21,9329,SLT,smw5-other-branch,0.1772
2026-06-22,9329,SLT,smw5-other-branch,0.0475
2026-06-23,9329,SLT,smw5-other-branch,0.0728
2026-06-24,9329,SLT,smw5-other-branch,0.0291
2026-06-25,9329,SLT,smw5-other-branch,0.0102
2026-06-26,9329,SLT,smw5-other-branch,0.0993
2026-06-27,9329,SLT,smw5-other-branch,0.0052
2026-06-28,9329,SLT,smw5-other-branch,0.0865
2026-06-29,9329,SLT,smw5-other-branch,0.0058
2026-06-30,9329,SLT,smw5-other-branch,0.0723
2026-07-01,9329,SLT,smw5-other-branch,0.119
2026-07-02,9329,SLT,smw5-other-branch,0.0808
2026-07-03,9329,SLT,smw5-other-branch,0.1998
2026-07-04,9329,SLT,smw5-other-branch,0.0432
2026-07-05,9329,SLT,smw5-other-branch,0.0668
2026-07-06,9329,SLT,smw5-other-branch,0.0007
2026-07-07,9329,SLT,smw5-other-branch,0.048
2026-07-08,9329,SLT,smw5-other-branch,0.0304
2026-07-09,9329,SLT,smw5-other-branch,0.0716
2026-07-10,9329,SLT,smw5-other-branch,0.0488
2026-06-16,23752,NTC-Nepal,non-smw5,0.0373
2026-06-17,23752,NTC-Nepal,non-smw5,0.0519
2026-06-18,23752,NTC-Nepal,non-smw5,0.0617
2026-06-19,23752,NTC-Nepal,non-smw5,0.1205
2026-06-20,23752,NTC-Nepal,non-smw5,0.0036
2026-06-21,23752,NTC-Nepal,non-smw5,0.1605
2026-06-22,23752,NTC-Nepal,non-smw5,0.0542
2026-06-23,23752,NTC-Nepal,non-smw5,0.059
2026-06-24,23752,NTC-Nepal,non-smw5,0.0349
2026-06-25,23752,NTC-Nepal,non-smw5,0.0348
2026-06-26,23752,NTC-Nepal,non-smw5,0.0944
2026-06-27,23752,NTC-Nepal,non-smw5,0.014
2026-06-28,23752,NTC-Nepal,non-smw5,0.0717
2026-06-29,23752,NTC-Nepal,non-smw5,0.0271
2026-06-30,23752,NTC-Nepal,non-smw5,0.0504
2026-07-01,23752,NTC-Nepal,non-smw5,0.0774
2026-07-02,23752,NTC-Nepal,non-smw5,0.1511
2026-07-03,23752,NTC-Nepal,non-smw5,0.2056
2026-07-04,23752,NTC-Nepal,non-smw5,0.0751
2026-07-05,23752,NTC-Nepal,non-smw5,0.0789
2026-07-06,23752,NTC-Nepal,non-smw5,0.0036
2026-07-07,23752,NTC-Nepal,non-smw5,0.0567
2026-07-08,23752,NTC-Nepal,non-smw5,0.0591
2026-07-09,23752,NTC-Nepal,non-smw5,0.0587
2026-07-10,23752,NTC-Nepal,non-smw5,0.047
2026-06-16,45899,VNPT,non-smw5,0.0626
2026-06-17,45899,VNPT,non-smw5,0.0514
2026-06-18,45899,VNPT,non-smw5,0.0861
2026-06-19,45899,VNPT,non-smw5,0.0789
2026-06-20,45899,VNPT,non-smw5,0.003
2026-06-21,45899,VNPT,non-smw5,0.1429
2026-06-22,45899,VNPT,non-smw5,0.0568
2026-06-23,45899,VNPT,non-smw5,0.1059
2026-06-24,45899,VNPT,non-smw5,0.0725
2026-06-25,45899,VNPT,non-smw5,0.0377
2026-06-26,45899,VNPT,non-smw5,0.0928
2026-06-27,45899,VNPT,non-smw5,0.0229
2026-06-28,45899,VNPT,non-smw5,0.093
2026-06-29,45899,VNPT,non-smw5,0.0283
2026-06-30,45899,VNPT,non-smw5,0.1109
2026-07-01,45899,VNPT,non-smw5,0.0239
