origin,base_ptcl,base_twa,fault_ptcl,fault_twa,verdict,max_shift,material
4615,0.0,0.0,0.0,0.0,neither,0.0,False
4661,1.0,0.0,1.0,0.0,held,0.0,False
7590,0.714,0.286,0.705,0.295,held,0.009,False
7605,0.0,0.0,0.0,0.0,neither,0.0,False
9260,0.052,0.948,0.054,0.946,held,0.001,False
9387,0.207,0.793,0.204,0.796,held,0.003,False
9541,0.116,0.0,0.119,0.0,held,0.002,False
9557,1.0,0.0,1.0,0.0,held,0.0,False
9937,1.0,0.0,1.0,0.0,held,0.0,False
9940,0.0,0.0,0.0,0.0,neither,0.0,False
10112,0.0,0.0,0.0,0.0,neither,0.0,False
17539,0.546,0.455,0.55,0.45,held,0.004,False
17557,1.0,0.0,1.0,0.0,held,0.0,False
17563,0.174,0.826,0.175,0.825,held,0.001,False
17787,0.438,0.562,0.438,0.562,held,0.0,False
17911,0.587,0.413,0.56,0.44,held,0.026,False
18053,0.0,1.0,0.0,1.0,held,0.0,False
18173,0.0,1.0,0.0,1.0,held,0.0,False
18212,0.0,1.0,0.0,1.0,held,0.0,False
18359,0.0,1.0,0.069,0.372,held,0.628,True
23607,0.0,0.0,0.0,0.0,neither,0.0,False
23674,0.724,0.276,0.731,0.269,held,0.006,False
23750,0.0,1.0,0.0,1.0,held,0.0,False
23888,0.718,0.282,0.692,0.308,held,0.026,False
23966,0.006,0.994,0.006,0.995,held,0.0,False
24051,0.0,0.0,0.0,0.0,neither,0.0,False
24105,0.0,1.0,0.0,1.0,held,0.0,False
24435,0.574,0.426,0.581,0.419,held,0.007,False
24440,0.055,0.0,0.077,0.0,neither,0.023,False
24499,0.95,0.0,0.95,0.0,held,0.0,False
37973,0.0,1.0,0.0,1.0,held,0.0,False
38193,0.0,1.0,0.0,1.0,held,0.0,False
38196,0.0,0.0,0.0,0.0,neither,0.0,False
38264,0.163,0.837,0.162,0.838,held,0.001,False
38488,0.148,0.866,0.152,0.862,held,0.004,False
38547,0.308,0.692,0.308,0.692,held,0.0,False
38584,0.889,0.111,0.875,0.125,held,0.015,False
38616,0.0,0.0,0.0,0.0,neither,0.0,False
38710,0.35,0.65,0.346,0.654,held,0.003,False
38713,0.0,1.0,0.0,1.0,held,0.0,False
38808,0.0,0.0,0.0,0.0,neither,0.0,False
45127,0.0,0.0,0.0,0.0,neither,0.0,False
45195,0.235,0.79,0.275,0.752,held,0.04,False
45246,0.0,0.0,0.0,0.0,neither,0.0,False
45252,0.0,0.0,0.0,0.0,neither,0.0,False
45446,0.135,0.536,0.158,0.51,held,0.026,False
45595,1.0,0.0,1.0,0.0,held,0.0,False
45605,0.0,0.0,0.0,0.0,neither,0.0,False
45669,0.145,0.82,0.146,0.817,held,0.003,False
45748,0.5,0.5,0.5,0.5,switched,0.0,False
45773,0.669,0.331,0.676,0.324,held,0.007,False
45779,0.0,1.0,0.0,1.0,held,0.0,False
45814,0.0,1.0,0.0,1.0,held,0.0,False
45843,0.0,0.0,0.0,0.0,neither,0.0,False
45939,0.0,0.0,0.0,0.0,neither,0.0,False
