date,origin,origin_name,transit,transit_name,hegemony
2026-06-15,9541,Cybernet,174,"COGENT-174 - Cogent Communications, ",0.2579
2026-06-15,9541,Cybernet,1299,"TWELVE99 Arelion Sweden AB, SE",0.059
2026-06-15,9541,Cybernet,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.1365
2026-06-15,9541,Cybernet,8529,OMANTEL-AS Zain Omantel Internationa,0.0298
2026-06-15,9541,Cybernet,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.1149
2026-06-15,9541,Cybernet,23764,"CTGNet - CTGNet, HK",0.0214
2026-06-15,9541,Cybernet,57463,"NetIX NetIX Communications JSC, BG",0.048
2026-06-15,17557,PTCL,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0863
2026-06-15,23674,Nayatel,174,"COGENT-174 - Cogent Communications, ",0.1373
2026-06-15,23674,Nayatel,1299,"TWELVE99 Arelion Sweden AB, SE",0.0231
2026-06-15,23674,Nayatel,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0286
2026-06-15,23674,Nayatel,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.1463
2026-06-15,23674,Nayatel,8529,OMANTEL-AS Zain Omantel Internationa,0.0336
2026-06-15,23674,Nayatel,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.6898
2026-06-15,23674,Nayatel,38193,TWA-AS-AP - Transworld Associates (P,0.3102
2026-06-15,23888,NTC,174,"COGENT-174 - Cogent Communications, ",0.0919
2026-06-15,23888,NTC,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0515
2026-06-15,23888,NTC,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.0844
2026-06-15,23888,NTC,8529,OMANTEL-AS Zain Omantel Internationa,0.2206
2026-06-15,23888,NTC,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.0482
2026-06-15,23888,NTC,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.6863
2026-06-15,23888,NTC,38193,TWA-AS-AP - Transworld Associates (P,0.3137
2026-06-15,23888,NTC,137409,GSLNETWORKS-AS-AP - GSL Networks Pty,0.1707
2026-06-15,38193,Transworld,174,"COGENT-174 - Cogent Communications, ",0.1555
2026-06-15,38193,Transworld,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.1843
2026-06-15,38193,Transworld,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.1357
2026-06-15,38193,Transworld,6939,"HURRICANE - Hurricane Electric LLC, ",0.0306
2026-06-15,38193,Transworld,8529,OMANTEL-AS Zain Omantel Internationa,0.0462
2026-06-15,135407,TES,174,"COGENT-174 - Cogent Communications, ",0.1722
2026-06-15,135407,TES,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0338
2026-06-15,135407,TES,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.1763
2026-06-15,135407,TES,6939,"HURRICANE - Hurricane Electric LLC, ",0.0289
2026-06-15,135407,TES,8529,OMANTEL-AS Zain Omantel Internationa,0.0728
2026-06-15,135407,TES,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.0949
2026-06-15,135407,TES,38193,TWA-AS-AP - Transworld Associates (P,1.0
2026-06-15,136174,Nova,174,"COGENT-174 - Cogent Communications, ",0.0547
2026-06-15,136174,Nova,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.4987
2026-06-15,136174,Nova,6939,"HURRICANE - Hurricane Electric LLC, ",0.0208
2026-06-15,136174,Nova,8529,OMANTEL-AS Zain Omantel Internationa,0.0391
2026-06-15,136174,Nova,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.125
2026-06-15,136174,Nova,38193,TWA-AS-AP - Transworld Associates (P,0.9139
2026-06-15,136174,Nova,138423,CMPAKLIMITED-AS-ENTCORP - CMPak Limi,0.125
2026-06-15,150683,Fasttel,174,"COGENT-174 - Cogent Communications, ",0.0544
2026-06-15,150683,Fasttel,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0833
2026-06-15,150683,Fasttel,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.1014
2026-06-15,150683,Fasttel,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.7652
2026-06-15,150683,Fasttel,38193,TWA-AS-AP - Transworld Associates (P,0.2348
2026-06-15,150683,Fasttel,38264,WATEEN-IMS-PK-AS-AP - National WiMAX,0.0405
2026-06-15,150683,Fasttel,138423,CMPAKLIMITED-AS-ENTCORP - CMPak Limi,0.8889
2026-06-15,150683,Fasttel,138655,TES-PL-AS-AP - Trans World Enterpris,0.0556
2026-06-15,151983,Orbit,174,"COGENT-174 - Cogent Communications, ",0.1785
2026-06-15,151983,Orbit,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.3169
2026-06-15,151983,Orbit,8529,OMANTEL-AS Zain Omantel Internationa,0.0231
2026-06-15,151983,Orbit,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",0.1111
2026-06-15,151983,Orbit,38193,TWA-AS-AP - Transworld Associates (P,1.0
2026-06-15,151983,Orbit,58453,CMI-INT-HK - China Mobile Internatio,0.0266
2026-06-15,151983,Orbit,58470,Mobilink-Peering-AS-PK - IX Peering ,0.1111
2026-06-15,151983,Orbit,138655,TES-PL-AS-AP - Trans World Enterpris,0.7778
2026-06-15,152605,Z-Com,174,"COGENT-174 - Cogent Communications, ",0.3221
2026-06-15,152605,Z-Com,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.2899
2026-06-15,152605,Z-Com,38193,TWA-AS-AP - Transworld Associates (P,1.0
2026-06-15,152605,Z-Com,58453,CMI-INT-HK - China Mobile Internatio,0.0409
2026-06-16,9541,Cybernet,174,"COGENT-174 - Cogent Communications, ",0.2556
2026-06-16,9541,Cybernet,1299,"TWELVE99 Arelion Sweden AB, SE",0.0679
2026-06-16,9541,Cybernet,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.1238
2026-06-16,9541,Cybernet,8529,OMANTEL-AS Zain Omantel Internationa,0.0278
2026-06-16,9541,Cybernet,17557,PKTELECOM-AS-PK - Pakistan Telecommu,0.1141
2026-06-16,9541,Cybernet,57463,"NetIX NetIX Communications JSC, BG",0.0503
2026-06-16,17557,PTCL,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0731
2026-06-16,17557,PTCL,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.0232
2026-06-16,23674,Nayatel,174,"COGENT-174 - Cogent Communications, ",0.1354
2026-06-16,23674,Nayatel,1299,"TWELVE99 Arelion Sweden AB, SE",0.0214
2026-06-16,23674,Nayatel,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.0214
2026-06-16,23674,Nayatel,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.1139
