date,origin,transit,transit_name,hege
2026-06-28,17557,174,"COGENT-174 - Cogent Communications, ",0.005818484052682996
2026-06-28,17557,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.06154418401625378
2026-06-28,17557,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,6.518963445855964e-06
2026-06-28,17557,6939,"HURRICANE - Hurricane Electric LLC, ",1.1035602635347561e-06
2026-06-28,17557,8529,OMANTEL-AS Zain Omantel Internationa,0.008252692730871597
2026-06-28,17557,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.0018141143345807619
2026-06-28,17557,137409,GSLNETWORKS-AS-AP - GSL Networks Pty,0.0015647834977766003
2026-06-28,38193,174,"COGENT-174 - Cogent Communications, ",0.14221360565800295
2026-06-28,38193,1299,"TWELVE99 Arelion Sweden AB, SE",0.005852878571469402
2026-06-28,38193,2914,"NTT-DATA-2914 - NTT America, Inc., U",0.00016886187098953055
2026-06-28,38193,3320,"DTAG Deutsche Telekom AG, DE",0.002172096908939015
2026-06-28,38193,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.20546392929037513
2026-06-28,38193,6453,AS6453 - TATA COMMUNICATIONS (AMERIC,0.0001670843776106934
2026-06-28,38193,6461,"ZAYO-6461 - Zayo Bandwidth, US",0.00250911369332422
2026-06-28,38193,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,0.08174614403391993
2026-06-28,38193,6939,"HURRICANE - Hurricane Electric LLC, ",0.02186772935924039
2026-06-28,38193,7473,SINGTEL-AS-AP - Singapore Telecommun,0.005847953216374266
2026-06-28,38193,8529,OMANTEL-AS Zain Omantel Internationa,0.0437501100545953
2026-06-28,38193,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.02096908939014201
2026-06-28,38193,58453,CMI-INT-HK - China Mobile Internatio,0.0018048593706488448
2026-06-28,38193,137409,GSLNETWORKS-AS-AP - GSL Networks Pty,0.011091568746746093
2026-06-29,17557,174,"COGENT-174 - Cogent Communications, ",0.004256625504819271
2026-06-29,17557,3356,"LEVEL3 - Level 3 Parent, LLC, US",0.04496414994023136
2026-06-29,17557,6762,SEABONE-NET TELECOM ITALIA SPARKLE S,5.292993664286584e-06
2026-06-29,17557,8529,OMANTEL-AS Zain Omantel Internationa,0.008663962079710572
2026-06-29,17557,8966,Etisalat-AS EMIRATES TELECOMMUNICATI,0.0005144789841686559
2026-06-29,17557,137409,GSLNETWORKS-AS-AP - GSL Networks Pty,0.0015166547396564872
2026-06-29,38193,174,"COGENT-174 - Cogent Communications, ",0.13015314692770957
2026-06-29,38193,1299,"TWELVE99 Arelion Sweden AB, SE",0.005363954631689185
