time,probe,cat,target,target_ip,reached,ping_rtt,baseline_rtt,spike_x,trace_max_rtt,max_hop_delta,delta_link,tromboned,exit
2026-07-02 20:27,nayatel (AS23674),CDN,telenor.com.pk,104.18.12.112,True,22.2,21.9,1.0,23.0,19.9,RFC1918()->PKTELECOM-AS-P(PK),False,
2026-07-02 20:28,orbit (AS151983),CDN,telenor.com.pk,104.18.12.112,True,97.0,96.7,1.0,99.7,74.8,?()->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:29,ptcl.anchor (AS17557),CDN,telenor.com.pk,104.18.12.112,False,,24.0,,0.9,0.0,,False,
2026-07-02 20:30,nayatel (AS23674),CDN,telenor.com.pk,104.18.12.112,True,22.2,21.9,1.0,23.1,20.6,RFC1918()->PKTELECOM-AS-P(PK),False,
2026-07-02 20:30,transworld (AS38193),CDN,telenor.com.pk,104.18.12.112,True,105.5,101.0,1.0,101.4,100.8,RFC1918()->CLOUDFLARENET (US),True,CLOUDFLARENET - Cloudfla
2026-07-02 20:30,tes.transworld-retail (AS135407),CDN,telenor.com.pk,104.18.12.112,True,99.2,99.2,1.0,194.7,171.1,TWA(PK)->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:31,fasttel (AS150683),CDN,telenor.com.pk,104.18.12.112,True,22.5,23.1,1.0,29.1,23.2,RFC1918()->RFC1918(),False,
2026-07-02 20:31,ptcl (AS17557),CDN,telenor.com.pk,104.18.12.112,True,28.7,28.7,1.0,24.5,24.4,RFC1918()->CLOUDFLARENET (US),False,
2026-07-02 20:31,cybernet (AS9541),CDN,telenor.com.pk,104.18.12.112,True,25.3,4.4,5.8,25.4,18.5,RFC1918()->RFC1918(),False,
2026-07-02 20:31,cybernet (AS9541),CDN,telenor.com.pk,104.18.12.112,True,25.3,4.4,5.8,5.1,2.7,RFC1918()->?(),False,
2026-07-02 20:31,cybernet (AS9541),CDN,telenor.com.pk,104.18.12.112,True,25.3,4.4,5.8,4.5,2.1,RFC1918()->CYBERNET-PK(PK),False,
2026-07-02 20:32,nova/tpcpl (AS136174),CDN,telenor.com.pk,104.18.12.112,True,99.1,98.6,1.0,103.5,79.8,?()->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:32,ptcl.khi (AS17557),CDN,telenor.com.pk,104.18.12.112,True,25.5,25.9,1.0,26.2,24.2,RFC1918()->PKTELECOM-AS-P(PK),False,
2026-07-02 20:32,zcom.anchor (AS152605),CDN,telenor.com.pk,104.18.12.112,True,95.6,95.6,1.0,101.2,75.9,TWA(PK)->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:43,orbit (AS151983),CDN,telenor.com.pk,104.18.12.112,True,96.3,96.7,1.0,182.2,143.7,?()->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:43,nayatel (AS23674),CDN,telenor.com.pk,104.18.12.112,True,21.9,21.9,1.0,23.0,19.2,RFC1918()->PKTELECOM-AS-P(PK),False,
2026-07-02 20:44,ptcl.anchor (AS17557),CDN,telenor.com.pk,104.18.12.112,False,,24.0,,0.8,0.0,,False,
2026-07-02 20:45,cybernet (AS9541),CDN,telenor.com.pk,104.18.12.112,True,4.1,4.4,0.9,26.2,20.2,RFC1918()->RFC1918(),False,
2026-07-02 20:45,nayatel (AS23674),CDN,telenor.com.pk,104.18.12.112,True,21.9,21.9,1.0,22.8,19.1,RFC1918()->PKTELECOM-AS-P(PK),False,
2026-07-02 20:45,transworld (AS38193),CDN,telenor.com.pk,104.18.12.112,True,99.6,101.0,1.0,98.7,98.0,RFC1918()->CLOUDFLARENET (US),True,CLOUDFLARENET - Cloudfla
2026-07-02 20:45,tes.transworld-retail (AS135407),CDN,telenor.com.pk,104.18.12.112,True,99.1,99.2,1.0,195.1,171.3,TWA(PK)->CMI-INT-HK - C(HK),True,CMI-INT-HK - China Mobil
2026-07-02 20:46,fasttel (AS150683),CDN,telenor.com.pk,104.18.12.112,True,23.1,23.1,1.0,28.9,16.8,RFC1918()->RFC1918(),False,
2026-07-02 20:46,ptcl (AS17557),CDN,telenor.com.pk,104.18.12.112,True,27.1,28.7,0.9,24.0,23.9,RFC1918()->CLOUDFLARENET (US),False,
