epoch,ts_utc,probe_id,probe,cat,target,target_ip,rtt_ms
1783024096,2026-07-02 20:28:16,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,150.1
1783024104,2026-07-02 20:28:24,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.7
1783024108,2026-07-02 20:28:28,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.0
1783024995,2026-07-02 20:43:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,146.9
1783025005,2026-07-02 20:43:25,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,147.9
1783025006,2026-07-02 20:43:26,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,164.7
1783025895,2026-07-02 20:58:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.0
1783025896,2026-07-02 20:58:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,162.6
1783025899,2026-07-02 20:58:19,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.0
1783026799,2026-07-02 21:13:19,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.7
1783026800,2026-07-02 21:13:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.1
1783026809,2026-07-02 21:13:29,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,163.8
1783027703,2026-07-02 21:28:23,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,162.3
1783027703,2026-07-02 21:28:23,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.0
1783027704,2026-07-02 21:28:24,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,148.1
1783028596,2026-07-02 21:43:16,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.1
1783028599,2026-07-02 21:43:19,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.6
1783028601,2026-07-02 21:43:21,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.8
1783029497,2026-07-02 21:58:17,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.3
1783029498,2026-07-02 21:58:18,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783029500,2026-07-02 21:58:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.8
1783030396,2026-07-02 22:13:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.5
1783030397,2026-07-02 22:13:17,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.0
1783030408,2026-07-02 22:13:28,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.7
1783031295,2026-07-02 22:28:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783031300,2026-07-02 22:28:20,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.8
1783031305,2026-07-02 22:28:25,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783032201,2026-07-02 22:43:21,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.0
1783032201,2026-07-02 22:43:21,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.3
1783032209,2026-07-02 22:43:29,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.6
1783033105,2026-07-02 22:58:25,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.0
1783033107,2026-07-02 22:58:27,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.4
1783033108,2026-07-02 22:58:28,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.6
1783034001,2026-07-02 23:13:21,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.7
1783034006,2026-07-02 23:13:26,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.5
1783034009,2026-07-02 23:13:29,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.4
1783034899,2026-07-02 23:28:19,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,163.9
1783034908,2026-07-02 23:28:28,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783034909,2026-07-02 23:28:29,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.7
1783035800,2026-07-02 23:43:20,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783035800,2026-07-02 23:43:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.2
1783035805,2026-07-02 23:43:25,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,163.5
1783036702,2026-07-02 23:58:22,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783036708,2026-07-02 23:58:28,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.0
1783036709,2026-07-02 23:58:29,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783037597,2026-07-03 00:13:17,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.3
1783037600,2026-07-03 00:13:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783037607,2026-07-03 00:13:27,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,152.1
1783038496,2026-07-03 00:28:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.4
1783038496,2026-07-03 00:28:16,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.7
1783038509,2026-07-03 00:28:29,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783039397,2026-07-03 00:43:17,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.2
1783039404,2026-07-03 00:43:24,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783039407,2026-07-03 00:43:27,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783040297,2026-07-03 00:58:17,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.7
1783040306,2026-07-03 00:58:26,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.5
1783040306,2026-07-03 00:58:26,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.7
1783041196,2026-07-03 01:13:16,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.4
1783041198,2026-07-03 01:13:18,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.5
1783041209,2026-07-03 01:13:29,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.9
1783042097,2026-07-03 01:28:17,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.8
1783042108,2026-07-03 01:28:28,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.6
1783042108,2026-07-03 01:28:28,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.6
1783042996,2026-07-03 01:43:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,165.2
1783043001,2026-07-03 01:43:21,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.4
1783043009,2026-07-03 01:43:29,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,151.9
1783043899,2026-07-03 01:58:19,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.5
1783043904,2026-07-03 01:58:24,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783043909,2026-07-03 01:58:29,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783044796,2026-07-03 02:13:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.6
1783044797,2026-07-03 02:13:17,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783044805,2026-07-03 02:13:25,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783045697,2026-07-03 02:28:17,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.5
1783045698,2026-07-03 02:28:18,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783045699,2026-07-03 02:28:19,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.2
1783046595,2026-07-03 02:43:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783046602,2026-07-03 02:43:22,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
1783046603,2026-07-03 02:43:23,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.1
1783047500,2026-07-03 02:58:20,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.7
1783047500,2026-07-03 02:58:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.2
1783047506,2026-07-03 02:58:26,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783048397,2026-07-03 03:13:17,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.5
1783048403,2026-07-03 03:13:23,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783048409,2026-07-03 03:13:29,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783049305,2026-07-03 03:28:25,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.6
1783049305,2026-07-03 03:28:25,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783049309,2026-07-03 03:28:29,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
1783050196,2026-07-03 03:43:16,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.5
1783050204,2026-07-03 03:43:24,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783050207,2026-07-03 03:43:27,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783051095,2026-07-03 03:58:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,127.8
1783051106,2026-07-03 03:58:26,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,150.0
1783051107,2026-07-03 03:58:27,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,127.8
1783052000,2026-07-03 04:13:20,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,158.2
1783052000,2026-07-03 04:13:20,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783052000,2026-07-03 04:13:20,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783052895,2026-07-03 04:28:15,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783052898,2026-07-03 04:28:18,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,158.3
1783052902,2026-07-03 04:28:22,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.4
1783053804,2026-07-03 04:43:24,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.7
1783053807,2026-07-03 04:43:27,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.2
1783053807,2026-07-03 04:43:27,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
1783054698,2026-07-03 04:58:18,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.8
1783054701,2026-07-03 04:58:21,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783054706,2026-07-03 04:58:26,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.2
1783055595,2026-07-03 05:13:15,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.7
1783055598,2026-07-03 05:13:18,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.1
1783055601,2026-07-03 05:13:21,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,140.0
1783056501,2026-07-03 05:28:21,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.4
1783056501,2026-07-03 05:28:21,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
1783056507,2026-07-03 05:28:27,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.7
1783057395,2026-07-03 05:43:15,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.5
1783057399,2026-07-03 05:43:19,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.8
1783057401,2026-07-03 05:43:21,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.3
1783058298,2026-07-03 05:58:18,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
1783058304,2026-07-03 05:58:24,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.6
1783058306,2026-07-03 05:58:26,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,159.2
1783059202,2026-07-03 06:13:22,1016036,cybernet (AS9541),CDN,aku.edu,52.156.198.57,149.1
1783059202,2026-07-03 06:13:22,1016143,cybernet (AS9541),CDN,aku.edu,52.156.198.57,138.9
1783059208,2026-07-03 06:13:28,1016154,cybernet (AS9541),CDN,aku.edu,52.156.198.57,139.5
