isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
zcom,7613,apkamazon.com.pk,91.3,distant,43.48
nayatel,60223,apkamazon.com.pk,2.1,local,1.0
transworld,62224,apkamazon.com.pk,94.7,distant,45.1
tes,64078,apkamazon.com.pk,97.8,distant,46.57
orbit,64535,apkamazon.com.pk,94.2,distant,44.86
tes,64722,apkamazon.com.pk,78.2,distant,37.24
nayatel,65892,apkamazon.com.pk,2.7,local,1.29
fasttel,1014872,apkamazon.com.pk,202.4,distant,96.38
nova,1015679,apkamazon.com.pk,92.7,distant,44.14
cybernet,1016036,apkamazon.com.pk,22.8,regional,10.86
ptcl,1016126,apkamazon.com.pk,264.1,distant,125.76
cybernet,1016143,apkamazon.com.pk,4.5,local,2.14
cybernet,1016154,apkamazon.com.pk,3.6,local,1.71
ptcl,1016393,apkamazon.com.pk,269.3,distant,128.24
zcom,7613,auroracloset.pk,15.7,regional,6.28
nayatel,60223,auroracloset.pk,2.5,local,1.0
transworld,62224,auroracloset.pk,18.7,regional,7.48
tes,64078,auroracloset.pk,22.4,regional,8.96
orbit,64535,auroracloset.pk,18.0,regional,7.2
tes,64722,auroracloset.pk,2.8,local,1.12
nayatel,65892,auroracloset.pk,2.9,local,1.16
fasttel,1014872,auroracloset.pk,21.7,regional,8.68
nova,1015679,auroracloset.pk,17.4,regional,6.96
cybernet,1016036,auroracloset.pk,117.6,distant,47.04
ptcl,1016126,auroracloset.pk,25.3,regional,10.12
cybernet,1016143,auroracloset.pk,99.2,distant,39.68
cybernet,1016154,auroracloset.pk,108.6,distant,43.44
ptcl,1016393,auroracloset.pk,25.4,regional,10.16
zcom,7613,burgeroclock.com.pk,16.0,regional,6.67
nayatel,60223,burgeroclock.com.pk,2.4,local,1.0
transworld,62224,burgeroclock.com.pk,20.2,regional,8.42
tes,64078,burgeroclock.com.pk,21.8,regional,9.08
orbit,64535,burgeroclock.com.pk,19.2,regional,8.0
tes,64722,burgeroclock.com.pk,2.8,local,1.17
nayatel,65892,burgeroclock.com.pk,3.0,local,1.25
fasttel,1014872,burgeroclock.com.pk,22.1,regional,9.21
nova,1015679,burgeroclock.com.pk,17.6,regional,7.33
cybernet,1016036,burgeroclock.com.pk,22.7,regional,9.46
ptcl,1016126,burgeroclock.com.pk,25.3,regional,10.54
cybernet,1016143,burgeroclock.com.pk,4.4,local,1.83
cybernet,1016154,burgeroclock.com.pk,4.0,local,1.67
ptcl,1016393,burgeroclock.com.pk,23.6,regional,9.83
zcom,7613,businesslist.pk,91.2,distant,38.0
nayatel,60223,businesslist.pk,2.4,local,1.0
transworld,62224,businesslist.pk,95.8,distant,39.92
tes,64078,businesslist.pk,97.4,distant,40.58
orbit,64535,businesslist.pk,93.3,distant,38.88
tes,64722,businesslist.pk,78.2,distant,32.58
nayatel,65892,businesslist.pk,2.8,local,1.17
fasttel,1014872,businesslist.pk,127.6,distant,53.17
nova,1015679,businesslist.pk,92.7,distant,38.62
cybernet,1016036,businesslist.pk,22.8,regional,9.5
ptcl,1016126,businesslist.pk,136.6,distant,56.92
cybernet,1016143,businesslist.pk,4.3,local,1.79
cybernet,1016154,businesslist.pk,4.0,local,1.67
ptcl,1016393,businesslist.pk,131.3,distant,54.71
zcom,7613,digikhata.pk,16.1,regional,6.44
nayatel,60223,digikhata.pk,2.5,local,1.0
transworld,62224,digikhata.pk,19.6,regional,7.84
tes,64078,digikhata.pk,22.6,regional,9.04
orbit,64535,digikhata.pk,18.4,regional,7.36
tes,64722,digikhata.pk,2.7,local,1.08
nayatel,65892,digikhata.pk,2.7,local,1.08
