isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
zcom,7613,apkamazon.com.pk,91.3,distant,43.48,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,105.1
nayatel,60223,apkamazon.com.pk,2.1,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.2
transworld,62224,apkamazon.com.pk,94.7,distant,45.1,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.2
tes,64078,apkamazon.com.pk,97.8,distant,46.57,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.9
orbit,64535,apkamazon.com.pk,94.2,distant,44.86,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,101.6
tes,64722,apkamazon.com.pk,78.2,distant,37.24,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.6
nayatel,65892,apkamazon.com.pk,2.7,local,1.29,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
fasttel,1014872,apkamazon.com.pk,202.4,distant,96.38,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,286.7
nova,1015679,apkamazon.com.pk,92.7,distant,44.14,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,102.5
cybernet,1016036,apkamazon.com.pk,22.8,regional,10.86,Cloudflare,via_foreign_transit_Omantel,11,TROMBONE,45.7
ptcl,1016126,apkamazon.com.pk,264.1,distant,125.76,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.9
cybernet,1016143,apkamazon.com.pk,4.5,local,2.14,Cloudflare,via_foreign_transit_Omantel,5,LOCAL,25.2
cybernet,1016154,apkamazon.com.pk,3.6,local,1.71,Cloudflare,own_network_direct_registry,3,LOCAL,4.1
ptcl,1016393,apkamazon.com.pk,269.3,distant,128.24,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,464.4
