isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,ratio_overlay_q_excl_p,ratio_overlay_q_incl_p,ratio_vs_best_old
zcom,7613,apkamazon.com.pk,91.3,distant,43.48,33.507,33.507,43.476
nayatel,60223,apkamazon.com.pk,2.1,local,1.0,0.39,1.0,1.0
transworld,62224,apkamazon.com.pk,94.7,distant,45.1,34.201,34.201,45.095
tes,64078,apkamazon.com.pk,97.8,distant,46.57,36.177,36.177,46.571
orbit,64535,apkamazon.com.pk,94.2,distant,44.86,24.392,24.392,44.857
tes,64722,apkamazon.com.pk,78.2,distant,37.24,21.121,21.121,37.238
nayatel,65892,apkamazon.com.pk,2.7,local,1.29,0.564,1.0,1.286
fasttel,1014872,apkamazon.com.pk,202.4,distant,96.38,92.083,92.083,96.381
nova,1015679,apkamazon.com.pk,92.7,distant,44.14,33.235,33.235,44.143
cybernet,1016036,apkamazon.com.pk,22.8,regional,10.86,9.37,9.37,10.857
ptcl,1016126,apkamazon.com.pk,264.1,distant,125.76,73.331,73.331,125.762
cybernet,1016143,apkamazon.com.pk,4.5,local,2.14,1.25,1.25,2.143
cybernet,1016154,apkamazon.com.pk,3.6,local,1.71,0.8,1.0,1.714
ptcl,1016393,apkamazon.com.pk,269.3,distant,128.24,68.859,68.859,128.238
zcom,7613,auroracloset.pk,15.7,regional,6.28,5.368,5.368,6.28
nayatel,60223,auroracloset.pk,2.5,local,1.0,0.447,1.0,1.0
transworld,62224,auroracloset.pk,18.7,regional,7.48,6.299,6.299,7.48
tes,64078,auroracloset.pk,22.4,regional,8.96,7.715,7.715,8.96
orbit,64535,auroracloset.pk,18.0,regional,7.2,4.431,4.431,7.2
tes,64722,auroracloset.pk,2.8,local,1.12,0.215,1.0,1.12
nayatel,65892,auroracloset.pk,2.9,local,1.16,0.559,1.0,1.16
fasttel,1014872,auroracloset.pk,21.7,regional,8.68,8.352,8.352,8.68
nova,1015679,auroracloset.pk,17.4,regional,6.96,5.821,5.821,6.96
cybernet,1016036,auroracloset.pk,117.6,distant,47.04,41.506,41.506,47.04
ptcl,1016126,auroracloset.pk,25.3,regional,10.12,8.712,8.712,10.12
cybernet,1016143,auroracloset.pk,99.2,distant,39.68,34.186,34.186,39.68
cybernet,1016154,auroracloset.pk,108.6,distant,43.44,37.416,37.416,43.44
ptcl,1016393,auroracloset.pk,25.4,regional,10.16,5.892,5.892,10.16
zcom,7613,burgeroclock.com.pk,16.0,regional,6.67,5.29,5.29,6.667
nayatel,60223,burgeroclock.com.pk,2.4,local,1.0,0.422,1.0,1.0
transworld,62224,burgeroclock.com.pk,20.2,regional,8.42,6.582,6.582,8.417
tes,64078,burgeroclock.com.pk,21.8,regional,9.08,7.258,7.258,9.083
orbit,64535,burgeroclock.com.pk,19.2,regional,8.0,4.613,4.613,8.0
tes,64722,burgeroclock.com.pk,2.8,local,1.17,0.683,1.0,1.167
nayatel,65892,burgeroclock.com.pk,3.0,local,1.25,0.59,1.0,1.25
fasttel,1014872,burgeroclock.com.pk,22.1,regional,9.21,8.847,8.847,9.208
nova,1015679,burgeroclock.com.pk,17.6,regional,7.33,5.697,5.697,7.333
cybernet,1016036,burgeroclock.com.pk,22.7,regional,9.46,8.305,8.305,9.458
ptcl,1016126,burgeroclock.com.pk,25.3,regional,10.54,8.712,8.712,10.542
cybernet,1016143,burgeroclock.com.pk,4.4,local,1.83,1.516,1.516,1.833
cybernet,1016154,burgeroclock.com.pk,4.0,local,1.67,1.378,1.378,1.667
ptcl,1016393,burgeroclock.com.pk,23.6,regional,9.83,5.604,5.604,9.833
zcom,7613,businesslist.pk,91.2,distant,38.0,32.285,32.285,38.0
nayatel,60223,businesslist.pk,2.4,local,1.0,0.437,1.0,1.0
transworld,62224,businesslist.pk,95.8,distant,39.92,33.392,33.392,39.917
tes,64078,businesslist.pk,97.4,distant,40.58,34.744,34.744,40.583
orbit,64535,businesslist.pk,93.3,distant,38.88,23.549,23.549,38.875
tes,64722,businesslist.pk,78.2,distant,32.58,19.061,19.061,32.583
nayatel,65892,businesslist.pk,2.8,local,1.17,0.55,1.0,1.167
fasttel,1014872,businesslist.pk,127.6,distant,53.17,51.08,51.08,53.167
nova,1015679,businesslist.pk,92.7,distant,38.62,32.085,32.085,38.625
cybernet,1016036,businesslist.pk,22.8,regional,9.5,8.342,8.342,9.5
ptcl,1016126,businesslist.pk,136.6,distant,56.92,34.137,34.137,56.917
cybernet,1016143,businesslist.pk,4.3,local,1.79,1.075,1.075,1.792
cybernet,1016154,businesslist.pk,4.0,local,1.67,0.93,1.0,1.667
ptcl,1016393,businesslist.pk,131.3,distant,54.71,31.181,31.181,54.708
zcom,7613,digikhata.pk,16.1,regional,6.44,5.909,5.909,6.44
nayatel,60223,digikhata.pk,2.5,local,1.0,0.464,1.0,1.0
transworld,62224,digikhata.pk,19.6,regional,7.84,7.079,7.079,7.84
tes,64078,digikhata.pk,22.6,regional,9.04,8.36,8.36,9.04
orbit,64535,digikhata.pk,18.4,regional,7.36,4.765,4.765,7.36
tes,64722,digikhata.pk,2.7,local,1.08,0.658,1.0,1.08
nayatel,65892,digikhata.pk,2.7,local,1.08,0.521,1.0,1.08
fasttel,1014872,digikhata.pk,127.5,distant,51.0,49.076,49.076,51.0
nova,1015679,digikhata.pk,17.1,regional,6.84,6.131,6.131,6.84
cybernet,1016036,digikhata.pk,22.6,regional,9.04,7.977,7.977,9.04
ptcl,1016126,digikhata.pk,130.0,distant,52.0,46.363,46.363,52.0
cybernet,1016143,digikhata.pk,4.1,local,1.64,1.463,1.463,1.64
cybernet,1016154,digikhata.pk,4.0,local,1.6,1.427,1.427,1.6
ptcl,1016393,digikhata.pk,131.2,distant,52.48,30.434,30.434,52.48
zcom,7613,dogar.com.pk,91.3,distant,33.81,32.321,32.321,33.815
nayatel,60223,dogar.com.pk,2.7,local,1.0,0.492,1.0,1.0
transworld,62224,dogar.com.pk,95.9,distant,35.52,33.427,33.427,35.519
tes,64078,dogar.com.pk,98.0,distant,36.3,34.958,34.958,36.296
orbit,64535,dogar.com.pk,95.0,distant,35.19,23.978,23.978,35.185
tes,64722,dogar.com.pk,78.0,distant,28.89,19.987,19.987,28.889
nayatel,65892,dogar.com.pk,2.8,local,1.04,0.52,1.0,1.037
fasttel,1014872,dogar.com.pk,201.0,distant,74.44,71.836,71.836,74.444
nova,1015679,dogar.com.pk,92.3,distant,34.19,31.946,31.946,34.185
cybernet,1016036,dogar.com.pk,22.6,regional,8.37,7.451,7.451,8.37
ptcl,1016126,dogar.com.pk,269.5,distant,99.81,70.894,70.894,99.815
cybernet,1016143,dogar.com.pk,4.3,local,1.59,1.131,1.131,1.593
cybernet,1016154,dogar.com.pk,3.8,local,1.41,0.883,1.0,1.407
ptcl,1016393,dogar.com.pk,267.7,distant,99.15,59.345,59.345,99.148
zcom,7613,historicalpoint.pk,94.9,distant,37.96,34.828,34.828,37.96
nayatel,60223,historicalpoint.pk,2.5,local,1.0,0.464,1.0,1.0
transworld,62224,historicalpoint.pk,94.7,distant,37.88,34.201,34.201,37.88
tes,64078,historicalpoint.pk,97.7,distant,39.08,36.14,36.14,39.08
orbit,64535,historicalpoint.pk,93.9,distant,37.56,24.315,24.315,37.56
tes,64722,historicalpoint.pk,78.0,distant,31.2,21.652,21.652,31.2
nayatel,65892,historicalpoint.pk,2.7,local,1.08,0.521,1.0,1.08
fasttel,1014872,historicalpoint.pk,200.9,distant,80.36,77.328,77.328,80.36
nova,1015679,historicalpoint.pk,92.6,distant,37.04,33.199,33.199,37.04
cybernet,1016036,historicalpoint.pk,22.5,regional,9.0,7.941,7.941,9.0
ptcl,1016126,historicalpoint.pk,262.7,distant,105.08,75.026,75.026,105.08
cybernet,1016143,historicalpoint.pk,4.5,local,1.8,1.285,1.285,1.8
cybernet,1016154,historicalpoint.pk,3.5,local,1.4,0.778,1.0,1.4
ptcl,1016393,historicalpoint.pk,268.3,distant,107.32,62.237,62.237,107.32
zcom,7613,honda.com.pk,16.3,regional,7.41,5.216,5.216,7.409
nayatel,60223,honda.com.pk,2.2,local,1.0,0.38,1.0,1.0
transworld,62224,honda.com.pk,19.9,regional,9.05,6.28,6.28,9.045
tes,64078,honda.com.pk,22.3,regional,10.14,7.186,7.186,10.136
orbit,64535,honda.com.pk,18.8,regional,8.55,4.411,4.411,8.545
tes,64722,honda.com.pk,2.9,local,1.32,0.828,1.0,1.318
nayatel,65892,honda.com.pk,3.1,local,1.41,0.634,1.0,1.409
fasttel,1014872,honda.com.pk,22.0,regional,10.0,9.573,9.573,10.0
nova,1015679,honda.com.pk,17.0,regional,7.73,5.33,5.33,7.727
cybernet,1016036,honda.com.pk,22.6,regional,10.27,8.921,8.921,10.273
ptcl,1016126,honda.com.pk,25.5,regional,11.59,8.489,8.489,11.591
cybernet,1016143,honda.com.pk,4.1,local,1.86,1.366,1.366,1.864
cybernet,1016154,honda.com.pk,3.4,local,1.55,1.132,1.132,1.545
ptcl,1016393,honda.com.pk,23.9,regional,10.86,5.959,5.959,10.864
zcom,7613,logoofficial.com,16.1,regional,6.44,6.134,6.134,6.44
nayatel,60223,logoofficial.com,2.5,local,1.0,0.473,1.0,1.0
transworld,62224,logoofficial.com,19.4,regional,7.76,7.269,7.269,7.76
tes,64078,logoofficial.com,22.5,regional,9.0,8.643,8.643,9.0
orbit,64535,logoofficial.com,18.5,regional,7.4,4.918,4.918,7.4
tes,64722,logoofficial.com,2.8,local,1.12,0.22,1.0,1.12
nayatel,65892,logoofficial.com,2.6,local,1.04,0.501,1.0,1.04
fasttel,1014872,logoofficial.com,22.2,regional,8.88,8.545,8.545,8.88
nova,1015679,logoofficial.com,17.3,regional,6.92,6.433,6.433,6.92
cybernet,1016036,logoofficial.com,127.6,distant,51.04,45.036,45.036,51.04
ptcl,1016126,logoofficial.com,25.2,regional,10.08,8.678,8.678,10.08
cybernet,1016143,logoofficial.com,99.4,distant,39.76,34.254,34.254,39.76
cybernet,1016154,logoofficial.com,99.1,distant,39.64,34.143,34.143,39.64
ptcl,1016393,logoofficial.com,28.4,regional,11.36,6.588,6.588,11.36
zcom,7613,meerzah.pk,15.7,regional,6.54,5.762,5.762,6.542
nayatel,60223,meerzah.pk,2.4,local,1.0,0.445,1.0,1.0
transworld,62224,meerzah.pk,19.0,regional,7.92,6.862,6.862,7.917
tes,64078,meerzah.pk,22.0,regional,9.17,8.138,8.138,9.167
orbit,64535,meerzah.pk,18.5,regional,7.71,4.79,4.79,7.708
tes,64722,meerzah.pk,2.4,local,1.0,0.187,1.0,1.0
nayatel,65892,meerzah.pk,2.7,local,1.13,0.531,1.0,1.125
fasttel,1014872,meerzah.pk,21.5,regional,8.96,8.607,8.607,8.958
nova,1015679,meerzah.pk,17.1,regional,7.13,6.131,6.131,7.125
cybernet,1016036,meerzah.pk,117.3,distant,48.88,42.915,42.915,48.875
ptcl,1016126,meerzah.pk,25.2,regional,10.5,10.064,10.064,10.5
cybernet,1016143,meerzah.pk,99.1,distant,41.29,39.611,39.611,41.292
cybernet,1016154,meerzah.pk,108.7,distant,45.29,43.436,43.436,45.292
ptcl,1016393,meerzah.pk,27.6,regional,11.5,6.554,6.554,11.5
zcom,7613,mepcoebillcheck.pk,91.0,distant,39.57,31.113,31.113,39.565
nayatel,60223,mepcoebillcheck.pk,2.3,local,1.0,0.412,1.0,1.0
transworld,62224,mepcoebillcheck.pk,95.0,distant,41.3,31.998,31.998,41.304
tes,64078,mepcoebillcheck.pk,97.7,distant,42.48,33.65,33.65,42.478
orbit,64535,mepcoebillcheck.pk,93.9,distant,40.83,23.117,23.117,40.826
tes,64722,mepcoebillcheck.pk,78.1,distant,33.96,20.013,20.013,33.957
nayatel,65892,mepcoebillcheck.pk,2.9,local,1.26,0.581,1.0,1.261
fasttel,1014872,mepcoebillcheck.pk,202.9,distant,88.22,84.611,84.611,88.217
nova,1015679,mepcoebillcheck.pk,96.4,distant,41.91,32.249,32.249,41.913
cybernet,1016036,mepcoebillcheck.pk,23.1,regional,10.04,8.772,8.772,10.043
ptcl,1016126,mepcoebillcheck.pk,265.5,distant,115.43,69.841,69.841,115.435
cybernet,1016143,mepcoebillcheck.pk,4.3,local,1.87,1.131,1.131,1.87
cybernet,1016154,mepcoebillcheck.pk,3.8,local,1.65,0.883,1.0,1.652
ptcl,1016393,mepcoebillcheck.pk,269.4,distant,117.13,65.533,65.533,117.13
zcom,7613,motifz.com.pk,15.7,regional,7.14,5.368,5.368,7.136
nayatel,60223,motifz.com.pk,2.2,local,1.0,0.394,1.0,1.0
transworld,62224,motifz.com.pk,20.1,regional,9.14,6.77,6.77,9.136
tes,64078,motifz.com.pk,21.9,regional,9.95,7.543,7.543,9.955
orbit,64535,motifz.com.pk,18.6,regional,8.45,4.579,4.579,8.455
tes,64722,motifz.com.pk,2.8,local,1.27,0.215,1.0,1.273
nayatel,65892,motifz.com.pk,2.9,local,1.32,0.593,1.0,1.318
fasttel,1014872,motifz.com.pk,21.8,regional,9.91,9.486,9.486,9.909
nova,1015679,motifz.com.pk,17.4,regional,7.91,5.821,5.821,7.909
cybernet,1016036,motifz.com.pk,117.5,distant,53.41,46.382,46.382,53.409
ptcl,1016126,motifz.com.pk,25.2,regional,11.45,8.678,8.678,11.455
cybernet,1016143,motifz.com.pk,99.4,distant,45.18,34.254,34.254,45.182
cybernet,1016154,motifz.com.pk,108.7,distant,49.41,37.45,37.45,49.409
ptcl,1016393,motifz.com.pk,27.7,regional,12.59,6.906,6.906,12.591
zcom,7613,pesconlinebill.pk,91.3,distant,43.48,33.507,33.507,43.476
nayatel,60223,pesconlinebill.pk,2.1,local,1.0,0.39,1.0,1.0
transworld,62224,pesconlinebill.pk,95.2,distant,45.33,34.381,34.381,45.333
tes,64078,pesconlinebill.pk,98.1,distant,46.71,36.288,36.288,46.714
orbit,64535,pesconlinebill.pk,93.4,distant,44.48,24.185,24.185,44.476
tes,64722,pesconlinebill.pk,78.1,distant,37.19,20.539,20.539,37.19
nayatel,65892,pesconlinebill.pk,2.7,local,1.29,0.564,1.0,1.286
fasttel,1014872,pesconlinebill.pk,127.1,distant,60.52,57.825,57.825,60.524
nova,1015679,pesconlinebill.pk,92.3,distant,43.95,33.092,33.092,43.952
cybernet,1016036,pesconlinebill.pk,22.6,regional,10.76,9.288,9.288,10.762
ptcl,1016126,pesconlinebill.pk,129.8,distant,61.81,35.067,35.067,61.81
cybernet,1016143,pesconlinebill.pk,4.3,local,2.05,1.162,1.162,2.048
cybernet,1016154,pesconlinebill.pk,3.7,local,1.76,0.86,1.0,1.762
ptcl,1016393,pesconlinebill.pk,129.9,distant,61.86,33.215,33.215,61.857
zcom,7613,pinkpetals.pk,91.9,distant,39.96,29.41,29.41,39.957
nayatel,60223,pinkpetals.pk,2.3,local,1.0,0.397,1.0,1.0
transworld,62224,pinkpetals.pk,94.2,distant,40.96,29.726,29.726,40.957
tes,64078,pinkpetals.pk,97.3,distant,42.3,31.353,31.353,42.304
orbit,64535,pinkpetals.pk,93.8,distant,40.78,22.009,22.009,40.783
tes,64722,pinkpetals.pk,78.1,distant,33.96,19.513,19.513,33.957
nayatel,65892,pinkpetals.pk,3.1,local,1.35,0.622,1.0,1.348
fasttel,1014872,pinkpetals.pk,200.3,distant,87.09,83.527,83.527,87.087
nova,1015679,pinkpetals.pk,92.8,distant,40.35,29.098,29.098,40.348
cybernet,1016036,pinkpetals.pk,22.3,regional,9.7,8.468,8.468,9.696
