site,best_rtt_ms,best_case
gamcamedical.pk,77.4,distant
mcb.com.pk,99.9,distant
bnbwu.edu.pk,104.3,distant
idc.net.pk,117.6,distant
khushhalibank.com.pk,154.8,distant
skyscanner.pk,18.2,regional
sarazcollection.pk,2.0,local
apkamazon.com.pk,2.1,local
pesconlinebill.pk,2.1,local
glory-casino.net.pk,2.2,local
honda.com.pk,2.2,local
motifz.com.pk,2.2,local
pesco.com.pk,2.2,local
airblue.com,2.3,local
ajk.gov.pk,2.3,local
ibcc.edu.pk,2.3,local
joinasf.gov.pk,2.3,local
mepcoebillcheck.pk,2.3,local
pinkpetals.pk,2.3,local
urbanbeauty.pk,2.3,local
vidmateapp.com.pk,2.3,local
zarajahan.pk,2.3,local
zing.pk,2.3,local
burgeroclock.com.pk,2.4,local
businesslist.pk,2.4,local
meerzah.pk,2.4,local
pnmc.gov.pk,2.4,local
uos.edu.pk,2.4,local
zu.edu.pk,2.4,local
auroracloset.pk,2.5,local
digikhata.pk,2.5,local
historicalpoint.pk,2.5,local
logoofficial.com,2.5,local
paknavy.gov.pk,2.5,local
thefrontierpost.com,2.5,local
wancom.net.pk,2.6,local
dogar.com.pk,2.7,local
reading.pk,2.7,local
wbm.com.pk,2.7,local
