site,nayatel,cybernet,tes,zcom,nova,orbit,transworld,fasttel,ptcl
ibcc.edu.pk,2.3,3.6,2.8,16.3,17.4,18.3,18.9,21.2,24.9
honda.com.pk,2.2,3.4,2.9,16.3,17.0,18.8,19.9,22.0,23.9
airblue.com,2.3,4.1,2.8,16.1,16.9,19.1,19.9,21.2,24.7
burgeroclock.com.pk,2.4,4.0,2.8,16.0,17.6,19.2,20.2,22.1,23.6
paknavy.gov.pk,2.5,3.7,3.0,16.0,17.4,18.5,20.2,21.7,25.1
meerzah.pk,2.4,99.1,2.4,15.7,17.1,18.5,19.0,21.5,25.2
auroracloset.pk,2.5,99.2,2.8,15.7,17.4,18.0,18.7,21.7,25.3
zarajahan.pk,2.3,99.2,2.8,15.7,17.3,18.2,19.2,21.7,25.1
urbanbeauty.pk,2.3,98.4,2.6,16.0,16.9,18.4,19.2,22.6,25.1
zing.pk,2.3,99.6,2.8,15.8,17.1,18.1,19.4,21.6,25.1
sarazcollection.pk,2.0,99.3,2.9,15.7,17.1,18.9,19.7,21.6,25.2
logoofficial.com,2.5,99.1,2.8,16.1,17.3,18.5,19.4,22.2,25.2
motifz.com.pk,2.2,99.4,2.8,15.7,17.4,18.6,20.1,21.8,25.2
wbm.com.pk,2.8,99.2,2.7,15.7,17.4,19.1,19.3,22.1,25.2
digikhata.pk,2.5,4.0,2.7,16.1,17.1,18.4,19.6,127.5,130.0
zu.edu.pk,2.4,4.0,2.7,16.1,17.3,19.0,20.0,127.1,129.8
pesconlinebill.pk,2.1,3.7,78.1,91.3,92.3,93.4,95.2,127.1,129.8
vidmateapp.com.pk,2.3,4.1,78.2,91.9,92.8,94.3,95.8,125.1,131.1
uos.edu.pk,2.4,3.9,77.9,95.2,92.7,94.4,94.8,125.4,129.8
businesslist.pk,2.4,4.0,78.2,91.2,92.7,93.3,95.8,127.6,131.3
pinkpetals.pk,2.3,3.9,78.1,91.9,92.8,93.8,94.2,200.3,262.9
wancom.net.pk,2.6,4.0,78.3,91.5,92.9,94.4,94.6,202.2,262.4
apkamazon.com.pk,2.1,3.6,78.2,91.3,92.7,94.2,94.7,202.4,264.1
historicalpoint.pk,2.5,3.5,78.0,94.9,92.6,93.9,94.7,200.9,262.7
thefrontierpost.com,2.5,3.9,78.4,91.1,92.5,93.4,95.5,201.8,265.7
ajk.gov.pk,2.3,3.9,78.1,90.8,92.5,94.1,95.3,201.4,267.3
pnmc.gov.pk,2.4,3.8,78.3,91.3,96.4,94.1,95.3,201.0,265.1
dogar.com.pk,2.7,3.8,78.0,91.3,92.3,95.0,95.9,201.0,267.7
reading.pk,2.7,3.3,78.1,91.4,92.3,93.7,95.1,203.9,267.6
pesco.com.pk,2.2,4.0,78.1,91.1,92.7,94.4,96.4,202.5,267.0
mepcoebillcheck.pk,2.3,3.8,78.1,91.0,96.4,93.9,95.0,202.9,265.5
glory-casino.net.pk,2.2,3.8,78.2,91.5,92.7,94.7,94.4,201.4,271.7
joinasf.gov.pk,2.3,3.8,78.3,91.3,92.5,94.2,95.4,204.8,269.1
