target,our_verdict,colo,loc
apkamazon.com.pk,LOCAL (~214 km of Islamabad),ERR:ConnectionError,
auroracloset.pk,LOCAL (~255 km of Islamabad),KHI,PK
burgeroclock.com.pk,LOCAL (~245 km of Islamabad),SIN,PK
businesslist.pk,LOCAL (~245 km of Islamabad),SIN,PK
digikhata.pk,LOCAL (~255 km of Islamabad),SIN,PK
dogar.com.pk,LOCAL (~276 km of Islamabad),KHI,PK
historicalpoint.pk,LOCAL (~255 km of Islamabad),SIN,PK
honda.com.pk,LOCAL (~225 km of Islamabad),SIN,PK
logoofficial.com,LOCAL (~255 km of Islamabad),KHI,PK
meerzah.pk,LOCAL (~245 km of Islamabad),KHI,PK
mepcoebillcheck.pk,LOCAL (~235 km of Islamabad),SIN,PK
motifz.com.pk,LOCAL (~225 km of Islamabad),KHI,PK
pesconlinebill.pk,LOCAL (~214 km of Islamabad),SIN,PK
pinkpetals.pk,LOCAL (~235 km of Islamabad),SIN,PK
reading.pk,LOCAL (~276 km of Lahore),ERR:ConnectionError,
sarazcollection.pk,LOCAL (~204 km of Islamabad),KHI,PK
skyscanner.pk,LOCAL (~1858 km of Karachi),n/a,n/a
thefrontierpost.com,LOCAL (~255 km of Islamabad),SIN,PK
urbanbeauty.pk,LOCAL (~235 km of Islamabad),KHI,PK
vidmateapp.com.pk,LOCAL (~235 km of Islamabad),SIN,PK
wbm.com.pk,LOCAL (~276 km of Karachi),KHI,PK
zarajahan.pk,LOCAL (~235 km of Islamabad),KHI,PK
zing.pk,LOCAL (~235 km of Islamabad),KHI,PK
glory-casino.net.pk,LOCAL (~225 km of Islamabad),SIN,PK
wancom.net.pk,LOCAL (~265 km of Lahore),SIN,PK
ibcc.edu.pk,LOCAL (~235 km of Islamabad),KHI,PK
uos.edu.pk,LOCAL (~245 km of Islamabad),SIN,PK
zu.edu.pk,LOCAL (~245 km of Islamabad),SIN,PK
pesco.com.pk,LOCAL (~225 km of Islamabad),SIN,PK
ajk.gov.pk,LOCAL (~235 km of Islamabad),SIN,PK
joinasf.gov.pk,LOCAL (~235 km of Islamabad),SIN,PK
paknavy.gov.pk,LOCAL (~255 km of Islamabad),KHI,PK
pnmc.gov.pk,LOCAL (~245 km of Islamabad),SIN,PK
airblue.com,LOCAL (~235 km of Islamabad),HKG,PK
