probe,target,mean,trombone_rounds,noise_flips,genuine_flips,has_genuine
7613,bbise.edu.pk,0.1130952380952381,19,19,0,False
7613,careers635.com.pk,0.005988023952095809,1,1,0,False
7613,cpsp.edu.pk,0.011904761904761904,2,2,0,False
7613,cxtreme.pk,1.0,168,167,0,False
7613,efulife.com,1.0,168,167,0,False
7613,epads.gov.pk,0.005952380952380952,1,1,0,False
7613,fgeha.gov.pk,1.0,168,167,0,False
7613,hrd1902.com.pk,0.041666666666666664,7,7,0,False
7613,iub.edu.pk,0.005952380952380952,1,1,0,False
7613,iulms.edu.pk,0.005988023952095809,1,1,0,False
7613,networld.pk,0.005952380952380952,1,1,0,False
7613,roadmaster.pk,0.005988023952095809,1,1,0,False
7613,sindh.gov.pk,0.017964071856287425,3,3,0,False
7613,sonic.pk,0.005988023952095809,1,1,0,False
7613,sparkbroadband.pk,0.005952380952380952,1,1,0,False
7613,topcity-1.com,0.005988023952095809,1,1,0,False
7613,ztbl.com.pk,1.0,168,167,0,False
60223,bbise.edu.pk,0.10843373493975904,18,17,1,True
60223,cmu.gov.pk,0.006024096385542169,1,0,1,True
60223,cpsp.edu.pk,0.005988023952095809,1,1,0,False
60223,cxtreme.pk,0.2891566265060241,48,47,0,False
60223,efulife.com,0.9939759036144579,165,163,1,True
60223,epads.gov.pk,0.006024096385542169,1,0,1,True
60223,fgeha.gov.pk,0.9939759036144579,165,163,1,True
60223,hrd1902.com.pk,0.024096385542168676,4,4,0,False
60223,networld.pk,0.006024096385542169,1,1,0,False
60223,psca.gop.pk,0.006024096385542169,1,0,1,True
60223,sindh.gov.pk,0.006024096385542169,1,1,0,False
60223,topcity-1.com,0.006024096385542169,1,0,1,True
60223,worldlinkisp.pk,0.006024096385542169,1,0,1,True
60223,ztbl.com.pk,0.9939759036144579,165,163,1,True
62224,bbise.edu.pk,0.041666666666666664,7,7,0,False
62224,cmu.gov.pk,0.017857142857142856,3,3,0,False
62224,cxtreme.pk,0.005952380952380952,1,1,0,False
62224,efulife.com,0.3392857142857143,57,57,0,False
62224,excise.gos.pk,0.005952380952380952,1,1,0,False
62224,fgeha.gov.pk,0.44047619047619047,74,73,0,False
62224,hrd1902.com.pk,0.023809523809523808,4,4,0,False
62224,iub.edu.pk,0.005952380952380952,1,1,0,False
62224,logon.com.pk,0.005952380952380952,1,1,0,False
62224,roadmaster.pk,0.011904761904761904,2,2,0,False
62224,sindh.gov.pk,0.03571428571428571,6,6,0,False
62224,trax.pk,0.005952380952380952,1,1,0,False
62224,ztbl.com.pk,0.23214285714285715,39,38,0,False
64078,bbise.edu.pk,0.11904761904761904,20,18,2,True
64078,careers635.com.pk,0.005988023952095809,1,1,0,False
64078,cpsp.edu.pk,0.005952380952380952,1,1,0,False
64078,cxtreme.pk,0.16071428571428573,27,27,0,False
64078,efulife.com,1.0,168,165,2,True
64078,enc.com.pk,0.4166666666666667,70,70,0,False
64078,fgeha.gov.pk,1.0,168,167,0,False
64078,galaxy.net.pk,0.005952380952380952,1,1,0,False
64078,hrd1902.com.pk,0.017857142857142856,3,3,0,False
64078,kknetworks.com.pk,0.3392857142857143,57,57,0,False
64078,mepco.com.pk,0.38095238095238093,64,64,0,False
64078,networld.pk,0.005952380952380952,1,1,0,False
