target,cls_design,cls_corrected_v1,ip,fresh_asn,fresh_asn_country,fresh_as_name,geoip_city,geoip_cc,n_trace_rounds,n_foreign_hop_confirmed,n_rtt_only_no_hop,n_local_no_signal,foreign_countries_seen,ping_rtt_min,ping_rtt_median
careers635.com.pk,Pakistan,Pakistan,59.103.180.56,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Islamabad,PK,2234,2,201,2031,US,,
cxtreme.pk,Pakistan,Pakistan,203.101.172.157,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Karachi,PK,2229,1,537,1691,US,3.6,24.7
dgcs.gos.pk,Pakistan,Pakistan,103.111.161.11,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Lahore,PK,2230,1,200,2029,US,,
digiskills.pk,Pakistan,Pakistan,111.68.103.39,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Lahore,PK,2227,0,36,2191,,,
dunyanews.tv,Pakistan,Pakistan,202.142.167.148,9260,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",Islamabad,PK,2227,3,30,2194,US,,
enc.com.pk,Pakistan,Pakistan,163.61.25.4,153561,PK,"PITC1-AS-AP - PITC, PK",Lahore,PK,2231,534,7,1690,US,,
excise.gos.pk,Pakistan,Pakistan,59.103.225.21,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Islamabad,PK,2232,1,204,2027,US,3.4,23.9
gnnhd.tv,Pakistan,Pakistan,103.178.96.22,149307,PK,"GOURMETFOODS-AS-AP - Gourmet Foods, PK",Lahore,PK,2230,2,30,2198,US,,
hrd1902.com.pk,Pakistan,Pakistan,111.68.99.219,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Islamabad,PK,2233,1,102,2130,US,4.0,26.9
kknetworks.com.pk,Pakistan,Pakistan,103.163.48.205,136969,PK,"KKNETWROK-AS-AP - KK Networks (Pvt) Ltd., PK",Lahore,PK,2229,567,179,1483,SG;US,0.8,22.2
logon.com.pk,Pakistan,Pakistan,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Karachi,PK,2226,0,25,2201,,3.5,24.0
mgacs.com.pk,Pakistan,Pakistan,115.42.64.26,132165,PK,"CONNECT-AS-AP - Connect Communications, PK",Karachi,PK,2230,1,190,2039,US,,
networld.pk,Pakistan,Pakistan,14.192.150.180,45814,PK,"FARIYA-PK - Fariya Networks Pvt. Ltd., PK",Karachi,PK,2235,219,14,2002,IT;SE;SG;US,3.7,24.0
phf.gop.pk,Pakistan,Abroad,162.210.100.75,14555,US,"LIQUIDNETLTD1 - LiquidNet US LLC, US",Coral Springs,US,2236,1,42,2193,US,206.3,254.0
psca.gop.pk,Pakistan,Pakistan,103.119.125.20,138019,PK,"PSCA-AS-AP - Punjab Safe City Authority, PK",Lahore,PK,2234,1,28,2205,US,0.8,38.5
sonic.pk,Pakistan,Pakistan,119.160.105.77,58470,PK,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Model Town,PK,2227,28,389,1810,US,,
sparkbroadband.pk,Pakistan,Pakistan,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Karachi,PK,2234,3,24,2207,US,3.6,24.0
tevta.gop.pk,Pakistan,Pakistan,202.142.172.236,9260,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",Lahore,PK,2230,12,25,2193,US,1.3,21.4
toptop.net,Pakistan,Abroad,138.113.144.11,54994,CA,"ML-1432-54994 - Meteverse Limited., CA",Singapore,SG,2232,1979,2,251,CA;SG;US,99.1,200.1
trax.pk,Pakistan,Pakistan,119.160.105.78,58470,PK,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Model Town,PK,2173,23,373,1777,US,,
urdu.dunyanews.tv,Pakistan,Pakistan,202.142.167.148,9260,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",Islamabad,PK,2236,2,32,2202,US,,
worldlinkisp.pk,Pakistan,Pakistan,110.39.10.226,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Lahore,PK,2232,0,30,2202,,3.8,22.1
youth.cn,Pakistan,Abroad,153.43.76.237,54994,CA,"ML-1432-54994 - Meteverse Limited., CA",Singapore,SG,2232,1962,0,270,CA;SG;US,76.8,98.9
zcomnetworks.com.pk,Pakistan,Pakistan,157.20.147.244,152605,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",Lahore,PK,2227,168,205,1854,HK;US,0.2,39.2
588wingames.pk,Abroad,Abroad,66.29.148.121,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Los Angeles,US,2229,1926,2,301,HK;SE;SG;US,257.4,293.1
777sxgameapp.pk,Abroad,Abroad,198.54.120.127,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Chicago,US,2227,1878,55,294,HK;NL;SG;US,271.0,298.0
apkzone.pk,Abroad,Abroad,157.90.1.43,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Falkenstein,DE,2230,1939,3,288,DE;US,118.6,141.0
enic.pk,Abroad,Abroad,103.138.189.184,204800,GB,"WHG-SGP - WHG Hosting Services Ltd, GB",Singapore,SG,2225,1918,0,307,GB;IT;SE;US,158.1,194.0
hopkicks.pk,Abroad,Abroad,65.109.64.109,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Helsinki,FI,2231,1941,0,290,DE;US,,
hostpro.com.pk,Abroad,Abroad,192.250.235.30,204800,GB,"WHG-SGP - WHG Hosting Services Ltd, GB",Singapore,SG,2232,1928,3,301,GB;IT;SE;US,156.2,196.8
insta.com.pk,Abroad,Abroad,69.10.62.58,19318,US,"IS-AS-1 - Interserver, Inc, US",Secaucus,US,2228,1905,3,320,US,183.2,209.0
nawaiwaqt.com.pk,Abroad,Abroad,65.109.88.147,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Helsinki,FI,2231,1919,3,309,DE;US,133.8,160.5
pessi.gop.pk,Abroad,Abroad,51.89.192.109,16276,FR,"OVH - OVH SAS, FR",London,GB,2189,1891,7,291,BG;DE;FR;US,124.9,158.6
pgf.com.pk,Abroad,Abroad,169.60.152.50,36351,US,"SOFTLAYER - IBM Cloud, US",Dallas,US,2232,1933,2,297,DE;NL;SG;US,241.1,283.3
publicnews.com,Abroad,Abroad,65.21.10.187,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Helsinki,FI,2232,1954,3,275,DE;US,132.9,157.4
scouted-today.pk,Abroad,Abroad,185.178.208.132,57724,RU,"DDOS-GUARD - DDOS-GUARD LTD, RU",Rostov-on-Don,RU,2231,1943,5,283,RU;US,,
galaxy.net.pk,Pakistan,Pakistan,103.164.49.161,139879,PK,"GALAXY-AS-AP - Galaxy Broadband, PK",Karachi,PK,2232,28,17,2187,US,,
gbn.net.pk,Pakistan,Pakistan,103.18.243.4,58893,PK,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",Islamabad,PK,2231,0,31,2200,,5.4,26.7
topcity-1.com,Pakistan,Pakistan,101.50.107.196,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Islamabad,PK,2232,0,49,2183,,2.8,25.8
en.dailypakistan.com.pk,Abroad,Abroad,212.95.63.9,28753,DE,"LEASEWEB-DE-FRA-10 - Leaseweb Deutschland GmbH, DE",Frankfurt am Main,DE,2230,1958,3,269,DE;NL;RU;US,113.1,141.8
bbise.edu.pk,Pakistan,Pakistan,58.27.241.186,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Lahore,PK,2230,0,266,1964,,13.4,35.2
iub.edu.pk,Pakistan,Pakistan,121.52.159.138,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Islamabad,PK,2227,0,55,2172,,14.6,30.4
iulms.edu.pk,Pakistan,Pakistan,103.138.162.35,139024,PK,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",Karachi,PK,2234,1,32,2201,US,,
pefsis.edu.pk,Pakistan,Pakistan,119.159.228.205,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Gujrat,PK,2231,0,202,2029,,,
duet.edu.pk,Abroad,Abroad,64.31.25.146,46475,US,"LIMESTONENETWORKS - Limestone Networks, Inc., US",Miami,US,2224,1962,3,259,SG;US,216.8,269.9
uvas.edu.pk,Abroad,Abroad,88.222.222.116,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Vilnius,LT,2229,1917,2,310,CY;ID;SG;US,78.4,101.9
mepco.com.pk,Pakistan,Pakistan,163.61.25.38,153561,PK,"PITC1-AS-AP - PITC, PK",Lahore,PK,2228,528,3,1697,US,,
ke.com.pk,Abroad,Abroad,64.113.50.169,53292,US,"MWAY - ManagedWay, US",Washington,US,2231,1549,2,680,IT;SE;US,118.3,139.5
efulife.com,Pakistan,Pakistan,103.154.196.33,141008,PK,"EFULIFEAssuranceLtd-AS-AP - EFU LIFE Assurance Ltd, PK",Karachi,PK,2231,1203,403,625,AE;SG;US,4.7,103.1
ztbl.com.pk,Pakistan,Pakistan,203.101.184.80,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Lahore,PK,2234,1210,720,304,NL;SG;US,,
cmu.gov.pk,Pakistan,Pakistan,203.82.55.51,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Islamabad,PK,2230,2,64,2164,US,,
epads.gov.pk,Pakistan,Pakistan,59.103.225.210,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Islamabad,PK,2226,1,204,2021,US,3.4,22.8
fgeha.gov.pk,Pakistan,Pakistan,203.101.184.78,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Lahore,PK,2232,1207,783,242,NL;SG,,
sindh.gov.pk,Pakistan,Pakistan,175.107.33.163,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Rawalpindi,PK,2227,1,60,2166,US,,
gbappsup.org.pk,Abroad,Abroad,31.43.191.219,210848,UA,"TK-NET - Telkom Internet LTD, SC",Baku,AZ,2232,1952,6,274,DE;IT;SE;UA;US,120.6,141.6
kppsc.gov.pk,Abroad,Abroad,195.201.80.141,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Falkenstein,DE,2227,1982,1,244,DE,117.9,140.2
ptea.org.pk,Abroad,Abroad,192.250.239.194,51713,GB,"WHG-LON - WHG Hosting Services Ltd, GB",London,GB,2227,1948,0,279,GB;SE;US,115.5,143.6
cpsp.edu.pk,Pakistan,Pakistan,111.68.111.15,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Karachi,PK,2231,0,41,2190,,2.8,24.9
serenepharma.com.pk,Abroad,Abroad,65.21.171.138,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Helsinki,FI,2228,1908,2,318,DE;US,134.2,159.0
roadmaster.pk,Pakistan,Pakistan,119.156.194.23,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Islamabad,PK,2229,0,215,2014,,,
