probe_label,cls,median_rtt,mean_rtt,loss_pct,n_rounds,median_hops
Cybernet (Haripur),Abroad,226.9,215.1,0.0,6657,12.0
Cybernet (Haripur),CDN,25.6,75.3,0.0,13097,9.0
Cybernet (Haripur),Pakistan,27.7,57.8,0.0,5964,13.0
Cybernet (Karachi),Abroad,149.9,167.5,0.0,6952,13.0
Cybernet (Karachi),CDN,5.2,50.9,0.0,13644,7.0
Cybernet (Karachi),Pakistan,16.7,24.2,0.0,6230,9.0
Fasttel (Islamabad),Abroad,186.7,193.3,0.0,6265,15.0
Fasttel (Islamabad),CDN,143.4,139.4,0.0,12311,12.0
Fasttel (Islamabad),Pakistan,30.4,36.9,0.0,5603,10.0
Nayatel (Islamabad),Abroad,174.6,197.5,0.0,13477,2.0
Nayatel (Islamabad),CDN,3.7,27.5,0.0,25975,2.0
Nayatel (Islamabad),Pakistan,24.8,32.5,0.0,11873,2.0
Nova (Lahore),Abroad,157.9,181.9,0.0,6386,12.0
Nova (Lahore),CDN,93.2,78.2,0.0,13062,11.0
Nova (Lahore),Pakistan,20.0,26.2,0.0,5974,9.0
Orbit (Faisalabad),Abroad,158.5,182.4,0.0,6478,14.0
Orbit (Faisalabad),CDN,96.0,75.6,0.0,12668,13.0
Orbit (Faisalabad),Pakistan,37.6,47.0,0.0,5804,12.0
PTCL (Karachi),Abroad,178.0,186.9,0.0,6802,13.0
PTCL (Karachi),CDN,137.8,163.2,0.0,13094,10.0
PTCL (Karachi),Pakistan,42.5,52.1,0.0,5975,10.0
PTCL (Mianwali),Abroad,194.8,258.6,0.0,1457,13.0
PTCL (Mianwali),CDN,274.9,260.2,0.0,2840,10.0
PTCL (Mianwali),Pakistan,38.0,114.7,0.0,1304,10.0
TES (Karachi),Abroad,137.6,169.9,0.0,6783,13.0
TES (Karachi),CDN,78.6,61.3,0.0,13036,11.0
TES (Karachi),Pakistan,19.5,20.7,0.0,5957,9.0
TES (Rawalpindi),Abroad,158.4,189.7,0.0,6821,13.0
TES (Rawalpindi),CDN,98.8,80.8,0.0,13079,11.0
TES (Rawalpindi),Pakistan,26.0,33.2,0.0,5977,10.0
Transworld (Lahore),Abroad,160.4,183.7,0.0,6813,
Transworld (Lahore),CDN,96.9,80.8,0.0,13086,
Transworld (Lahore),Pakistan,23.4,27.9,0.0,5979,
Zcom (Lahore),Abroad,153.1,178.7,0.0,6828,11.0
Zcom (Lahore),CDN,91.5,72.3,0.0,13048,10.0
Zcom (Lahore),Pakistan,19.1,31.2,0.0,5977,8.0
