ip,asn,registered_cc,org,geoip_city,times_qualified,times_first_foreign_hop,n_probes,rtt_median_ms,rtt_min_ms,rtt_max_ms,incr_rtt_median_ms,incr_rtt_p10_ms,incr_rtt_p90_ms,incr_negative_pct,incr_samples,no_preceding_hop,ixp_peering_lan,ixp_prefix
27.111.228.157,,SG,NA,Sydney,2390,2388,8,98.7,78.0,497.0,78.2,74.0,90.5,0.3,2378,12,Equinix Singapore,27.111.228.0/22
72.52.25.142,32787,US,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Cambridge,1447,1,7,274.3,174.9,462.3,175.5,84.9,221.6,0.2,1447,0,,
27.111.230.181,,SG,NA,Sydney,985,984,6,97.4,77.6,427.3,78.1,75.1,86.6,0.2,985,0,Equinix Singapore,27.111.228.0/22
72.52.21.194,32787,US,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",London,938,0,7,275.9,175.0,499.8,179.3,93.2,274.1,0.0,938,0,,
2.21.120.144,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,321,1,5,96.8,78.3,417.9,-0.3,-4.7,0.1,87.9,321,0,,
2.21.120.114,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,316,0,5,97.4,77.9,136.6,-0.2,-4.2,0.2,82.0,316,0,,
2.21.120.154,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,251,0,4,105.9,78.1,220.7,-0.1,-0.5,0.6,65.3,251,0,,
2.21.120.171,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,237,0,3,124.0,78.0,201.3,12.9,-0.3,13.3,24.1,237,0,,
213.202.7.209,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",Muscat,204,1,2,115.0,110.5,483.7,-0.2,-1.3,0.8,68.1,204,0,,
206.148.27.235,7578,US,"GSL - Global Secure Layer, AU",Alexandria,201,201,2,110.9,101.7,487.0,85.4,84.9,106.7,1.0,201,0,,
116.51.17.201,2914,SG,"NTT-DATA-2914 - NTT America, Inc., US",Singapore,200,200,2,131.7,131.0,487.2,106.2,105.7,128.9,1.5,200,0,,
93.186.133.54,6762,IT,"SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A., IT",Singapore,198,1,2,193.3,191.7,370.8,61.5,60.5,64.3,1.5,198,0,,
213.144.170.13,6762,IT,"SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A., IT",Rome,197,0,2,202.5,194.4,367.5,10.5,4.4,11.2,2.0,197,0,,
213.144.176.160,6762,IT,"SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A., IT",Paris,196,0,2,192.0,191.1,341.2,-1.2,-3.4,0.1,88.8,196,0,,
2.21.120.122,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,192,0,3,92.9,78.3,117.9,-0.5,-2.3,1.1,77.1,192,0,,
2.21.120.146,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,192,0,3,98.1,78.1,218.8,0.1,-1.2,11.2,43.8,192,0,,
2.21.120.112,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,190,0,3,96.5,94.5,104.7,-4.0,-4.6,-0.3,95.8,190,0,,
206.148.27.1,7578,US,"GSL - Global Secure Layer, AU",Alexandria,173,3,2,182.3,170.5,315.8,63.7,60.1,97.4,2.9,173,0,,
27.111.230.138,,SG,NA,Sydney,168,168,1,99.3,96.5,108.4,95.2,73.7,100.0,0.0,168,0,Equinix Singapore,27.111.228.0/22
223.121.3.98,58453,HK,"CMI-INT-HK - China Mobile International Limited, HK",Kwai Chung,165,44,1,99.7,96.3,193.0,-95.6,-96.9,97.0,73.3,165,0,,
2.21.120.208,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",Singapore,163,0,1,96.5,94.2,102.0,-0.1,-0.7,0.6,58.3,163,0,,
