ip,asn,holder,cc
101.50.107.196,23674,NAYATEL-PK - Nayatel (Pvt) Ltd,PK
103.111.160.191,59323,PITB-PUNJAB-PK - Punjab Informat,
103.111.161.11,59323,PITB-PUNJAB-PK - Punjab Informat,PK
103.119.125.20,138019,PSCA-AS-AP - Punjab Safe City Au,PK
103.121.121.29,131275,LBPL-AS-AP - Logon Broadband Pvt,PK
103.138.162.35,139024,IQRAUNIVERSITY-AS-AP - Iqra Univ,PK
103.138.189.184,204800,WHG-SGP WHG Hosting Services Ltd,SG
103.151.47.121,152605,ZCOMNETWORKS-AS-AP - Z COM NETWO,
103.154.196.31,141008,EFULIFEAssuranceLtd-AS-AP - EFU ,
103.154.196.33,141008,EFULIFEAssuranceLtd-AS-AP - EFU ,PK
103.163.48.205,136969,KKNETWROK-AS-AP - KK Networks (P,PK
103.164.49.161,139879,GALAXY-AS-AP - Galaxy Broadband,PK
103.178.96.22,,[registry] GOURMETFOODS-PK,PK
103.18.243.4,58893,GESNET-AS-AP - Gemnet Enterprise,PK
103.213.108.130,,[registry] HTISPL-PK,
103.213.108.134,,[registry] HTISPL-PK,
103.213.108.66,,[registry] HTISPL-PK,
103.213.108.68,,[registry] HTISPL-PK,
103.213.108.70,,[registry] HTISPL-PK,
103.213.109.251,9541,CYBERNET-AP - Cyber Internet Ser,
103.22.203.23,13335,"CLOUDFLARENET - Cloudflare, Inc.",
103.22.203.231,13335,"CLOUDFLARENET - Cloudflare, Inc.",
103.22.203.43,13335,"CLOUDFLARENET - Cloudflare, Inc.",
103.22.203.71,13335,"CLOUDFLARENET - Cloudflare, Inc.",
103.22.203.75,13335,"CLOUDFLARENET - Cloudflare, Inc.",
103.253.18.45,151983,OISP-AS-AP - Orbit Internet Serv,
104.16.121.79,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.18.29.73,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.20.33.62,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.11.164,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.13.76,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.2.21,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.25.31,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.40.171,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.43.24,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.5.158,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.50.114,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.58.181,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.65.101,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.78.152,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.21.78.247,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.26.7.128,13335,"CLOUDFLARENET - Cloudflare, Inc.",
104.44.16.102,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.19.106,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.28.159,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.28.162,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.28.172,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.29.132,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.29.166,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.29.168,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.29.50,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.36.141,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.7.209,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.7.215,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.7.28,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
104.44.7.29,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Mi,
110.39.10.226,38264,WATEEN-IMS-PK-AS-AP - National W,PK
110.93.192.198,38193,TWA-AS-AP - Transworld Associate,
