ip,asn,asn_name,country_code,city,lat,lon
2.21.120.57,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.90,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.112,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.114,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.122,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.144,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.146,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.154,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.171,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.177,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.187,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.21.120.208,32787,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",NL,Singapore,1.35208,103.82
2.25.25.11,47583,"AS-HOSTINGER - Hostinger International Limited, CY",LT,Vilnius,54.6872,25.2797
2.25.25.12,47583,"AS-HOSTINGER - Hostinger International Limited, CY",LT,Vilnius,54.6872,25.2797
2.57.91.235,47583,"AS-HOSTINGER - Hostinger International Limited, CY",CY,Vilnius,54.6872,25.2797
5.195.70.166,8966,"Etisalat-AS - EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC, AE",AE,Dubai,25.0734,55.2979
13.225.5.16,16509,"AMAZON-02 - Amazon.com, Inc., US",US,Mumbai,19.076,72.8777
13.248.155.102,16509,"AMAZON-02 - Amazon.com, Inc., US",US,Montreal,45.5019,-73.5674
14.192.150.180,45814,"FARIYA-PK - Fariya Networks Pvt. Ltd., PK",PK,Karachi,24.7929,66.9719
20.0.146.251,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,City of London,51.5113,-0.079212
23.227.38.32,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,Ottawa,45.413,-75.7011
23.227.38.65,13335,"CLOUDFLARENET - Cloudflare, Inc., US",CA,Ottawa,45.413,-75.7011
27.50.36.190,6939,"HURRICANE - Hurricane Electric LLC, US",HK,Hong Kong,22.3193,114.169
27.111.228.4,,,,Sydney,-33.7991,150.7829
27.111.228.69,,,,Sydney,-33.7991,150.7829
27.111.228.81,,,,Sydney,-33.7991,150.7829
27.111.228.157,,,,Sydney,-33.7991,150.7829
27.111.228.159,,,,Sydney,-33.7991,150.7829
27.111.228.217,,,,Sydney,-33.7991,150.7829
27.111.230.102,,,,Sydney,-33.7991,150.7829
27.111.230.138,,,,Sydney,-33.7991,150.7829
27.111.230.181,,,,Sydney,-33.7991,150.7829
27.111.231.71,,,,Sydney,-33.7991,150.7829
27.111.231.83,,,,Sydney,-33.7991,150.7829
31.31.34.219,,,,Amsterdam,52.3676,4.90414
31.31.34.221,,,,Amsterdam,52.3676,4.90414
31.31.34.225,,,,Amsterdam,52.3676,4.90414
31.43.191.219,210848,"TK-NET - Telkom Internet LTD, SC",UA,Baku,40.4093,49.8671
31.44.186.184,41313,"NOVATEL-AS - _NOVATEL_ EOOD, BG",RU,Frankfurt am Main,50.1109,8.68213
35.213.139.195,15169,,US,Singapore,1.3048,103.8622
35.213.150.39,15169,,US,Singapore,1.3048,103.8622
35.214.26.191,15169,,US,London,51.5123,-0.0909
