probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
7613,zcom,588wingames.pk,Abroad,12604.9,123.446,274.6,2.22,True
7764,ptcl,588wingames.pk,Abroad,12607.8,123.474,303.4,2.46,True
60223,nayatel,588wingames.pk,Abroad,12389.5,121.336,290.7,2.4,True
62224,transworld,588wingames.pk,Abroad,12607.8,123.474,282.7,2.29,True
64078,tes,588wingames.pk,Abroad,12603.1,123.428,281.8,2.28,True
64535,orbit,588wingames.pk,Abroad,12638.9,123.778,281.4,2.27,True
64722,tes,588wingames.pk,Abroad,13447.1,131.693,263.8,2.0,True
65892,nayatel,588wingames.pk,Abroad,12603.4,123.431,295.0,2.39,True
1014872,fasttel,588wingames.pk,Abroad,12399.4,121.433,282.4,2.33,True
1015491,zcom,588wingames.pk,Abroad,12599.2,123.389,283.1,2.29,True
1015679,nova,588wingames.pk,Abroad,12608.3,123.479,282.4,2.29,True
1016126,ptcl,588wingames.pk,Abroad,13441.0,131.634,286.5,2.18,True
1016143,cybernet,588wingames.pk,Abroad,13441.2,131.636,257.5,1.96,True
1016154,cybernet,588wingames.pk,Abroad,13441.1,131.635,257.4,1.96,True
1016393,ptcl,588wingames.pk,Abroad,12536.0,122.77,288.6,2.35,True
7613,zcom,777sxgameapp.pk,Abroad,11648.5,114.079,271.0,2.38,True
7764,ptcl,777sxgameapp.pk,Abroad,11654.4,114.137,278.1,2.44,True
60223,nayatel,777sxgameapp.pk,Abroad,11381.4,111.464,290.6,2.61,True
62224,transworld,777sxgameapp.pk,Abroad,11654.3,114.136,291.2,2.55,True
64078,tes,777sxgameapp.pk,Abroad,11647.6,114.071,282.7,2.48,True
64535,orbit,777sxgameapp.pk,Abroad,11631.8,113.916,275.3,2.42,True
64722,tes,777sxgameapp.pk,Abroad,12157.8,119.067,273.5,2.3,True
65892,nayatel,777sxgameapp.pk,Abroad,11648.0,114.074,284.7,2.5,True
1014872,fasttel,777sxgameapp.pk,Abroad,11391.2,111.559,283.6,2.54,True
1015491,zcom,777sxgameapp.pk,Abroad,11643.8,114.033,286.5,2.51,True
1015679,nova,777sxgameapp.pk,Abroad,11655.7,114.15,280.9,2.46,True
1016126,ptcl,777sxgameapp.pk,Abroad,12148.6,118.976,292.2,2.46,True
