target,cls,geoip_city,min_rtt_ms,worst_impossible_gap_ms,geoip_impossible,latency_verdict,ruling
cxtreme.pk,Pakistan,"Karachi,PK",3.6,3.4,False,LOCAL (~368 km of Karachi),consistent
excise.gos.pk,Pakistan,"Islamabad,PK",3.4,-7.8,True,LOCAL (~347 km of Karachi),geo-IP WRONG -> latency
hrd1902.com.pk,Pakistan,"Islamabad,PK",4.0,1.8,False,LOCAL (~408 km of Islamabad),consistent
kknetworks.com.pk,Pakistan,"Lahore,PK",0.8,0.7,False,LOCAL (~82 km of Lahore),consistent
logon.com.pk,Pakistan,"Karachi,PK",3.5,3.4,False,LOCAL (~357 km of Karachi),consistent
networld.pk,Pakistan,"Karachi,PK",3.7,3.6,False,LOCAL (~378 km of Karachi),consistent
phf.gop.pk,Pakistan,"Coral Springs,US",206.3,75.7,False,FAR (nearest 206 ms),consistent
psca.gop.pk,Pakistan,"Lahore,PK",0.8,0.8,False,LOCAL (~82 km of Lahore),consistent
sparkbroadband.pk,Pakistan,"Karachi,PK",3.6,3.5,False,LOCAL (~368 km of Karachi),consistent
tevta.gop.pk,Pakistan,"Lahore,PK",1.3,1.2,False,LOCAL (~133 km of Lahore),consistent
toptop.net,Pakistan,"Singapore,SG",99.1,52.7,False,FAR (nearest 99 ms),consistent
worldlinkisp.pk,Pakistan,"Lahore,PK",3.8,3.7,False,LOCAL (~388 km of Lahore),consistent
youth.cn,Pakistan,"Singapore,SG",76.8,30.4,False,FAR (nearest 77 ms),consistent
zcomnetworks.com.pk,Pakistan,"Lahore,PK",0.2,0.1,False,LOCAL (~20 km of Lahore),consistent
apkamazon.com.pk,CDN,"Toronto,CA",2.1,-110.6,True,LOCAL (~214 km of Islamabad),geo-IP WRONG -> latency
auroracloset.pk,CDN,"Ottawa,CA",2.5,-108.3,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
burgeroclock.com.pk,CDN,"Toronto,CA",2.4,-111.5,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
businesslist.pk,CDN,"Toronto,CA",2.4,-110.2,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
digikhata.pk,CDN,"Toronto,CA",2.5,-111.6,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
dogar.com.pk,CDN,"Toronto,CA",2.7,-110.4,True,LOCAL (~276 km of Islamabad),geo-IP WRONG -> latency
historicalpoint.pk,CDN,"Toronto,CA",2.5,-110.7,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
honda.com.pk,CDN,"Toronto,CA",2.2,-111.4,True,LOCAL (~225 km of Islamabad),geo-IP WRONG -> latency
logoofficial.com,CDN,"Ottawa,CA",2.5,-108.3,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
meerzah.pk,CDN,"Ottawa,CA",2.4,-108.7,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
mepcoebillcheck.pk,CDN,"Toronto,CA",2.3,-110.4,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
motifz.com.pk,CDN,"Ottawa,CA",2.2,-108.3,True,LOCAL (~225 km of Islamabad),geo-IP WRONG -> latency
pesconlinebill.pk,CDN,"Toronto,CA",2.1,-110.5,True,LOCAL (~214 km of Islamabad),geo-IP WRONG -> latency
pinkpetals.pk,CDN,"Toronto,CA",2.3,-110.3,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
reading.pk,CDN,"Toronto,CA",2.7,-110.9,True,LOCAL (~276 km of Lahore),geo-IP WRONG -> latency
sarazcollection.pk,CDN,"Ottawa,CA",2.0,-108.2,True,LOCAL (~204 km of Islamabad),geo-IP WRONG -> latency
skyscanner.pk,CDN,"Seattle,US",18.2,-98.5,True,LOCAL (~1858 km of Karachi),geo-IP WRONG -> latency
thefrontierpost.com,CDN,"Toronto,CA",2.5,-110.3,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
urbanbeauty.pk,CDN,"Ottawa,CA",2.3,-108.5,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
vidmateapp.com.pk,CDN,"Toronto,CA",2.3,-110.1,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
wbm.com.pk,CDN,"Ottawa,CA",2.7,-108.4,True,LOCAL (~276 km of Karachi),geo-IP WRONG -> latency
zarajahan.pk,CDN,"Ottawa,CA",2.3,-108.3,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
zing.pk,CDN,"Ottawa,CA",2.3,-108.3,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
588wingames.pk,Abroad,"Los Angeles,US",257.4,125.8,False,FAR (nearest 257 ms),consistent
777sxgameapp.pk,Abroad,"Chicago,US",271.0,154.4,False,FAR (nearest 271 ms),consistent
apkzone.pk,Abroad,"Falkenstein,DE",118.6,65.4,False,FAR (nearest 119 ms),consistent
enic.pk,Abroad,"Singapore,SG",158.1,111.7,False,FAR (nearest 158 ms),consistent
