target,mean,max,min
bbise.edu.pk,0.0,False,False
careers635.com.pk,0.0,False,False
cmu.gov.pk,0.0,False,False
cpsp.edu.pk,0.0,False,False
cxtreme.pk,0.0,False,False
dgcs.gos.pk,0.0,False,False
digiskills.pk,0.0,False,False
dunyanews.tv,0.0,False,False
efulife.com,0.576,True,False
enc.com.pk,0.0,False,False
epads.gov.pk,0.0,False,False
excise.gos.pk,0.0,False,False
fgeha.gov.pk,0.5795,True,False
galaxy.net.pk,0.0,False,False
gbn.net.pk,0.0,False,False
gnnhd.tv,0.0,False,False
hrd1902.com.pk,0.0,False,False
iub.edu.pk,0.0,False,False
iulms.edu.pk,0.0,False,False
kknetworks.com.pk,0.084,True,False
logon.com.pk,0.0,False,False
mepco.com.pk,0.0,False,False
mgacs.com.pk,0.0,False,False
networld.pk,0.08395802098950525,True,False
pefsis.edu.pk,0.0,False,False
psca.gop.pk,0.0,False,False
roadmaster.pk,0.0,False,False
sindh.gov.pk,0.0,False,False
sonic.pk,0.006513026052104208,True,False
sparkbroadband.pk,0.0,False,False
tevta.gop.pk,0.0,False,False
topcity-1.com,0.0,False,False
trax.pk,0.0041109969167523125,True,False
urdu.dunyanews.tv,0.0,False,False
worldlinkisp.pk,0.0,False,False
zcomnetworks.com.pk,0.08354177088544272,True,False
ztbl.com.pk,0.5792896448224112,True,False
