target,cls_design,cls_corrected,ip,lat,lon,loc_source,note
careers635.com.pk,Pakistan,Pakistan,59.103.180.56,33.6648,73.0419,geoip,
cxtreme.pk,Pakistan,Pakistan,203.101.172.157,24.981,67.0727,geoip,
dgcs.gos.pk,Pakistan,Pakistan,103.111.161.11,31.538,74.2797,geoip,
digiskills.pk,Pakistan,Pakistan,111.68.103.39,31.5924,74.3369,geoip,
dunyanews.tv,Pakistan,Pakistan,202.142.167.148,33.7233,73.0435,geoip,
enc.com.pk,Pakistan,Pakistan,163.61.25.4,31.5596,74.3259,geoip,
excise.gos.pk,Pakistan,Pakistan,59.103.225.21,25.6937,67.8558,multilateration,geo-IP city impossible; relocated
gnnhd.tv,Pakistan,Pakistan,103.178.96.22,31.4573,74.2453,geoip,
hrd1902.com.pk,Pakistan,Pakistan,111.68.99.219,33.6736,73.0546,geoip,
kknetworks.com.pk,Pakistan,Pakistan,103.163.48.205,31.558,74.3587,geoip,
logon.com.pk,Pakistan,Pakistan,103.121.121.29,24.836,67.0337,geoip,
mgacs.com.pk,Pakistan,Pakistan,115.42.64.26,24.8591,66.9983,geoip,
networld.pk,Pakistan,Pakistan,14.192.150.180,24.7929,66.9719,geoip,
phf.gop.pk,Pakistan,Abroad,162.210.100.75,26.2497,-80.254,geoip,labelled PK but FAR (nearest 206 ms)
psca.gop.pk,Pakistan,Pakistan,103.119.125.20,31.5321,74.358,geoip,
sonic.pk,Pakistan,Pakistan,119.160.105.77,32.4926,74.6124,geoip,
sparkbroadband.pk,Pakistan,Pakistan,103.121.121.29,24.836,67.0337,geoip,
tevta.gop.pk,Pakistan,Pakistan,202.142.172.236,31.5826,74.3276,geoip,
toptop.net,Pakistan,Abroad,138.113.144.11,1.35208,103.82,geoip,labelled PK but FAR (nearest 99 ms)
trax.pk,Pakistan,Pakistan,119.160.105.78,32.4926,74.6124,geoip,
urdu.dunyanews.tv,Pakistan,Pakistan,202.142.167.148,33.7233,73.0435,geoip,
worldlinkisp.pk,Pakistan,Pakistan,110.39.10.226,31.5826,74.3276,geoip,
youth.cn,Pakistan,Abroad,153.43.76.237,1.35208,103.82,geoip,labelled PK but FAR (nearest 77 ms)
zcomnetworks.com.pk,Pakistan,Pakistan,157.20.147.244,31.5826,74.3276,geoip,
apkamazon.com.pk,CDN,CDN,104.21.46.120,43.6532,-79.3832,geoip,
auroracloset.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
burgeroclock.com.pk,CDN,CDN,172.66.174.208,43.6532,-79.3832,geoip,
businesslist.pk,CDN,CDN,172.67.198.202,43.6532,-79.3832,geoip,
digikhata.pk,CDN,CDN,104.26.2.35,43.6532,-79.3832,geoip,
dogar.com.pk,CDN,CDN,172.67.155.22,43.6532,-79.3832,geoip,
historicalpoint.pk,CDN,CDN,172.67.133.154,43.6532,-79.3832,geoip,
honda.com.pk,CDN,CDN,104.20.31.71,43.6532,-79.3832,geoip,
logoofficial.com,CDN,CDN,23.227.38.32,45.413,-75.7011,geoip,
meerzah.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
mepcoebillcheck.pk,CDN,CDN,172.67.128.152,43.6532,-79.3832,geoip,
motifz.com.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
pesconlinebill.pk,CDN,CDN,172.67.162.107,43.6532,-79.3832,geoip,
pinkpetals.pk,CDN,CDN,104.21.1.130,43.6532,-79.3832,geoip,
reading.pk,CDN,CDN,172.67.149.149,43.6532,-79.3832,geoip,
sarazcollection.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
skyscanner.pk,CDN,CDN,76.223.21.241,47.4815,-122.246,geoip,
supermeal.pk,CDN,CDN,20.0.146.251,51.5113,-0.079212,geoip,
thefrontierpost.com,CDN,CDN,104.21.20.193,43.6532,-79.3832,geoip,
urbanbeauty.pk,CDN,CDN,23.227.38.32,45.413,-75.7011,geoip,
vidmateapp.com.pk,CDN,CDN,172.67.161.148,43.6532,-79.3832,geoip,
wbm.com.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
zarajahan.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
zing.pk,CDN,CDN,23.227.38.65,45.413,-75.7011,geoip,
588wingames.pk,Abroad,Abroad,66.29.148.121,34.0356,-118.442,geoip,
777sxgameapp.pk,Abroad,Abroad,198.54.120.127,41.8781,-87.6298,geoip,
apkzone.pk,Abroad,Abroad,157.90.1.43,50.4777,12.3649,geoip,
enic.pk,Abroad,Abroad,103.138.189.184,1.35208,103.82,geoip,
