probe,target,n_transitions,n_genuine,has_genuine,note
cybernet.1016036,enc.com.pk,29,0,False,
cybernet.1016036,galaxy.net.pk,2,0,False,
cybernet.1016036,mepco.com.pk,31,0,False,
cybernet.1016036,networld.pk,2,0,False,
cybernet.1016036,sonic.pk,2,0,False,
cybernet.1016036,tevta.gop.pk,2,1,True,
cybernet.1016036,zcomnetworks.com.pk,2,2,True,
fasttel.1014872,efulife.com,6,0,False,
fasttel.1014872,enc.com.pk,16,0,False,
fasttel.1014872,fgeha.gov.pk,6,0,False,
fasttel.1014872,galaxy.net.pk,6,0,False,
fasttel.1014872,kknetworks.com.pk,12,0,False,
fasttel.1014872,mepco.com.pk,15,0,False,
fasttel.1014872,networld.pk,8,0,False,
fasttel.1014872,sonic.pk,12,0,False,
fasttel.1014872,tevta.gop.pk,2,2,True,
fasttel.1014872,trax.pk,6,0,False,
fasttel.1014872,ztbl.com.pk,6,0,False,
nova.1015679,efulife.com,2,0,False,
nova.1015679,galaxy.net.pk,10,0,False,
nova.1015679,networld.pk,8,0,False,
orbit.64535,enc.com.pk,26,0,False,
orbit.64535,galaxy.net.pk,2,0,False,
orbit.64535,kknetworks.com.pk,12,0,False,
orbit.64535,mepco.com.pk,18,0,False,
orbit.64535,networld.pk,2,0,False,
ptcl.1016126,galaxy.net.pk,4,0,False,
ptcl.1016126,sonic.pk,11,0,False,
ptcl.1016126,tevta.gop.pk,2,2,True,
ptcl.1016126,trax.pk,6,0,False,
tes.64078,efulife.com,2,0,False,
tes.64078,enc.com.pk,22,0,False,
tes.64078,kknetworks.com.pk,22,0,False,
tes.64078,mepco.com.pk,30,0,False,
tes.64078,tevta.gop.pk,2,1,True,
tes.64722,efulife.com,5,0,False,
zcom.7613,efulife.com,4,0,False,
zcom.7613,networld.pk,2,0,False,
