tranco_rank,website,matched_domain,category,hosting,isp_cdn
94,samsung.com,,E-commerce,Abroad,SamsungSDS Inc. (KR)
1860,vu.edu.pk,,"Government / Education (PK-hosted, ISP noted in source)",Pakistani,HEC
1876,pitc.com.pk,,"Government / Education (PK-hosted, ISP noted in source)",Pakistani,PITC
5979,daraz.pk,,E-commerce,Abroad,Alibaba (US) Technology Co.  Ltd. (SG)
6556,dawn.com,,News,CDN,Cloudflare
6556,herald.dawn.com,dawn.com,News,CDN,Cloudflare
7936,cntv.cn,,Chinese/HK (PK-hosted infra via S.B Link Network),Pakistani,Gerrys Information Technology (PVT) Ltd
8110,jang.com.pk,,News,CDN,Cloudflare
9371,saya.pk,,E-commerce,CDN,Cloudflare
9438,priceoye.pk,,E-commerce,CDN,Cloudflare
9822,zellbury.com,,E-commerce,CDN,Cloudflare
9830,punjabpolice.gov.pk,,"Government / Education (PK-hosted, ISP noted in source)",Pakistani,Punjab Information Technology Board
9831,sapphireonline.pk,,E-commerce,Abroad,easyDNS Technologies  Inc. (CA)
9973,nishatlinen.com,,E-commerce,CDN,Cloudflare
10269,junaidjamshed.com,,E-commerce,CDN,Cloudflare
10615,limelight.pk,,E-commerce,CDN,Cloudflare
13013,citibank.com,,Banks,CDN,Akamai
13272,tribune.com.pk,,News,CDN,Cloudflare
13948,youth.cn,,Chinese/HK (PK-hosted infra via S.B Link Network),Pakistani,Gerrys Information Technology (PVT) Ltd
15695,punjab.gov.pk,,"Government / Education (PK-hosted, ISP noted in source)",Pakistani,Punjab Information Technology Board
15935,enews.hamariweb.com,hamariweb.com,News,CDN,Cloudflare
17707,toptop.net,,Chinese/HK (PK-hosted infra via S.B Link Network),Pakistani,Gerrys Information Technology (PVT) Ltd
18680,thenews.com.pk,,News,CDN,Cloudflare
20258,flashget.com,,Chinese/HK (PK-hosted infra via S.B Link Network),Pakistani,Gerrys Information Technology (PVT) Ltd
21341,whatmobile.com.pk,,E-commerce,CDN,Cloudflare
21551,beechtree.pk,,E-commerce,CDN,Cloudflare
22137,stylo.pk,,E-commerce,CDN,Cloudflare
22433,khaadi.com,,E-commerce,CDN,AWS CloudFront
23017,edenrobe.com,,E-commerce,CDN,Cloudflare
25965,urdu.geo.tv,geo.tv,News,CDN,Cloudflare
26822,haier.com,,E-commerce,Abroad,IDC  China Telecommunications Corporation (CN)
28243,cyber.net.pk,,ISPs,Pakistani,Cyber Internet Services (Private) Limited
28360,ntc.net.pk,,ISPs,Pakistani,Cyber Internet Services (Private) Limited
31689,urdupoint.com,,News,CDN,Cloudflare
31890,brecorder.com,,News,CDN,Cloudflare
32521,arynews.tv,,News,CDN,Cloudflare
34553,dailytimes.com.pk,,News,CDN,Cloudflare
35891,pakistantoday.com.pk,,News,CDN,Cloudflare
39209,propakistani.pk,,News,CDN,Cloudflare
39646,nation.com.pk,,News,Abroad,Hetzner Online GmbH (FI)
39944,zong.com.pk,,Telco,Pakistani,ESS
43844,jazz.com.pk,,Telco,CDN,Cloudflare
47880,nayatel.com,,ISPs,Pakistani,Nayatel (Pvt) Ltd
51303,dailypakistan.com.pk,,News,Abroad,Hetzner Online GmbH (FI)
55784,meezanbank.com,,Banks,CDN,Cloudflare
56837,jazzcash.com.pk,,Banks,CDN,Cloudflare
58206,express.pk,,News,CDN,Cloudflare
60688,bachaaparty.com,,E-commerce,CDN,Cloudflare
61597,dunyanews.tv,,News,Pakistani,Multinet Broadband
61597,urdu.dunyanews.tv,dunyanews.tv,News,Pakistani,Multinet Broadband
63182,gulahmedshop.com,,E-commerce,CDN,Cloudflare
65746,naheed.pk,,E-commerce,CDN,AWS
66349,exportleftovers.com,,E-commerce,CDN,Cloudflare
66738,scentsnstories.pk,,E-commerce,CDN,Cloudflare
67384,alkaramstudio.com,,E-commerce,CDN,Cloudflare
70640,alfatah.pk,,E-commerce,CDN,Cloudflare
72975,cliveshoes.com,,E-commerce,CDN,Cloudflare
74067,bonanzasatrangi.com,,E-commerce,CDN,Cloudflare
76212,chasevalue.pk,,E-commerce,CDN,Cloudflare
76915,airblue.com,,Airlines,CDN,Cloudflare
80717,mistore.pk,,E-commerce,CDN,Cloudflare
82003,zeenwoman.com,,E-commerce,CDN,Cloudflare
82477,nutrifactor.com.pk,,E-commerce,CDN,Cloudflare
82535,ndure.com,,E-commerce,CDN,Cloudflare
83520,mariab.pk,,E-commerce,CDN,Cloudflare
83526,asimjofa.com,,E-commerce,CDN,Cloudflare
83530,ummat.net,,News,CDN,Cloudflare
83531,sbp.org.pk,,Banks,CDN,Cloudflare
83839,outfitters.com.pk,,E-commerce,CDN,Cloudflare
84648,saeedghani.pk,,E-commerce,CDN,Cloudflare
84915,bata.com.pk,,E-commerce,CDN,Cloudflare
84930,crossstitch.pk,,E-commerce,CDN,Cloudflare
85333,sanasafinaz.com,,E-commerce,CDN,Cloudflare
85421,shopecs.com,,E-commerce,CDN,Cloudflare
86037,jenpharm.com,,E-commerce,CDN,Cloudflare
86346,insignia.com.pk,,E-commerce,CDN,Cloudflare
86453,minnieminors.com,,E-commerce,CDN,Cloudflare
86815,dawlance.com.pk,,E-commerce,Abroad,Vodafone Net Iletisim Hizmetleri A.S. (TR)
87301,unze.com.pk,,E-commerce,CDN,Cloudflare
87906,engine.com.pk,,E-commerce,CDN,Cloudflare
88370,servis.pk,,E-commerce,CDN,Cloudflare
88406,audionic.co,,E-commerce,CDN,Cloudflare
89866,gracestore.pk,,E-commerce,CDN,Cloudflare
90736,breakout.com.pk,,E-commerce,CDN,Cloudflare
91639,diners.com.pk,,E-commerce,CDN,Cloudflare
91746,logoofficial.com,,E-commerce,CDN,Cloudflare
95473,sims.pk,,Telco,Pakistani,Nayatel (Pvt) Ltd
107805,ebonenet.com,,ISPs,Pakistani,Ebone Network (Pvt) Ltd
108094,piac.com.pk,,Airlines,CDN,Cloudflare
110575,telenor.com,,Telco,CDN,Microsoft/Azure
115337,arabnews.pk,,News,CDN,Cloudflare
132098,libertybooks.com,,E-commerce,CDN,Cloudflare
134524,aaj.tv,,News,CDN,Cloudflare
135967,hbl.com,,Banks,CDN,Imperva/Incapsula
139438,nexlinx.net.pk,,ISPs,Pakistani,Nexlinx
140127,bankalhabib.com,,Banks,CDN,Microsoft/Azure
144365,easypaisa.com.pk,,Banks,CDN,AWS
145031,bankalfalah.com,,Banks,CDN,Microsoft/Azure
147256,bolnews.com,,News,CDN,Cloudflare
150410,ufone.com,,Telco,Pakistani,Pakistan Telecommuication company limited
152967,dailykhabrain.com.pk,,News,Abroad,Hostinger International Limited (LT)
157665,ptcl.com.pk,,Telco,Pakistani,Pakistan Telecommunication Company Limited
158359,mega.pk,,E-commerce,CDN,Cloudflare
158809,thefridaytimes.com,,News,Abroad,Hetzner Online GmbH (FI)
160441,dunya.com.pk,,News,Pakistani,TW OBJ
167571,phonecase.pk,,E-commerce,CDN,Cloudflare
170942,w11stop.com,,E-commerce,CDN,Cloudflare
172361,flyjinnah.com,,Airlines,CDN,Microsoft/Azure
173002,ke.com.pk,,Energy (DISCO),Abroad,ManagedWay (US)
173018,wancom.net.pk,,ISPs,CDN,Cloudflare
175712,khazanay.pk,,E-commerce,CDN,Cloudflare
178170,paklap.pk,,E-commerce,CDN,Cloudflare
178333,airsial.com,,Airlines,Abroad,Namecheap  Inc. (US)
180276,motifz.com.pk,,E-commerce,CDN,Cloudflare
183747,lesco.gov.pk,,Energy (DISCO),Pakistani,Nexlinx
196767,sindhhighcourt.gov.pk,,Courts,CDN,Cloudflare
198947,furorjeans.com,,E-commerce,CDN,Cloudflare
198954,generation.com.pk,,E-commerce,CDN,Cloudflare
203453,gepco.com.pk,,Energy (DISCO),Pakistani,PITC
205688,urbansole.com.pk,,E-commerce,CDN,Cloudflare
209133,alladin.pk,,E-commerce,CDN,Cloudflare
209734,ronin.pk,,E-commerce,CDN,Cloudflare
212755,tclpakistan.com,,E-commerce,CDN,AWS
217891,wateen.com,,ISPs,Abroad,HOSTINGER ID (ID)
219081,telenor.com.pk,,ISPs,CDN,Cloudflare
221980,super.net.pk,,ISPs,Pakistani,Supernet 1
226466,iesco.com.pk,,Energy (DISCO),Pakistani,CIS Islamabad
254133,24newshd.tv,,News,Abroad,Hetzner Online GmbH (FI)
262071,faysalbank.com,,Banks,CDN,Cloudflare
276384,mcb.com.pk,,Banks,CDN,Sucuri
282373,abl.com,,Banks,CDN,Cloudflare
291513,geosuper.tv,,News,CDN,Cloudflare
312904,thefrontierpost.com,,News,CDN,Cloudflare
329665,supremecourt.gov.pk,,Courts,CDN,Akamai
333207,lhc.gov.pk,,Courts,Pakistani,Punjab Information Technology Board
335412,a-sports.tv,,News,CDN,Cloudflare
342519,bop.com.pk,,Banks,CDN,Imperva/Incapsula
346563,peekaboo.guru,,E-commerce,CDN,Cloudflare
357591,dailyausaf.com,,News,CDN,Cloudflare
361490,jsbl.com,,Banks,CDN,Cloudflare
380879,dawnnews.tv,,News,CDN,Cloudflare
395905,wellshop.pk,,E-commerce,Abroad,Namecheap  Inc. (US)
423549,eezepc.com,,E-commerce,CDN,Cloudflare
428884,paktribune.com,,News,CDN,Cloudflare
428966,ubldirect.com,,Banks,Pakistani,United Bank Limited
441765,telemart.pk,,E-commerce,CDN,Cloudflare
442350,peshawarhighcourt.gov.pk,,Courts,Abroad,Hetzner Online GmbH (DE)
449550,myvitaminstore.pk,,E-commerce,CDN,Cloudflare
467638,independenturdu.com,,News,CDN,Cloudflare
470836,mashriqtv.pk,,News,CDN,Cloudflare
485756,askaribank.com.pk,,Banks,CDN,Cloudflare
495548,jasarat.com,,News,CDN,Google
520826,zahcomputers.pk,,E-commerce,CDN,Cloudflare
520870,timesofislamabad.com,,News,CDN,Cloudflare
528024,bok.com.pk,,Banks,Abroad,Liquid Web  L.L.C (US)
533233,global.ptv.com.pk,ptv.com.pk,News,CDN,Cloudflare
552131,czone.com.pk,,E-commerce,CDN,Cloudflare
556388,metro-online.pk,,E-commerce,Abroad,WHG Hosting Services Ltd (SG)
556780,habibbank.com,,Banks,CDN,AWS
567489,efulife.com,,Insurance,Pakistani,EFU LIFE Assurance Ltd
569756,statelife.com.pk,,Insurance,CDN,Cloudflare
580385,fesco.com.pk,,Energy (DISCO),Pakistani,PITC
590461,naibaat.pk,,News,Abroad,Hetzner Online GmbH (FI)
592105,habibmetro.com,,Banks,Abroad,Dosarrest Internet Security LTD (US)
593751,xcessorieshub.com,,E-commerce,CDN,Cloudflare
598079,alfamall.com,,E-commerce,CDN,AWS
608094,daewoo.com.pk,,Bus / Public Transport,Abroad,Hetzner Online GmbH (DE)
612891,cougar.com.pk,,E-commerce,CDN,Cloudflare
649145,gnnhd.tv,,News,Pakistani,Gourmet Foods
656948,dailyqudrat.pk,,News,CDN,Cloudflare
662974,surmawala.pk,,E-commerce,CDN,Cloudflare
697992,24urdu.com,,News,Abroad,Hetzner Online GmbH (FI)
698360,lahorenews.tv,,News,Abroad,Digital LLC (US)
761144,atlas.pk,,Insurance,Abroad,pair Networks (US)
780572,faisalmovers.com,,Bus / Public Transport,Abroad,Hostinger MY (MY)
788359,hesco.gov.pk,,Energy (DISCO),Pakistani,PITC
814085,pakqatar.com.pk,,Insurance,Abroad,Hetzner Online GmbH (FI)
818899,ptclflashfiber.com,,ISPs,Pakistani,Pakistan Telecommunication Company Limited
833662,theunitedinsurance.com,,Insurance,CDN,Cloudflare
853941,ztbl.com.pk,,Banks,Pakistani,Cyber Internet Services (Private) Limited
864165,92newshd.tv,,News,CDN,Cloudflare
864165,urdu.92newshd.tv,92newshd.tv,News,CDN,Cloudflare
892110,journalismpakistan.com,,News,CDN,Cloudflare
947986,dibpak.com,,Banks,CDN,Cloudflare
949599,pak.samba.com,samba.com,Banks,unresolved,
965563,inp.net.pk,,News,Abroad,Hetzner Online GmbH (FI)
976750,soneribank.com,,Banks,CDN,Cloudflare
