# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank

# ===== Telco [CDN 2 · Abroad 0 · PK 4] =====
jazz.com.pk,CDN,Cloudflare,43844
telenor.com,CDN,Microsoft/Azure,110575
ufone.com,Pakistani,Pakistan Telecommuication company limited,150410
zong.com.pk,Pakistani,ESS,39944
ptcl.com.pk,Pakistani,Pakistan Telecommunication Company Limited,157665
sims.pk,Pakistani,Nayatel (Pvt) Ltd,95473

# ===== ISPs [CDN 2 · Abroad 7 · PK 8 · unresolved 2] =====
ptclflashfiber.com,Pakistani,Pakistan Telecommunication Company Limited,818899
aa-networks.net,Abroad,Leaseweb NL (NL),
alpinepk.net,Abroad,Namecheap  Inc. (NL),
amazonfiber.com.pk,Abroad,FranTech Solutions (LU),
anatel.com.pk,Abroad,HOSTINGER IN (IN),
ascontel.net,Abroad,IONOS SE (US),
nayatel.com,Pakistani,Nayatel (Pvt) Ltd,47880
cyber.net.pk,Pakistani,Cyber Internet Services (Private) Limited,28243
wateen.com,Abroad,HOSTINGER ID (ID),217891
multinet.com.pk,Pakistani,Multinet Broadband,
connect.com.pk,unresolved,,
ebonenet.com,Pakistani,Ebone Network (Pvt) Ltd,107805
nexlinx.net.pk,Pakistani,Nexlinx,139438
transworld.com.pk,Abroad,Namecheap  Inc. (US),
super.net.pk,Pakistani,Supernet 1,221980
ntc.net.pk,Pakistani,Cyber Internet Services (Private) Limited,28360
wancom.net.pk,CDN,Cloudflare,173018
optix.com.pk,unresolved,,
telenor.com.pk,CDN,Cloudflare,219081

# ===== Energy (DISCO) [CDN 1 · Abroad 2 · PK 8] =====
fesco.com.pk,Pakistani,PITC,580385
gepco.com.pk,Pakistani,PITC,203453
hazeco.com.pk,Abroad,Contabo GmbH (FR),
hesco.gov.pk,Pakistani,PITC,788359
iesco.com.pk,Pakistani,CIS Islamabad,226466
lesco.gov.pk,Pakistani,Nexlinx,183747
mepco.com.pk,Pakistani,PITC,
pesco.com.pk,CDN,Cloudflare,
qesco.com.pk,Pakistani,PITC,
sepco.com.pk,Pakistani,PITC,
ke.com.pk,Abroad,ManagedWay (US),173002

# ===== News [CDN 45 · Abroad 26 · PK 4] =====
merafm.com,Abroad,InMotion Hosting  Inc. (US),
dailyintekhab.pk,Abroad,Contabo GmbH (GB),
global.ptv.com.pk,CDN,Cloudflare,
dailyibrat.com,Abroad,netcup GmbH (AT),
cityfm89.com,CDN,Cloudflare,
mashriqtv.pk,CDN,Cloudflare,470836
ummat.net,CDN,Cloudflare,83530
jasarat.com,CDN,Google,495548
herald.dawn.com,CDN,Cloudflare,
dailykhabrain.com.pk,Abroad,Hostinger International Limited (LT),152967
thefrontierpost.com,CDN,Cloudflare,312904
thefridaytimes.com,Abroad,Hetzner Online GmbH (FI),158809
a-sports.tv,CDN,Cloudflare,335412
dunya.com.pk,Pakistani,TW OBJ,160441
geosuper.tv,CDN,Cloudflare,291513
nation.com.pk,Abroad,Hetzner Online GmbH (FI),39646
pakistantoday.com.pk,CDN,Cloudflare,35891
dailypakistan.com.pk,Abroad,Hetzner Online GmbH (FI),51303
aaj.tv,CDN,Cloudflare,134524
urdupoint.com,CDN,Cloudflare,31689
thenews.com.pk,CDN,Cloudflare,18680
brecorder.com,CDN,Cloudflare,31890
jang.com.pk,CDN,Cloudflare,8110
dailytimes.com.pk,CDN,Cloudflare,34553
tribune.com.pk,CDN,Cloudflare,13272
dawn.com,CDN,Cloudflare,6556
enews.hamariweb.com,CDN,Cloudflare,
bolnews.com,CDN,Cloudflare,147256
express.pk,CDN,Cloudflare,58206
pakshowbiz.com,Abroad,Oracle Corporation (US),
emeatribune.com,CDN,AWS,
awamiweb.com,Abroad,Hostinger International Limited (LT),
chitraltimes.com,CDN,Cloudflare,
thefinancialdaily.com,CDN,Cloudflare,
dailythepatriot.com,Abroad,HOSTINGER IN (IN),
lhrtimes.com,Abroad,Hetzner Online GmbH (FI),
urdu.geo.tv,CDN,Cloudflare,
dailyqudrat.pk,CDN,Cloudflare,656948
urdu.nayadaur.tv,Abroad,Hetzner Online GmbH (FI),
yesurdu.com,Abroad,O2switch Sarl (FR),
bolnewsurdu.com,Abroad,Hetzner Online GmbH (DE),
arynews.tv,CDN,Cloudflare,32521
independenturdu.com,CDN,Cloudflare,467638
urdu.dunyanews.tv,Pakistani,Multinet Broadband,
24urdu.com,Abroad,Hetzner Online GmbH (FI),697992
dailyausaf.com,CDN,Cloudflare,357591
pni.net.pk,CDN,Cloudflare,
urdu.92newshd.tv,CDN,Cloudflare,
naibaat.pk,Abroad,Hetzner Online GmbH (FI),590461
pakistanchristianpost.com,Abroad,Hetzner Online GmbH (DE),
paktribune.com,CDN,Cloudflare,428884
pakistangulfeconomist.com,Abroad,Hostinger International Limited (LT),
dunyanews.tv,Pakistani,Multinet Broadband,61597
pakistanlink.org,Abroad,WEBSITEWELCOME.COM (US),
arabnews.pk,CDN,Cloudflare,115337
92newshd.tv,CDN,Cloudflare,864165
thecurrent.pk,CDN,Cloudflare,
propakistani.pk,CDN,Cloudflare,39209
journalismpakistan.com,CDN,Cloudflare,892110
inp.net.pk,Abroad,Hetzner Online GmbH (FI),965563
dailynewspk.com,CDN,AWS,
gnnhd.tv,Pakistani,Gourmet Foods,649145
dawnnews.tv,CDN,Cloudflare,380879
customnews.pk,Abroad,InMotion Hosting  Inc. (US),
24newshd.tv,Abroad,Hetzner Online GmbH (FI),254133
timesofislamabad.com,CDN,Cloudflare,520870
publicnews.com,Abroad,Hetzner Online GmbH (FI),
pakistannews.net,CDN,AWS,
neonews.pk,Abroad,Hetzner Online GmbH (FI),
aiknewshd.tv,CDN,Cloudflare,
lahorenews.tv,Abroad,Digital LLC (US),698360
dialoguepakistan.com,CDN,Cloudflare,
hq.com.pk,CDN,Cloudflare,
thepakistan.pk,CDN,Cloudflare,
soontimes.pk,Abroad,Hostinger International Limited (LT),

# ===== E-commerce [CDN 67 · Abroad 7 · PK 0] =====
daraz.pk,Abroad,Alibaba (US) Technology Co.  Ltd. (SG),5979
naheed.pk,CDN,AWS,65746
servis.pk,CDN,Cloudflare,88370
libertybooks.com,CDN,Cloudflare,132098
khazanay.pk,CDN,Cloudflare,175712
samsung.com,Abroad,SamsungSDS Inc. (KR),94
priceoye.pk,CDN,Cloudflare,9438
whatmobile.com.pk,CDN,Cloudflare,21341
saya.pk,CDN,Cloudflare,9371
junaidjamshed.com,CDN,Cloudflare,10269
zellbury.com,CDN,Cloudflare,9822
edenrobe.com,CDN,Cloudflare,23017
stylo.pk,CDN,Cloudflare,22137
nishatlinen.com,CDN,Cloudflare,9973
gulahmedshop.com,CDN,Cloudflare,63182
outfitters.com.pk,CDN,Cloudflare,83839
beechtree.pk,CDN,Cloudflare,21551
