probe,probe_id,target_ip,target_label,min_rtt_ms,pie_found,pkix_found,measurement_id
Zcom Lahore,7613,43.132.69.1,ACE-CDN-1,112.9,False,False,190459689
Zcom Lahore,7613,43.132.69.2,ACE-CDN-2,107.1,False,False,190459717
Nova Lahore,1015679,43.132.69.1,ACE-CDN-1,112.5,False,False,190459807
Nova Lahore,1015679,43.132.69.2,ACE-CDN-2,100.3,False,False,190459884
Cybernet Hrp,1016036,43.132.69.1,ACE-CDN-1,256.6,False,False,190459960
Cybernet Hrp,1016036,43.132.69.2,ACE-CDN-2,254.6,False,False,190460042
Transworld Lhe,62224,43.132.69.1,ACE-CDN-1,113.5,False,False,190460125
Transworld Lhe,62224,43.132.69.2,ACE-CDN-2,112.8,False,False,190460193
PTCL Lahore,7764,43.132.69.1,ACE-CDN-1,23.5,False,False,190460272
PTCL Lahore,7764,43.132.69.2,ACE-CDN-2,25.2,False,False,190460346
PTCL Karachi,1016126,43.132.69.1,ACE-CDN-1,70.5,False,False,190460386
PTCL Karachi,1016126,43.132.69.2,ACE-CDN-2,25.8,False,False,190460397
Nayatel ISB,60223,43.132.69.1,ACE-CDN-1,23.5,False,False,190460474
Nayatel ISB,60223,43.132.69.2,ACE-CDN-2,23.5,False,False,190460550
