origin,hege_ptcl,hege_twa,top_dep,top_hege,n_deps
4615,0.0,0.0,,,0
4661,1.0,0.0,17557,1.0,3
7590,0.7142,0.2858,17557,0.7142,10
7605,0.0,0.0,,,0
9260,0.0636,0.9364,38193,0.9364,10
9387,0.1611,0.8389,38193,0.8389,11
9541,0.1217,0.0,174,0.2419,14
9557,1.0,0.0,17557,1.0,5
9937,1.0,0.0,17557,1.0,3
9940,0.0,0.0,,,0
10112,0.0,0.0,25369,1.0,4
17539,0.5662,0.4338,17557,0.5662,9
17557,0.0,0.0,174,0.009,9
17563,0.1736,0.8264,38193,0.8264,8
17787,0.4375,0.5625,38193,0.5625,8
17911,0.5907,0.4093,138423,0.8948,10
18053,0.0,1.0,38193,1.0,4
18173,0.0,1.0,38193,1.0,3
18212,0.0,1.0,38193,1.0,5
18359,0.0,0.1798,9541,0.8315,6
23607,0.0,0.0,,,0
23674,0.6957,0.3026,17557,0.6957,12
23750,0.0,1.0,38193,1.0,6
23888,0.6917,0.3085,17557,0.6917,12
23966,0.0328,0.9682,58470,1.0,11
24051,0.0,0.0,,,0
24105,0.0,1.0,38193,1.0,4
24435,0.5629,0.4371,17557,0.5629,10
24440,0.0407,0.0,9541,1.0,8
24499,0.95,0.0,17557,0.95,7
37973,0.0,1.0,38193,1.0,6
38193,0.0,0.0,3356,0.1765,11
38196,0.0,0.0,,,0
38264,0.1622,0.8378,38193,0.8378,13
38488,0.1685,0.8427,38193,0.8427,7
38547,0.1818,0.8182,38193,0.8182,9
38584,0.9046,0.0949,17557,0.9046,8
38616,0.0,0.0,8529,1.0,4
38710,0.3269,0.6731,38193,0.6731,9
38713,0.0,1.0,38193,1.0,9
38808,0.0,0.0,61231,1.0,3
45127,0.0,0.0,,,0
45195,0.3708,0.6404,38193,0.6404,6
45246,0.0,0.0,6453,0.3333,21
45252,0.0,0.0,,,0
45446,0.1086,0.5543,38193,0.5543,9
45595,1.0,0.0,17557,1.0,3
45605,0.0,0.0,,,0
45669,0.1798,0.7821,58470,1.0,14
45748,0.5,0.5,17557,0.5,11
45773,0.7016,0.3051,17557,0.7016,9
45779,0.0,1.0,38193,1.0,6
45814,0.4,0.6,38193,0.6,11
45843,0.0,0.0,,,0
45939,0.0,0.0,9541,1.0,5
55340,0.1779,0.8221,38193,0.8221,10
55356,0.0,1.0,38193,1.0,5
55399,0.0,0.0,,,0
55414,1.0,0.0,17557,1.0,5
55453,0.0,1.0,38193,1.0,7
55483,0.0,0.0,,,0
55501,0.3167,0.6837,38193,0.6837,7
55534,1.0,0.0,17557,1.0,2
55541,0.7129,0.2959,17557,0.7129,5
55714,0.0,1.0,38193,1.0,4
55816,0.75,0.25,17557,0.75,6
56052,0.0,0.0,,,0
56126,0.4163,0.1843,17557,0.4163,8
56167,1.0,0.0,17557,1.0,6
56192,1.0,0.0,17557,1.0,4
58468,0.0,0.0,,,0
58470,0.0,0.9,38193,0.9,8
58506,0.0899,0.9213,38193,0.9213,3
58512,0.0,0.0,,,0
58515,0.9888,0.0337,17557,0.9888,4
58602,0.0562,0.9551,38193,0.9551,5
58609,0.0,0.0,9541,1.0,5
58614,0.0,0.0,,,0
58617,0.309,0.1292,9541,0.5281,9
58626,0.0,0.0,34872,1.0,4
58746,0.0,0.0,,,0
58876,0.0,1.0,38193,1.0,4
58893,0.6782,0.3239,17557,0.6782,9
58895,0.7037,0.2963,17557,0.7037,10
58974,0.7781,0.2303,17557,0.7781,5
58987,0.0,0.0,,,0
59254,0.0,1.0,38193,1.0,5
59257,0.5906,0.2647,17557,0.5906,11
59323,0.4,0.6,38193,0.6,8
63954,0.5843,0.4045,9541,0.6292,6
64093,1.0,0.0,17557,1.0,3
131220,0.0,1.0,38193,1.0,5
131275,0.1222,0.8174,38193,0.8174,16
131471,0.2564,0.7436,38193,0.7436,9
132103,0.0,1.0,38193,1.0,5
132142,0.0,0.0,,,0
132165,0.6582,0.3418,17557,0.6582,11
132285,0.0,0.0,,,0
132386,0.0,1.0,38193,1.0,6
132480,0.0,0.0,,,0
132683,0.0,0.0,,,0
132741,0.0,1.0,38193,1.0,6
132788,1.0,0.0,17557,1.0,3
132872,0.0,0.0,9541,1.0,5
132891,0.0,1.0,38193,1.0,6
133141,0.0,0.0,,,0
133369,0.0,0.0,,,0
133495,0.2778,0.7222,38193,0.7222,9
133502,0.0,1.0,38193,1.0,7
133551,0.0,1.0,38193,1.0,5
133628,0.0,0.0,,,0
133932,1.0,0.0239,17557,1.0,4
133933,0.0,1.0,38193,1.0,9
134222,0.0,0.0,,,0
134231,1.0,0.0,17557,1.0,4
134357,0.0,1.0,38193,1.0,5
134447,0.0,0.0,,,0
134489,0.6582,0.3418,17557,0.6582,7
134596,0.0,0.0,,,0
134663,0.5,0.5,38193,0.5,9
134737,0.0,1.0,38193,1.0,5
134782,0.0,0.0,,,0
135003,0.125,0.875,38193,0.875,13
135046,0.0,1.0,38193,1.0,4
135115,0.5,0.5,17557,0.5,11
135123,0.0,0.75,38193,0.75,10
135316,0.0,0.0,,,0
135342,0.0,0.0,,,0
135384,1.0,0.0,17557,1.0,3
135407,0.0,1.0,38193,1.0,11
135523,0.0,1.0,38193,1.0,8
135567,1.0,0.0,17557,1.0,3
135576,0.0,0.0,,,0
135598,0.0,0.0,,,0
135660,0.2005,0.795,38193,0.795,14
135661,0.0,0.0,,,0
135891,0.0,0.0,,,0
136012,1.0,0.0,17557,1.0,2
136030,0.0,1.0,38193,1.0,7
136046,0.0,0.0,,,0
136142,1.0,0.0,17557,1.0,2
136174,0.125,0.875,38193,0.875,9
136184,0.0627,0.9386,138423,1.0,10
136225,0.0,1.0,38193,1.0,7
136259,0.0,1.0,38193,1.0,5
136263,0.0,0.0,,,0
136274,0.0,0.0,,,0
136384,0.0,1.0,38193,1.0,8
136427,0.0,0.0,9541,1.0,5
136525,0.9698,0.031,17557,0.9698,5
136528,0.0,0.0,,,0
136602,0.6667,0.3333,17557,0.6667,7
136610,0.75,0.25,17557,0.75,9
136730,0.0,0.0,9541,1.0,5
136790,0.0,0.0,,,0
136818,0.0,0.0,,,0
136969,0.0,1.0,38193,1.0,5
136974,0.0,1.0,38193,1.0,7
136981,0.0,0.0,,,0
137014,0.0,1.0,38193,1.0,5
137031,0.0,0.0,,,0
137047,0.827,0.1778,17557,0.827,9
137224,0.0,0.0,,,0
137233,0.0,0.0,,,0
137237,0.0,0.0,,,0
137258,0.0,0.0,9541,1.0,5
137265,0.9878,0.0281,17557,0.9878,4
137273,0.0,0.0,,,0
137430,0.0,1.0,38193,1.0,5
137461,0.3034,0.7032,38193,0.7032,8
137481,0.0,0.0,9541,1.0,5
137513,0.3425,0.3666,38193,0.3666,12
137517,0.0,0.0,10122,1.0,9
137561,1.0,0.0,17557,1.0,4
137573,0.0,0.0,,,0
137910,0.75,0.25,17557,0.75,12
138019,0.0,1.0,38193,1.0,3
138039,0.5,0.5,17557,0.5,12
138172,1.0,0.0,17557,1.0,4
138241,0.0,1.0,38193,1.0,5
138324,0.0,0.0,,,0
138329,0.0,0.0,,,0
138349,0.0,0.0,,,0
138368,0.0,1.0,38193,1.0,4
138423,0.5249,0.4742,17557,0.5249,9
138424,0.0,1.0,38193,1.0,6
138426,0.0,1.0,38193,1.0,6
138432,1.0,0.0,17557,1.0,4
138444,0.25,0.75,38193,0.75,7
138453,0.0,1.0,38193,1.0,7
138467,0.0,0.0,,,0
138590,0.4097,0.5903,138423,0.8824,14
138625,0.3579,0.6393,38193,0.6393,12
138655,0.0,1.0,38193,1.0,7
138677,0.0,0.0,58453,1.0,1
138905,0.0,0.0,,,0
138910,0.0,1.0,38193,1.0,8
138914,0.0,0.0,,,0
138926,0.125,0.875,38193,0.875,15
138955,0.0,1.0,38193,1.0,5
138971,0.0,0.0,,,0
138985,0.25,0.75,38193,0.75,13
139024,0.0,1.0,38193,1.0,4
139043,1.0,0.0,17557,1.0,6
139067,0.0674,0.0,9541,1.0,4
139087,0.0,1.0,38193,1.0,6
139088,0.0,0.0,,,0
139218,0.0,0.0,,,0
139219,0.0,0.0,,,0
139260,0.0,0.0,,,0
139292,0.0,1.0,38193,1.0,6
139302,0.0,1.0,38193,1.0,3
139351,1.0,0.0,17557,1.0,4
139577,0.0,1.0,38193,1.0,4
139598,0.0,0.0,,,0
139621,0.0,0.0,,,0
139718,0.0,1.0,38193,1.0,5
139820,0.8889,0.1111,17557,0.8889,14
139824,0.0,0.0,,,0
139879,0.0,1.0,38193,1.0,6
139925,0.0,1.0,38193,1.0,4
140039,0.75,0.25,17557,0.75,9
140045,1.0,0.0,17557,1.0,4
140100,1.0,0.0,17557,1.0,2
140208,0.0,0.0,,,0
140210,0.4,0.6,38193,0.6,10
140307,0.0,0.0,,,0
140499,0.875,0.125,17557,0.875,11
140526,1.0,0.0,17557,1.0,3
140571,0.0,0.0,,,0
140579,0.0,0.0,,,0
140594,0.0,1.0,38193,1.0,7
140607,0.6471,0.3529,17557,0.6471,14
140608,1.0,0.0,17557,1.0,4
140658,0.0,0.0,,,0
140667,0.0,0.0,,,0
140692,0.0,0.0,,,0
140697,0.0,0.0,,,0
140721,0.0,0.0,,,0
140732,0.0,0.0,,,0
140900,1.0,0.0,17557,1.0,7
140941,0.0,0.0,16276,1.0,1
140998,0.0,0.0,,,0
141008,0.0,0.0,9541,1.0,5
141020,1.0,0.0,17557,1.0,2
141023,1.0,0.0,17557,1.0,5
141031,1.0,0.0,17557,1.0,4
141164,0.0,0.0,9541,1.0,5
141212,0.8,0.2,17557,0.8,9
141215,0.0,1.0,38193,1.0,4
141234,0.0,1.0,38193,1.0,5
141342,0.16,0.84,138423,1.0,9
141343,0.0,1.0,38193,1.0,3
141347,0.0,1.0,38193,1.0,5
