probe_label,target,dest_rtt_ms,first_cdn_hop_num,first_cdn_hop_ip,first_cdn_hop_asn,first_cdn_hop_cc,first_cdn_hop_rtt,path_exits_pk,local_cdn
Cybernet (Haripur),google.com,41.9,9,216.239.48.87,15169,US,40.2,False,False
Cybernet (Haripur),youtube.com,37.9,9,216.239.48.133,15169,US,39.3,False,False
Cybernet (Haripur),facebook.com,39.1,8,157.240.83.66,32934,US,39.3,False,False
Cybernet (Haripur),instagram.com,38.8,8,157.240.83.66,32934,US,39.3,False,False
Cybernet (Haripur),akamai.com,155.1,10,23.197.79.112,20940,US,148.1,True,False
Cybernet (Karachi),google.com,23.3,8,216.239.41.109,15169,US,20.1,False,False
Cybernet (Karachi),youtube.com,23.5,8,216.239.48.87,15169,US,19.6,False,True
Cybernet (Karachi),facebook.com,19.6,255,57.144.148.1,32934,IE,19.6,False,True
Cybernet (Karachi),instagram.com,20.3,8,129.134.52.108,32934,US,20.4,False,False
Cybernet (Karachi),akamai.com,99.7,8,184.25.96.24,20940,US,100.1,False,False
Fasttel (Islamabad),google.com,153.5,10,192.178.98.162,15169,US,48.2,False,False
Fasttel (Islamabad),youtube.com,144.7,8,192.178.252.233,15169,US,44.3,False,False
Fasttel (Islamabad),facebook.com,47.3,8,157.240.79.116,32934,US,48.3,False,False
Fasttel (Islamabad),instagram.com,47.1,8,157.240.79.116,32934,US,47.9,False,False
Fasttel (Islamabad),akamai.com,152.3,12,2.16.106.197,20940,NL,152.3,False,False
Nayatel (Islamabad),google.com,37.9,255,142.250.187.78,15169,US,37.9,False,False
Nayatel (Islamabad),youtube.com,37.0,255,142.250.202.14,15169,US,37.0,False,False
Nayatel (Islamabad),facebook.com,34.0,10,129.134.97.170,32934,US,38.7,False,False
Nayatel (Islamabad),instagram.com,33.8,255,57.144.148.34,32934,IE,33.8,False,False
Nayatel (Islamabad),akamai.com,13.2,,,,,,False,False
Nayatel (Islamabad),google.com,36.4,255,142.250.187.46,15169,US,36.4,False,False
Nayatel (Islamabad),youtube.com,36.2,255,142.250.202.14,15169,US,36.2,False,False
Nayatel (Islamabad),facebook.com,36.6,255,157.240.227.35,32934,US,36.6,False,False
Nayatel (Islamabad),instagram.com,34.7,255,57.144.148.34,32934,IE,34.7,False,False
Nayatel (Islamabad),akamai.com,96.7,255,23.215.7.17,20940,US,96.7,False,False
Nova (Lahore),google.com,169.6,6,72.14.195.14,15169,US,108.9,False,False
Nova (Lahore),youtube.com,327.9,7,192.178.252.227,15169,US,55.0,False,False
Nova (Lahore),facebook.com,57.2,6,157.240.81.186,32934,US,46.6,False,False
Nova (Lahore),instagram.com,54.4,6,157.240.81.186,32934,US,49.3,False,False
Nova (Lahore),akamai.com,276.5,7,104.74.134.128,20940,US,109.4,False,False
PTCL (Karachi),google.com,44.6,6,72.14.212.112,15169,US,44.3,False,False
PTCL (Karachi),youtube.com,44.5,6,72.14.212.112,15169,US,107.1,False,False
PTCL (Karachi),facebook.com,46.6,6,157.240.68.60,32934,US,46.4,False,False
PTCL (Karachi),instagram.com,46.8,6,157.240.68.60,32934,US,46.2,False,False
PTCL (Karachi),akamai.com,227.9,7,104.74.135.130,20940,US,99.2,False,False
TES (Rawalpindi),google.com,34.1,7,72.14.209.108,15169,US,36.0,False,False
TES (Rawalpindi),youtube.com,37.3,7,72.14.209.108,15169,US,35.3,False,False
TES (Rawalpindi),facebook.com,37.0,7,157.240.81.186,32934,US,35.3,False,False
TES (Rawalpindi),instagram.com,34.5,7,157.240.81.186,32934,US,34.5,False,False
TES (Rawalpindi),akamai.com,97.9,8,23.54.79.23,20940,US,99.3,False,False
TES (Karachi),google.com,15.5,7,216.239.41.109,15169,US,16.1,False,True
TES (Karachi),youtube.com,18.0,8,192.178.98.160,15169,US,32.1,False,False
TES (Karachi),facebook.com,17.0,6,157.240.81.186,32934,US,17.4,False,True
TES (Karachi),instagram.com,17.5,6,157.240.81.186,32934,US,15.0,False,True
TES (Karachi),akamai.com,78.5,7,23.54.79.22,20940,US,78.5,False,False
Transworld (Lahore),google.com,1001.5,4,142.250.67.238,15169,US,1001.5,False,False
Transworld (Lahore),youtube.com,1001.3,4,192.178.211.93,15169,US,1001.3,False,False
Transworld (Lahore),facebook.com,1007.5,4,57.144.148.1,32934,IE,1007.5,False,False
Transworld (Lahore),instagram.com,1008.1,4,157.240.227.174,32934,US,1008.1,False,False
Transworld (Lahore),akamai.com,276.6,255,23.40.40.33,20940,US,276.6,False,False
Zcom (Lahore),google.com,32.5,5,72.14.209.108,15169,US,31.6,False,False
Zcom (Lahore),youtube.com,266.3,6,192.178.252.227,15169,US,33.0,False,False
Zcom (Lahore),facebook.com,33.0,5,157.240.81.186,32934,US,33.5,False,False
Zcom (Lahore),instagram.com,95.8,5,157.240.64.140,32934,US,95.1,False,False
Zcom (Lahore),akamai.com,131.2,10,184.86.251.13,20940,US,131.2,True,False
