probe_label,target,dest_rtt_ms,first_cdn_hop_num,first_cdn_hop_ip,first_cdn_hop_asn,first_cdn_hop_cc,first_cdn_hop_rtt,handoff_asn,handoff_ip,handoff_cc,handoff_rtt,path_exits_pk,local_cdn
Cybernet (Haripur),google.com,38.5,9,216.239.41.83,15169,US,37.5,9541,58.65.193.234,PK,37.1,False,False
Cybernet (Haripur),youtube.com,39.8,9,216.239.48.133,15169,US,40.9,9541,58.65.193.238,PK,41.0,False,False
Cybernet (Haripur),facebook.com,42.8,8,157.240.83.66,32934,US,37.6,9541,203.101.189.254,PK,2.1,False,False
Cybernet (Haripur),instagram.com,40.8,8,157.240.83.66,32934,US,38.0,9541,203.101.189.254,PK,2.4,False,False
Cybernet (Haripur),akamai.com,120.6,9,184.25.96.25,20940,US,120.6,9541,58.65.193.61,PK,117.4,False,False
Cybernet (Karachi),google.com,19.3,8,216.239.41.83,15169,US,19.7,9541,58.65.193.234,PK,19.5,False,True
Cybernet (Karachi),youtube.com,19.1,8,216.239.48.87,15169,US,19.4,9541,58.65.193.238,PK,20.9,False,True
Cybernet (Karachi),facebook.com,23.6,8,129.134.48.136,32934,US,20.2,,202.163.100.236,,4.1,False,False
Cybernet (Karachi),instagram.com,19.5,8,129.134.54.148,32934,US,20.3,,202.163.100.236,,4.4,False,False
Cybernet (Karachi),akamai.com,99.9,8,184.25.96.25,20940,US,100.3,9541,58.65.193.61,PK,100.4,False,False
Nayatel (Islamabad),google.com,38.9,255,142.251.37.142,15169,US,38.9,,,,,False,False
Nayatel (Islamabad),youtube.com,40.7,255,142.250.201.110,15169,US,40.7,,,,,False,False
Nayatel (Islamabad),facebook.com,41.4,255,157.240.227.35,32934,US,41.4,,,,,False,False
Nayatel (Islamabad),instagram.com,33.9,255,157.240.227.174,32934,US,33.9,,,,,False,False
Nayatel (Islamabad),akamai.com,96.7,255,23.215.7.17,20940,US,96.7,,,,,False,False
Nayatel (Islamabad),google.com,36.7,255,142.250.187.78,15169,US,36.7,,,,,False,False
Nayatel (Islamabad),youtube.com,42.1,255,142.250.202.14,15169,US,42.1,,,,,False,False
Nayatel (Islamabad),facebook.com,42.4,255,57.144.148.1,32934,IE,42.4,,,,,False,False
Nayatel (Islamabad),instagram.com,34.9,255,157.240.227.174,32934,US,34.9,,,,,False,False
Nayatel (Islamabad),akamai.com,100.3,255,23.215.7.17,20940,US,100.3,,,,,False,False
Nova (Lahore),google.com,332.6,7,216.239.41.109,15169,US,37.7,38193,110.93.192.111,PK,35.8,False,False
Nova (Lahore),youtube.com,328.8,7,192.178.252.233,15169,US,56.8,38193,110.93.192.109,PK,33.1,False,False
Nova (Lahore),facebook.com,45.7,6,157.240.81.186,32934,US,37.0,,110.93.252.246,,30.1,False,False
Nova (Lahore),instagram.com,36.6,6,157.240.81.186,32934,US,46.5,,110.93.252.246,,47.0,False,False
Nova (Lahore),akamai.com,102.9,7,23.54.79.25,20940,US,106.4,38193,110.93.192.141,PK,,False,False
PTCL (Karachi),google.com,44.9,6,72.14.212.112,15169,US,44.7,17557,39.39.0.1,PK,25.8,False,False
PTCL (Karachi),youtube.com,44.2,6,72.14.212.112,15169,US,44.3,17557,39.39.0.1,PK,26.1,False,False
PTCL (Karachi),facebook.com,45.9,6,157.240.79.116,32934,US,46.5,17557,39.39.0.1,PK,25.5,False,False
PTCL (Karachi),instagram.com,46.4,6,157.240.79.116,32934,US,45.9,17557,39.39.0.1,PK,35.5,False,False
PTCL (Karachi),akamai.com,116.6,7,104.74.135.122,20940,US,99.8,9557,202.70.150.179,PK,99.6,False,False
TES (Rawalpindi),google.com,41.9,9,72.14.239.47,15169,US,41.9,38193,110.93.192.207,PK,38.8,False,False
TES (Rawalpindi),youtube.com,39.7,8,216.239.41.109,15169,US,37.7,38193,110.93.192.111,PK,40.4,False,False
