target,probe_label,first_cdn_hop_ip,first_cdn_hop_asn,first_cdn_hop_cc,first_cdn_hop_rtt,handoff_asn,handoff_ip
akamai.com,Cybernet (Haripur),184.25.96.25,20940,US,120.6,9541,58.65.193.61
akamai.com,Cybernet (Karachi),184.25.96.25,20940,US,100.3,9541,58.65.193.61
akamai.com,Nayatel (Islamabad),23.215.7.17,20940,US,96.7,,
akamai.com,Nayatel (Islamabad),23.215.7.17,20940,US,100.3,,
akamai.com,Nova (Lahore),23.54.79.25,20940,US,106.4,38193,110.93.192.141
akamai.com,PTCL (Karachi),104.74.135.122,20940,US,99.8,9557,202.70.150.179
akamai.com,TES (Karachi),23.54.79.22,20940,US,78.5,38193,110.93.192.141
akamai.com,TES (Rawalpindi),23.54.79.23,20940,US,100.9,38193,110.93.192.141
akamai.com,Transworld (Lahore),23.55.39.10,20940,US,1006.1,,
akamai.com,Zcom (Lahore),23.54.79.25,20940,US,94.2,38193,110.93.192.141
facebook.com,Cybernet (Haripur),157.240.83.66,32934,US,37.6,9541,203.101.189.254
facebook.com,Cybernet (Karachi),129.134.48.136,32934,US,20.2,,202.163.100.236
facebook.com,Nayatel (Islamabad),157.240.227.35,32934,US,41.4,,
facebook.com,Nayatel (Islamabad),57.144.148.1,32934,IE,42.4,,
facebook.com,Nova (Lahore),157.240.81.186,32934,US,37.0,,110.93.252.246
facebook.com,PTCL (Karachi),157.240.79.116,32934,US,46.5,17557,39.39.0.1
facebook.com,TES (Karachi),157.240.81.186,32934,US,16.9,,110.93.252.136
facebook.com,TES (Rawalpindi),157.240.81.186,32934,US,39.5,,110.93.252.136
facebook.com,Transworld (Lahore),57.144.148.1,32934,IE,1004.4,,
facebook.com,Zcom (Lahore),157.240.67.228,32934,US,93.0,,110.93.252.136
google.com,Cybernet (Haripur),216.239.41.83,15169,US,37.5,9541,58.65.193.234
google.com,Cybernet (Karachi),216.239.41.83,15169,US,19.7,9541,58.65.193.234
google.com,Nayatel (Islamabad),142.251.37.142,15169,US,38.9,,
google.com,Nayatel (Islamabad),142.250.187.78,15169,US,36.7,,
google.com,Nova (Lahore),216.239.41.109,15169,US,37.7,38193,110.93.192.111
google.com,PTCL (Karachi),72.14.212.112,15169,US,44.7,17557,39.39.0.1
google.com,TES (Karachi),72.14.209.108,15169,US,14.9,,110.93.252.136
google.com,TES (Rawalpindi),72.14.239.47,15169,US,41.9,38193,110.93.192.207
google.com,Transworld (Lahore),192.178.173.139,15169,US,1006.0,,
google.com,Zcom (Lahore),216.239.41.109,15169,US,32.6,38193,110.93.192.111
instagram.com,Cybernet (Haripur),157.240.83.66,32934,US,38.0,9541,203.101.189.254
instagram.com,Cybernet (Karachi),129.134.54.148,32934,US,20.3,,202.163.100.236
instagram.com,Nayatel (Islamabad),157.240.227.174,32934,US,33.9,,
instagram.com,Nayatel (Islamabad),157.240.227.174,32934,US,34.9,,
instagram.com,Nova (Lahore),157.240.81.186,32934,US,46.5,,110.93.252.246
instagram.com,PTCL (Karachi),157.240.79.116,32934,US,45.9,17557,39.39.0.1
instagram.com,TES (Karachi),157.240.81.186,32934,US,17.5,,110.93.252.136
instagram.com,TES (Rawalpindi),157.240.81.186,32934,US,39.1,,110.93.252.136
instagram.com,Transworld (Lahore),57.144.148.34,32934,IE,1012.9,,
instagram.com,Zcom (Lahore),157.240.81.186,32934,US,27.5,,110.93.252.136
youtube.com,Cybernet (Haripur),216.239.48.133,15169,US,40.9,9541,58.65.193.238
youtube.com,Cybernet (Karachi),216.239.48.87,15169,US,19.4,9541,58.65.193.238
youtube.com,Nayatel (Islamabad),142.250.201.110,15169,US,40.7,,
youtube.com,Nayatel (Islamabad),142.250.202.14,15169,US,42.1,,
youtube.com,Nova (Lahore),192.178.252.233,15169,US,56.8,38193,110.93.192.109
youtube.com,PTCL (Karachi),72.14.212.112,15169,US,44.3,17557,39.39.0.1
youtube.com,TES (Karachi),192.178.252.233,15169,US,17.0,38193,110.93.192.109
youtube.com,TES (Rawalpindi),216.239.41.109,15169,US,37.7,38193,110.93.192.111
youtube.com,Transworld (Lahore),192.178.211.190,15169,US,1001.2,,
youtube.com,Zcom (Lahore),192.178.98.248,15169,US,32.1,38193,110.93.192.207
