src,dst,src_id,dst_id,distance_km,theoretical_ms,measured_ms,ratio
A1,F1,1016036,1016126,1166.7,11.426,188.97,16.54
A1,F3,1016036,7764,313.7,3.072,202.24,65.83
A1,I1,1016036,7613,306.8,3.005,120.76,40.19
A2,F1,1016143,1016126,0.2,0.002,11.87,
A2,F3,1016143,7764,1032.9,10.116,26.95,2.66
A2,I1,1016143,7613,1030.9,10.096,99.41,9.85
B1,F1,1014872,1016126,1132.7,11.093,34.81,3.14
B1,F3,1014872,7764,272.6,2.669,22.26,8.34
B1,I1,1014872,7613,265.4,2.6,44.23,17.01
C1,F1,60223,1016126,1141.0,11.175,30.23,2.7
C1,F3,60223,7764,281.4,2.756,28.41,10.31
C1,I1,60223,7613,274.3,2.687,40.86,15.21
C2,F1,65892,1016126,1033.2,10.119,30.71,3.03
C2,F3,65892,7764,7.2,0.07,30.6,436.35
C2,I1,65892,7613,2.5,0.025,42.16,
D1,F1,1015679,1016126,1033.6,10.122,29.95,2.96
D1,F3,1015679,7764,2.1,0.021,10.58,
D1,I1,1015679,7613,10.3,0.1,2.84,28.3
F1,F3,1016126,7764,1032.8,10.115,29.78,2.94
F1,I1,1016126,7613,1030.8,10.095,26.16,2.59
G1,F1,64078,1016126,1033.4,10.121,33.26,3.29
G1,F3,64078,7764,7.5,0.073,45.67,623.62
G1,I1,64078,7613,2.6,0.026,43.94,
G2,F3,64722,7764,1032.4,10.111,24.59,2.43
G2,I1,64722,7613,1030.5,10.092,22.06,2.19
H1,F1,62224,1016126,1032.7,10.114,29.87,2.95
H1,F3,62224,7764,0.2,0.002,1.49,
H1,I1,62224,7613,8.0,0.078,24.44,311.65
I1,F1,7613,1016126,1030.8,10.095,25.38,2.51
I1,F3,7613,7764,8.2,0.08,6.67,83.33
