kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
trace,7613,zcom.lhe,60223,nayatel.isb,154.192.15.243,local,,,,,36.4,36.3,14,False,,,,,204225088
trace,7613,zcom.lhe,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=1000 max_rtt=1002,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,1001.7,1001.7,8,True,,,,,204225091
trace,7613,zcom.lhe,64078,tes.lhe,149.40.243.172,trombone_hop,foreign_hop,OMANTEL-AS - Zain Omantel International ,AE,TWA-AS-AP - Transworld A,151.3,151.0,15,False,,,,,204225095
trace,7613,zcom.lhe,64722,tes.khi,119.73.97.135,local,,,,,16.8,17.0,11,False,,,,,204225096
trace,7613,zcom.lhe,65892,nayatel.lhe,154.192.116.198,local,,,,,36.8,36.7,15,False,,,,,204225098
trace,7613,zcom.lhe,1014872,fasttel.isb,103.189.68.92,local,,,,,36.6,36.7,12,False,,,,,204225100
trace,7613,zcom.lhe,1015210,ptcl.khi,182.185.145.65,local,,,,,1.6,1.6,11,False,,,,,204225103
trace,7613,zcom.lhe,1015679,nova.lhe,103.184.1.10,local,,,,,1.2,1.3,9,False,,,,,204225106
trace,7613,zcom.lhe,1016036,cybernet.hrp,72.255.54.129,trombone_rtt,rtt_jump=78 max_rtt=94,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,94.0,92.2,12,False,,,,,204225109
trace,7613,zcom.lhe,1016126,ptcl.khi,39.39.112.114,local,,,,,17.1,17.0,12,False,,,,,204225112
trace,7613,zcom.lhe,1016143,cybernet.khi,103.244.174.231,trombone_rtt,rtt_jump=78 max_rtt=94,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,94.4,93.2,12,False,,,,,204225113
trace,60223,nayatel.isb,7613,zcom.lhe,157.20.147.16,local,,,,,38.3,38.3,8,True,,,,,204225115
trace,60223,nayatel.isb,62224,transworld.lhe,110.93.235.222,local,,,,,3.0,3.4,8,False,,,,,204225118
trace,60223,nayatel.isb,64078,tes.lhe,149.40.243.172,local,,,,,3.7,1162.8,13,False,,,,,204225120
trace,60223,nayatel.isb,64722,tes.khi,119.73.97.135,trombone_hop,foreign_hop,UAEIX-IXP-IPv4,AE,,40.7,40.7,8,False,,,,,204225122
trace,60223,nayatel.isb,65892,nayatel.lhe,154.192.116.198,local,,,,,4.5,5.2,12,False,,,,,204225125
trace,60223,nayatel.isb,1014872,fasttel.isb,103.189.68.92,local,,,,,3.2,3.8,8,False,,,,,204225126
trace,60223,nayatel.isb,1015210,ptcl.khi,182.185.145.65,local,,,,,3.1,3.7,8,False,,,,,204225127
trace,60223,nayatel.isb,1015679,nova.lhe,103.184.1.10,local,,,,,2.9,4.0,8,False,,,,,204225131
trace,60223,nayatel.isb,1016036,cybernet.hrp,72.255.54.129,local,,,,,2.8,2.9,8,False,,,,,204225133
trace,60223,nayatel.isb,1016126,ptcl.khi,39.39.112.114,local,,,,,2.6,2.9,8,False,,,,,204225134
trace,60223,nayatel.isb,1016143,cybernet.khi,103.244.174.231,local,,,,,2.6,4.4,8,False,,,,,204225138
trace,62224,transworld.lhe,7613,zcom.lhe,157.20.147.16,local,,,,,5.8,5.8,8,True,,,,,204225140
trace,62224,transworld.lhe,60223,nayatel.isb,154.192.15.243,trombone_hop,foreign_hop,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",SC,,1002.9,1002.9,4,True,,,,,204225144
trace,62224,transworld.lhe,64078,tes.lhe,149.40.243.172,local,,,,,1.5,0.7,8,False,,,,,204225146
trace,62224,transworld.lhe,64722,tes.khi,119.73.97.135,local,,,,,1.3,1.3,8,False,,,,,204225148
trace,62224,transworld.lhe,65892,nayatel.lhe,154.192.116.198,local,,,,,1.1,1.3,8,False,,,,,204225150
trace,62224,transworld.lhe,1014872,fasttel.isb,103.189.68.92,trombone_rtt,rtt_jump=1008 max_rtt=1009,(foreign hop not visible -- RTT evidence,?,,1008.7,1008.7,4,True,,,,,204225155
trace,62224,transworld.lhe,1015210,ptcl.khi,182.185.145.65,trombone_rtt,rtt_jump=1009 max_rtt=1009,(foreign hop not visible -- RTT evidence,?,,1009.3,1009.3,4,True,,,,,204225157
trace,62224,transworld.lhe,1015679,nova.lhe,103.184.1.10,local,,,,,1.1,0.8,8,False,,,,,204225160
trace,62224,transworld.lhe,1016036,cybernet.hrp,72.255.54.129,trombone_rtt,rtt_jump=995 max_rtt=996,(foreign hop not visible -- RTT evidence,?,,996.0,996.0,4,True,,,,,204225162
trace,62224,transworld.lhe,1016126,ptcl.khi,39.39.112.114,local,,,,,0.9,1.5,8,False,,,,,204225164
trace,62224,transworld.lhe,1016143,cybernet.khi,103.244.174.231,local,,,,,1.1,1.5,8,False,,,,,204225166
trace,64078,tes.lhe,7613,zcom.lhe,157.20.147.16,local,,,,,38.9,39.0,7,True,,,,,204225168
trace,64078,tes.lhe,60223,nayatel.isb,154.192.15.243,local,,,,,4.5,7.9,9,False,,,,,204225169
trace,64078,tes.lhe,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=990 max_rtt=1031,(foreign hop not visible -- RTT evidence,?,HECPERN-AS-PK - PERN AS ,1030.5,1030.5,9,True,,,,,204225172
trace,64078,tes.lhe,64722,tes.khi,119.73.97.135,local,,,,,28.4,28.4,12,False,,,,,204225174
trace,64078,tes.lhe,65892,nayatel.lhe,154.192.116.198,local,,,,,3.8,3.9,9,False,,,,,204225175
trace,64078,tes.lhe,1014872,fasttel.isb,103.189.68.92,local,,,,,3.9,3.8,11,False,,,,,204225176
trace,64078,tes.lhe,1015210,ptcl.khi,182.185.145.65,local,,,,,23.3,24.2,10,False,,,,,204225178
trace,64078,tes.lhe,1015679,nova.lhe,103.184.1.10,local,,,,,39.3,39.3,12,False,,,,,204225215
