prefix,total_paths,pk_paths,pk_asns
59.103.127.0/24,353,0,
153.117.50.0/24,347,159,PTCL
139.135.43.0/24,361,319,PTCL
202.47.37.0/24,353,0,
153.117.27.0/24,341,0,
2400:adc0:4031::/48,329,0,
175.107.237.0/24,364,92,PTCL
2400:adc5:340::/42,332,0,
66.167.166.0/24,43,5,PTCL
175.107.246.0/24,353,0,
144.48.135.0/24,367,0,
72.255.19.0/24,364,205,PTCL
2400:adc0:15::/48,330,0,
61.5.152.0/24,395,92,PTCL
153.117.41.0/24,341,0,
61.5.153.0/24,353,148,PTCL
124.29.208.0/24,391,109,PTCL
153.117.18.0/24,340,0,
59.103.104.0/24,363,312,PTCL
139.135.52.0/24,391,110,PTCL
101.53.250.0/24,349,131,PTCL
124.29.196.0/24,327,0,
2400:adc0:41::/48,329,0,
2400:adcc:2900::/40,337,0,
175.107.225.0/24,353,0,
202.163.82.0/24,388,156,PTCL
202.163.94.0/24,341,0,
2400:adc0:c310::/48,335,0,
101.53.227.0/24,395,209,PTCL
72.255.56.0/24,335,4,PTCL
202.163.127.0/24,368,0,
101.53.236.0/24,354,0,
59.103.113.0/24,351,351,PTCL
2001:4538:a001::/48,345,0,
124.29.231.0/24,390,205,PTCL
2400:adc0:c111::/48,335,0,
203.101.171.0/24,372,0,
61.5.129.0/24,397,106,PTCL
202.47.60.0/24,345,1,PTCL
101.53.232.0/24,391,217,PTCL
153.117.46.0/24,341,0,
2400:adc0:3::/48,329,0,
206.135.160.0/24,20,20,PTCL
2400:adcc:900::/40,370,370,PTCL
2400:adc0:4701::/48,335,0,
72.255.43.0/24,384,384,PTCL
2400:addf:900::/40,371,371,PTCL
2400:adc7:3100::/40,370,370,PTCL
202.163.107.0/24,388,373,PTCL
202.163.99.0/24,327,0,
139.135.62.0/24,383,383,PTCL
14.1.105.0/24,367,0,
202.47.33.0/24,353,0,
153.117.123.0/24,347,110,PTCL
2400:adc1:400::/40,339,0,
2400:adc0::/48,329,0,
175.107.219.0/24,365,0,
153.117.37.0/24,341,0,
59.103.109.0/24,360,0,
153.117.23.0/24,341,0,
124.29.235.0/24,372,0,
124.29.200.0/24,372,0,
202.163.76.0/24,391,110,PTCL
139.135.39.0/24,353,6,PTCL
202.47.56.0/24,353,0,
175.107.201.0/24,353,0,
2400:adc0:4000::/48,330,0,
144.48.129.0/24,353,0,
2400:adc0:c011::/48,350,0,
66.167.15.0/24,3,2,PTCL
72.255.8.0/24,350,350,PTCL
2400:adc7:1800::/40,366,366,PTCL
2400:adc0:4111::/48,335,0,
2400:adc0:4204::/48,330,0,
203.101.180.0/24,348,0,
2400:adc7:5000::/40,366,366,PTCL
72.255.33.0/24,342,8,PTCL
2400:addb::/40,371,371,PTCL
58.65.218.0/24,369,0,
103.31.95.0/24,373,0,
2400:adc7:100::/40,338,0,
103.245.133.0/24,353,0,
58.65.200.0/24,341,0,
101.53.255.0/24,354,0,
103.244.177.0/24,354,0,
36.255.42.0/24,353,0,
202.47.51.0/24,366,0,
103.31.102.0/24,363,90,PTCL
139.135.48.0/24,377,0,
59.103.121.0/24,392,130,PTCL
2400:adc2:100::/40,371,371,PTCL
103.18.23.0/24,373,0,
2400:adcc:800::/40,370,370,PTCL
61.5.130.0/24,373,0,
2400:adc0:4511::/48,330,0,
2400:adc5:400::/42,332,0,
2400:adc7:2100::/40,338,0,
2400:adc5:40::/42,332,0,
137.59.220.0/24,353,0,
72.255.50.0/24,341,0,
72.255.27.0/24,350,350,PTCL
101.53.249.0/24,354,0,
2400:adcc:1100::/40,338,0,
2400:adc0:4310::/48,329,0,
2400:adc7:3000::/40,370,370,PTCL
59.103.126.0/24,389,145,PTCL
103.213.112.0/24,363,314,PTCL
61.5.140.0/24,392,82,PTCL
72.255.15.0/24,354,0,
2400:adc0:4006::/48,330,0,
2400:adcc:3100::/40,337,0,
58.65.199.0/24,367,0,
103.18.15.0/24,351,130,PTCL
2400:adc7::/40,338,0,
2400:adc7:2000::/40,338,0,
2400:addb:800::/40,348,0,
124.29.255.0/24,352,0,
206.135.169.0/24,56,16,PTCL
139.135.32.0/21,383,296,PTCL
144.48.131.0/24,341,0,
202.47.42.0/24,353,0,
139.135.51.0/24,363,0,
202.163.108.0/24,372,0,
2400:adcc::/40,338,0,
103.209.127.0/24,354,0,
2400:adc0:16::/48,330,0,
72.255.24.0/24,348,348,PTCL
124.29.216.0/24,354,0,
2400:adc0:4a10::/48,330,0,
101.53.241.0/24,361,75,PTCL
58.65.220.0/24,348,348,PTCL
192.140.147.0/24,348,0,
202.163.79.0/24,383,383,PTCL
153.117.26.0/24,341,0,
43.242.103.0/24,360,0,
153.117.115.0/24,343,343,PTCL
36.255.33.0/24,347,210,PTCL
103.18.22.0/24,348,348,PTCL
2400:adc0:4102::/48,329,0,
203.101.177.0/24,353,0,
202.163.123.0/24,353,6,PTCL
103.245.193.0/24,354,0,
175.107.245.0/24,340,0,
103.26.87.0/24,368,0,
2400:adc0:4302::/48,330,0,
101.53.235.0/24,364,73,PTCL
203.101.161.0/24,372,0,
175.107.221.0/24,353,0,
124.29.227.0/24,360,0,
203.101.172.0/24,365,0,
124.29.250.0/24,367,0,
61.5.142.0/24,370,0,
2400:adc0:4611::/48,330,0,
67.102.242.0/24,3,1,PTCL
2400:adc0:4013::/48,330,0,
137.59.222.0/24,354,0,
124.29.211.0/24,395,92,PTCL
124.29.246.0/24,398,115,PTCL
72.255.3.0/24,366,99,PTCL
202.163.116.0/24,359,0,
175.107.214.0/24,353,0,
2400:adde::/40,371,371,PTCL
2400:adc1:300::/40,339,0,
103.244.172.0/24,363,308,PTCL
2400:adc5:300::/42,332,0,
144.48.122.0/24,379,38,PTCL
203.101.166.0/24,372,0,
