target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,1,157.20.147.17,0.312,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,2,110.93.205.184,0.831,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,3,110.93.254.38,17.527,,110.93.192.0/18,PK,TWA,False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,4,110.93.255.169,17.998,,110.93.192.0/18,PK,TWA,False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,5,119.63.130.115,19.304,38193,119.63.130.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7613,152605,zcom.7613,6,103.141.43.1,95.395,132872,103.141.43.0/24,PK,"DATACHECK-AS-AP - Data Check Limited, PK",False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,True,207493903,2026-09-03T08:58:28.520831
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7764,17557,ptcl.7764,1,203.135.63.1,0.813,17557,203.135.62.0/23,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,False,207493906,2026-09-03T08:58:34.051232
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7764,17557,ptcl.7764,2,172.25.3.14,1.071,,,,RFC1918,True,False,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,False,207493906,2026-09-03T08:58:34.051232
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7764,17557,ptcl.7764,3,*,,,,,,False,True,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,False,207493906,2026-09-03T08:58:34.051232
datacheck-as132872.pk,datacheck,"DataCheck (Cybernet customer, BGP: no domestic peer visible)",7764,17557,ptcl.7764,4,*,,,,,,False,True,103.141.43.1,132872,"DATACHECK-AS-AP - Data Check Limited, PK",PK,False,207493906,2026-09-03T08:58:34.051232
