measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
207493834,7613,152605,zcom.7613,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,5,6,17.963,152605 > 38193,PK,2026-09-03T08:57:08.579826
207493836,7764,17557,ptcl.7764,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,1.28,17557,PK,2026-09-03T08:57:19.076114
207493837,60223,23674,nayatel.60223,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,6,8,22.502,9557,PK,2026-09-03T08:57:20.822573
207493838,62224,45773,pern.62224,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,1.88,,,2026-09-03T08:57:24.772347
207493839,64078,135407,tes.64078,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,6,6,23.135,135407 > 38193,PK,2026-09-03T08:57:25.642364
207493840,65892,23674,nayatel.65892,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,7,8,24.299,9557,PK,2026-09-03T08:57:32.710141
207493842,1001359,147302,falcon.1001359,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,10,6,23.227,147302 > 38193,PK,2026-09-03T08:57:35.764933
207493843,1014872,150683,fasttel.1014872,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,8,6,72.424,17557 > 9557,PK,2026-09-03T08:57:40.772708
207493847,1015210,17557,ptcl.1015210,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,1,6,0.168,,,2026-09-03T08:57:42.229200
207493848,1015679,136174,nova.1015679,hbl-bank,"Bank (Cybernet customer, BGP: domestic peer visible)",hbl-bank-as137513.pk,103.111.84.1,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,6,6,18.394,6327 > 38193,CA > PK,2026-09-03T08:57:43.255666
